date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,745.1,764.95,741.0,753.55,351016
2025-04-02 00:00:00+05:30,756.95,767.75,742.8,752.8,277366
2025-04-03 00:00:00+05:30,768.0,820.8,749.95,807.0,1663183
2025-04-04 00:00:00+05:30,804.0,807.0,691.0,695.85,2187153
2025-04-07 00:00:00+05:30,585.0,655.85,574.45,649.75,1362284
2025-04-08 00:00:00+05:30,670.0,680.0,638.0,642.85,598317
2025-04-09 00:00:00+05:30,633.25,637.6,594.1,624.4,949811
2025-04-11 00:00:00+05:30,667.35,681.0,647.3,679.4,910552
2025-04-15 00:00:00+05:30,703.4,723.85,686.0,713.45,536588
2025-04-16 00:00:00+05:30,719.8,720.25,705.05,717.25,240378
2025-04-17 00:00:00+05:30,716.0,736.65,709.4,733.6,336064
2025-04-21 00:00:00+05:30,733.6,737.3,708.0,712.85,375021
2025-04-22 00:00:00+05:30,710.0,718.0,685.4,711.95,675970
2025-04-23 00:00:00+05:30,715.9,744.0,706.1,737.0,460224
2025-04-24 00:00:00+05:30,733.0,767.8,732.25,753.9,548772
2025-04-25 00:00:00+05:30,753.9,764.4,718.0,735.15,289105
2025-04-28 00:00:00+05:30,727.2,744.0,725.5,728.95,232753
2025-04-29 00:00:00+05:30,728.95,748.95,725.55,742.15,228190
2025-04-30 00:00:00+05:30,740.55,747.25,710.0,713.35,195788
2025-05-02 00:00:00+05:30,713.35,722.35,695.0,707.65,166042
2025-05-05 00:00:00+05:30,707.95,712.5,695.0,704.85,229152
2025-05-06 00:00:00+05:30,705.25,721.5,695.5,698.6,263718
2025-05-07 00:00:00+05:30,692.0,744.1,687.7,737.45,518229
2025-05-08 00:00:00+05:30,740.0,775.0,737.05,744.9,670433
2025-05-09 00:00:00+05:30,729.95,774.95,724.55,765.45,487837
2025-05-12 00:00:00+05:30,794.55,822.0,740.3,799.45,2015265
2025-05-13 00:00:00+05:30,797.0,809.0,779.1,780.55,578540
2025-05-14 00:00:00+05:30,782.6,819.0,778.05,810.95,600284
2025-05-15 00:00:00+05:30,815.0,831.4,790.0,795.25,441382
2025-05-16 00:00:00+05:30,798.95,812.95,787.4,796.5,306579
2025-05-19 00:00:00+05:30,800.0,862.0,790.55,855.25,1785101
2025-05-20 00:00:00+05:30,857.05,862.0,835.1,843.35,358135
2025-05-21 00:00:00+05:30,847.85,879.0,836.5,875.1,720443
2025-05-22 00:00:00+05:30,873.75,883.8,866.65,873.9,325257
2025-05-23 00:00:00+05:30,875.8,881.65,862.3,866.4,244110
2025-05-26 00:00:00+05:30,875.0,885.0,866.4,878.95,219746
2025-05-27 00:00:00+05:30,878.95,884.9,872.1,880.55,327629
2025-05-28 00:00:00+05:30,880.6,893.25,864.6,873.0,286568
2025-05-29 00:00:00+05:30,873.0,908.0,873.0,903.95,448427
