date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,146.1,150.67,144.6,149.48,5940678
2025-04-02 00:00:00+05:30,149.25,151.89,146.95,151.53,4921586
2025-04-03 00:00:00+05:30,150.0,157.6,149.71,156.6,8993065
2025-04-04 00:00:00+05:30,157.5,157.89,151.51,153.05,10702221
2025-04-07 00:00:00+05:30,145.01,146.88,141.5,144.96,8015769
2025-04-08 00:00:00+05:30,148.0,150.99,148.0,150.0,5022455
2025-04-09 00:00:00+05:30,153.5,153.5,143.28,146.86,8752215
2025-04-11 00:00:00+05:30,150.0,150.6,148.01,149.68,4225688
2025-04-15 00:00:00+05:30,152.0,154.54,150.55,154.07,4280618
2025-04-16 00:00:00+05:30,154.6,159.29,154.07,158.41,13568380
2025-04-17 00:00:00+05:30,158.41,159.95,157.51,158.79,6713315
2025-04-21 00:00:00+05:30,159.35,168.68,159.09,167.94,19552485
2025-04-22 00:00:00+05:30,167.94,171.5,165.75,168.54,12272511
2025-04-23 00:00:00+05:30,169.1,171.7,166.25,170.59,11183261
2025-04-24 00:00:00+05:30,169.98,172.1,169.05,170.73,6493362
2025-04-25 00:00:00+05:30,170.73,171.76,163.52,165.45,7861418
2025-04-28 00:00:00+05:30,164.86,166.86,161.76,164.26,10358436
2025-04-29 00:00:00+05:30,165.5,171.84,165.5,167.9,15769341
2025-04-30 00:00:00+05:30,167.5,167.84,163.53,165.62,8904205
2025-05-02 00:00:00+05:30,168.6,173.43,161.15,161.74,25789799
2025-05-05 00:00:00+05:30,162.01,165.9,161.31,164.4,8016634
2025-05-06 00:00:00+05:30,164.1,166.0,157.05,157.45,8251307
2025-05-07 00:00:00+05:30,155.0,159.97,155.0,159.56,6481234
2025-05-08 00:00:00+05:30,159.66,162.83,156.05,157.19,4495588
2025-05-09 00:00:00+05:30,154.0,157.95,153.43,156.26,10881017
2025-05-12 00:00:00+05:30,162.2,165.74,161.7,163.57,7893504
2025-05-13 00:00:00+05:30,164.05,165.68,162.02,162.38,3972042
2025-05-14 00:00:00+05:30,163.2,167.8,161.75,167.03,10475557
2025-05-15 00:00:00+05:30,168.2,169.3,166.53,168.99,7825261
2025-05-16 00:00:00+05:30,168.9,170.89,168.25,170.09,4096530
2025-05-19 00:00:00+05:30,170.09,173.2,169.34,170.55,5815769
2025-05-20 00:00:00+05:30,171.0,171.58,164.31,164.9,5860707
2025-05-21 00:00:00+05:30,165.99,168.6,163.3,168.22,8270110
2025-05-22 00:00:00+05:30,167.06,167.99,164.35,165.6,7183714
2025-05-23 00:00:00+05:30,166.4,166.45,164.43,165.46,3239902
2025-05-26 00:00:00+05:30,165.65,166.68,164.4,165.62,3139994
2025-05-27 00:00:00+05:30,166.1,170.75,166.1,168.95,10601018
2025-05-28 00:00:00+05:30,169.0,171.2,168.58,169.21,4767092
2025-05-29 00:00:00+05:30,170.04,171.9,168.58,170.93,5050916
2025-05-30 00:00:00+05:30,170.93,171.92,167.1,170.19,6012565
2025-06-02 00:00:00+05:30,170.54,175.21,169.53,172.75,8629680
2025-06-03 00:00:00+05:30,173.75,173.95,169.5,170.02,3690601
2025-06-04 00:00:00+05:30,169.9,169.95,166.31,169.02,4872596
2025-06-05 00:00:00+05:30,169.8,170.65,166.52,166.86,6421997
2025-06-06 00:00:00+05:30,167.05,174.23,166.41,173.55,15836205
2025-06-09 00:00:00+05:30,175.3,187.46,174.98,186.24,46611797
2025-06-10 00:00:00+05:30,186.1,186.1,180.61,181.09,8751699
2025-06-11 00:00:00+05:30,181.23,182.88,179.25,182.47,11857062
2025-06-12 00:00:00+05:30,182.47,183.6,176.87,177.68,5124659
2025-06-13 00:00:00+05:30,172.5,176.89,172.5,175.19,9236889
2025-06-16 00:00:00+05:30,175.15,178.81,172.0,178.46,7843085
2025-06-17 00:00:00+05:30,178.32,179.9,174.25,175.01,3903084
2025-06-18 00:00:00+05:30,175.99,181.67,175.57,180.75,17600866
2025-06-19 00:00:00+05:30,180.67,180.77,177.0,178.25,8791149
2025-06-20 00:00:00+05:30,177.5,181.2,177.5,180.05,3887013
