date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,257.9,263.1,253.5,260.15,111179
2025-04-02 00:00:00+05:30,264.8,266.0,255.1,265.2,87549
2025-04-03 00:00:00+05:30,258.05,266.45,258.0,261.25,212138
2025-04-04 00:00:00+05:30,260.0,260.85,252.9,253.75,132633
2025-04-07 00:00:00+05:30,238.0,250.45,235.95,247.35,184968
2025-04-08 00:00:00+05:30,250.0,256.85,248.05,252.9,66117
2025-04-09 00:00:00+05:30,252.95,256.6,246.55,254.85,49064
2025-04-11 00:00:00+05:30,262.8,262.8,253.05,254.6,60274
2025-04-15 00:00:00+05:30,256.05,260.0,255.75,259.4,54674
2025-04-16 00:00:00+05:30,259.35,262.3,258.05,261.45,78504
2025-04-17 00:00:00+05:30,261.45,265.9,258.85,262.7,64731
2025-04-21 00:00:00+05:30,262.7,266.9,259.15,264.5,468776
2025-04-22 00:00:00+05:30,270.95,270.95,264.15,267.05,253635
2025-04-23 00:00:00+05:30,268.95,269.9,264.0,266.25,153232
2025-04-24 00:00:00+05:30,265.0,268.7,264.0,265.45,73046
2025-04-25 00:00:00+05:30,265.45,266.05,255.0,258.15,102127
2025-04-28 00:00:00+05:30,255.1,259.9,251.95,258.3,70288
2025-04-29 00:00:00+05:30,261.0,261.95,255.45,256.4,41710
2025-04-30 00:00:00+05:30,256.0,257.5,252.5,254.6,60820
2025-05-02 00:00:00+05:30,251.25,256.6,250.05,254.85,67972
2025-05-05 00:00:00+05:30,255.0,266.9,251.4,266.15,172957
2025-05-06 00:00:00+05:30,268.45,275.6,258.9,262.95,205474
2025-05-07 00:00:00+05:30,264.0,265.9,255.85,264.25,75133
2025-05-08 00:00:00+05:30,264.0,273.85,258.05,262.95,255113
2025-05-09 00:00:00+05:30,250.0,255.0,243.35,248.75,276110
2025-05-12 00:00:00+05:30,254.95,260.9,251.95,256.8,211133
2025-05-13 00:00:00+05:30,259.6,259.6,251.6,252.95,129812
2025-05-14 00:00:00+05:30,255.0,260.5,254.55,258.95,86498
2025-05-15 00:00:00+05:30,258.1,261.9,257.3,259.95,54702
2025-05-16 00:00:00+05:30,261.8,263.4,256.2,257.6,117025
2025-05-19 00:00:00+05:30,259.95,260.4,253.25,254.2,206903
2025-05-20 00:00:00+05:30,255.05,257.2,248.0,249.3,157473
2025-05-21 00:00:00+05:30,249.3,253.0,246.35,248.6,93777
2025-05-22 00:00:00+05:30,251.9,252.85,248.8,251.7,52900
2025-05-23 00:00:00+05:30,252.8,253.0,249.15,250.0,76803
2025-05-26 00:00:00+05:30,250.25,254.5,249.3,251.2,84115
2025-05-27 00:00:00+05:30,251.0,252.9,249.05,249.6,74733
2025-05-28 00:00:00+05:30,250.05,250.95,248.15,249.05,66890
2025-05-29 00:00:00+05:30,250.2,252.7,249.0,250.85,80707
2025-05-30 00:00:00+05:30,250.5,252.0,248.0,249.85,59965
2025-06-02 00:00:00+05:30,251.99,252.68,246.4,247.55,176973
2025-06-03 00:00:00+05:30,251.9,252.4,246.53,249.0,119795
2025-06-04 00:00:00+05:30,250.9,250.9,243.42,246.64,104323
2025-06-05 00:00:00+05:30,249.0,253.99,245.8,246.61,146942
2025-06-06 00:00:00+05:30,246.0,249.42,243.92,244.83,148753
2025-06-09 00:00:00+05:30,245.0,253.45,245.0,249.98,181154
2025-06-10 00:00:00+05:30,253.0,262.75,250.23,260.81,738544
2025-06-11 00:00:00+05:30,266.99,267.0,258.0,259.45,260453
2025-06-12 00:00:00+05:30,261.4,261.4,251.25,253.07,141230
2025-06-13 00:00:00+05:30,250.0,250.88,245.0,248.79,157531
2025-06-16 00:00:00+05:30,248.77,249.59,244.76,247.26,95908
2025-06-17 00:00:00+05:30,249.87,249.87,244.75,245.37,73298
2025-06-18 00:00:00+05:30,245.37,247.99,241.6,242.67,115386
2025-06-19 00:00:00+05:30,242.5,244.38,236.35,240.24,132750
2025-06-20 00:00:00+05:30,240.24,245.67,239.27,243.86,102725
