date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,42.79,42.79,40.3,41.31,12085243
2025-04-02 00:00:00+05:30,38.99,39.6,36.46,36.86,62798115
2025-04-03 00:00:00+05:30,36.99,37.59,35.91,36.84,38424917
2025-04-04 00:00:00+05:30,37.12,37.23,35.8,36.17,18611953
2025-04-07 00:00:00+05:30,35.0,35.0,33.16,34.49,14759306
2025-04-08 00:00:00+05:30,35.3,35.88,34.29,35.1,12775574
2025-04-09 00:00:00+05:30,35.1,35.16,33.75,33.86,12630804
2025-04-11 00:00:00+05:30,35.49,35.49,34.15,34.43,9597496
2025-04-15 00:00:00+05:30,35.25,35.4,34.71,35.27,8260444
2025-04-16 00:00:00+05:30,35.5,36.59,35.44,36.11,12236221
2025-04-17 00:00:00+05:30,36.12,36.67,35.85,36.24,11936599
2025-04-21 00:00:00+05:30,36.6,38.07,36.58,37.45,19341161
2025-04-22 00:00:00+05:30,37.87,39.18,37.37,38.52,27325626
2025-04-23 00:00:00+05:30,38.87,39.09,37.41,38.24,15370485
2025-04-24 00:00:00+05:30,38.26,38.72,37.91,38.08,9552963
2025-04-25 00:00:00+05:30,38.29,38.29,36.5,36.9,15998633
2025-04-28 00:00:00+05:30,36.8,37.55,36.51,37.4,8695436
2025-04-29 00:00:00+05:30,38.7,39.27,37.61,37.86,28563168
2025-04-30 00:00:00+05:30,37.6,37.64,36.9,37.06,7804999
2025-05-02 00:00:00+05:30,37.02,37.34,36.59,36.74,6286919
2025-05-05 00:00:00+05:30,36.88,37.0,36.25,36.81,4951093
2025-05-06 00:00:00+05:30,36.69,36.85,34.4,34.84,9977967
2025-05-07 00:00:00+05:30,34.1,35.3,33.9,34.81,9367405
2025-05-08 00:00:00+05:30,35.25,35.44,34.2,34.36,6380371
2025-05-09 00:00:00+05:30,32.75,34.4,32.75,34.15,9015040
2025-05-12 00:00:00+05:30,35.99,36.24,35.41,36.19,10350591
2025-05-13 00:00:00+05:30,36.19,37.06,36.01,36.66,7407148
2025-05-14 00:00:00+05:30,36.89,37.13,36.51,36.96,7485239
2025-05-15 00:00:00+05:30,37.24,37.24,36.43,36.49,9104762
