date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,457.7,483.0,455.5,461.45,419635
2025-04-02 00:00:00+05:30,461.45,462.55,448.55,451.9,196694
2025-04-03 00:00:00+05:30,447.0,461.6,447.0,455.05,253039
2025-04-04 00:00:00+05:30,452.7,452.8,427.05,431.95,236789
2025-04-07 00:00:00+05:30,386.1,417.8,378.6,414.3,265302
2025-04-08 00:00:00+05:30,429.0,438.0,417.0,430.3,140414
2025-04-09 00:00:00+05:30,427.0,434.2,418.8,426.35,99658
2025-04-11 00:00:00+05:30,447.0,449.9,435.6,445.3,188024
2025-04-15 00:00:00+05:30,455.0,461.0,450.45,456.2,157958
2025-04-16 00:00:00+05:30,456.2,463.45,455.3,461.55,147362
2025-04-17 00:00:00+05:30,461.0,473.15,455.3,465.3,230810
2025-04-21 00:00:00+05:30,469.85,475.2,461.3,472.0,188546
2025-04-22 00:00:00+05:30,474.0,492.0,466.75,480.95,524747
2025-04-23 00:00:00+05:30,540.0,540.0,490.35,494.1,3957107
2025-04-24 00:00:00+05:30,494.8,498.25,480.45,482.5,472431
2025-04-25 00:00:00+05:30,482.95,484.0,454.4,461.7,522659
2025-04-28 00:00:00+05:30,458.7,470.6,456.4,462.15,297812
2025-04-29 00:00:00+05:30,465.0,469.6,459.0,467.45,234886
2025-04-30 00:00:00+05:30,465.0,465.0,444.0,447.25,305511
2025-05-02 00:00:00+05:30,449.1,453.0,438.05,440.55,234334
2025-05-05 00:00:00+05:30,445.6,447.0,437.85,442.85,168755
2025-05-06 00:00:00+05:30,442.85,446.35,423.3,425.1,205092
2025-05-07 00:00:00+05:30,416.0,432.75,415.0,428.2,368719
2025-05-08 00:00:00+05:30,433.0,444.75,425.6,427.65,181616
2025-05-09 00:00:00+05:30,417.05,430.0,415.5,426.1,222706
2025-05-12 00:00:00+05:30,454.95,455.0,443.45,450.9,391258
2025-05-13 00:00:00+05:30,450.15,467.9,446.25,465.35,656979
2025-05-14 00:00:00+05:30,469.0,469.35,458.15,464.05,260737
2025-05-15 00:00:00+05:30,464.2,472.35,458.45,464.65,318063
2025-05-16 00:00:00+05:30,462.15,492.0,462.15,484.75,801278
2025-05-19 00:00:00+05:30,492.0,496.6,487.0,490.5,332132
2025-05-20 00:00:00+05:30,494.0,495.4,473.55,478.4,190904
2025-05-21 00:00:00+05:30,484.5,484.5,475.5,479.8,176818
