date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,632.5,647.85,631.5,634.05,45261
2025-04-02 00:00:00+05:30,634.05,638.6,616.35,636.8,60717
2025-04-03 00:00:00+05:30,625.0,651.0,616.0,639.35,97491
2025-04-04 00:00:00+05:30,640.0,644.1,596.05,603.25,137463
2025-04-07 00:00:00+05:30,555.0,563.05,522.0,534.15,384284
2025-04-08 00:00:00+05:30,550.0,576.4,550.0,566.55,220268
2025-04-09 00:00:00+05:30,560.0,560.0,545.6,549.05,72020
2025-04-11 00:00:00+05:30,581.0,581.0,563.4,570.45,102820
2025-04-15 00:00:00+05:30,575.55,607.9,575.55,597.2,252121
2025-04-16 00:00:00+05:30,606.5,622.4,600.0,603.9,97778
2025-04-17 00:00:00+05:30,600.2,626.55,593.35,621.45,171777
2025-04-21 00:00:00+05:30,632.6,634.6,616.3,620.6,176521
2025-04-22 00:00:00+05:30,626.6,626.6,605.0,607.35,200021
2025-04-23 00:00:00+05:30,615.0,623.0,596.5,613.9,234893
2025-04-24 00:00:00+05:30,618.0,638.25,613.85,633.5,199432
2025-04-25 00:00:00+05:30,636.65,639.45,595.05,605.15,164212
2025-04-28 00:00:00+05:30,599.45,613.55,597.2,604.7,65090
2025-04-29 00:00:00+05:30,603.4,615.95,599.3,604.95,56534
2025-04-30 00:00:00+05:30,601.0,601.8,588.05,591.55,73245
2025-05-02 00:00:00+05:30,587.05,597.45,583.9,585.75,62508
2025-05-05 00:00:00+05:30,586.0,595.9,582.15,588.7,62749
2025-05-06 00:00:00+05:30,586.0,594.9,558.0,560.9,117917
2025-05-07 00:00:00+05:30,559.9,566.55,550.0,557.55,127103
2025-05-08 00:00:00+05:30,560.95,580.9,560.0,561.9,95747
2025-05-09 00:00:00+05:30,541.85,564.9,541.85,559.9,72228
2025-05-12 00:00:00+05:30,590.0,653.75,590.0,640.6,657593
2025-05-13 00:00:00+05:30,631.0,647.55,628.2,635.35,120762
2025-05-14 00:00:00+05:30,644.7,663.8,635.65,654.25,172870
2025-05-15 00:00:00+05:30,653.45,665.35,648.85,660.2,156232
2025-05-16 00:00:00+05:30,636.35,636.35,613.05,616.75,342454
2025-05-19 00:00:00+05:30,617.0,622.35,606.6,608.55,142998
2025-05-20 00:00:00+05:30,617.0,617.0,597.95,600.7,123238
2025-05-21 00:00:00+05:30,603.9,626.6,597.55,616.85,275899
2025-05-22 00:00:00+05:30,615.0,623.0,608.0,611.25,77280
2025-05-23 00:00:00+05:30,618.0,618.0,607.3,612.05,58702
2025-05-26 00:00:00+05:30,615.75,618.45,607.0,610.7,78175
2025-05-27 00:00:00+05:30,612.0,614.05,602.55,605.35,68324
2025-05-28 00:00:00+05:30,608.0,615.1,596.05,607.8,113992
2025-05-29 00:00:00+05:30,613.15,613.3,602.0,605.05,46216
2025-05-30 00:00:00+05:30,605.0,606.65,599.0,604.9,52211
2025-06-02 00:00:00+05:30,601.05,612.35,601.05,602.35,74445
2025-06-03 00:00:00+05:30,603.0,608.0,592.05,593.85,66247
2025-06-04 00:00:00+05:30,598.0,599.95,586.95,595.65,70243
2025-06-05 00:00:00+05:30,597.0,606.4,596.75,600.0,75700
2025-06-06 00:00:00+05:30,600.5,614.4,598.5,606.05,121499
2025-06-09 00:00:00+05:30,606.1,635.35,605.0,627.75,456938
2025-06-10 00:00:00+05:30,630.8,633.4,621.15,623.8,87393
2025-06-11 00:00:00+05:30,628.1,639.0,623.6,634.75,144847
2025-06-12 00:00:00+05:30,637.9,645.45,627.3,631.9,136149
2025-06-13 00:00:00+05:30,626.0,645.0,612.5,624.75,138093
2025-06-16 00:00:00+05:30,624.75,626.95,602.2,620.25,111086
2025-06-17 00:00:00+05:30,620.15,626.1,609.25,611.75,53074
2025-06-18 00:00:00+05:30,611.75,615.1,603.05,608.05,41229
2025-06-19 00:00:00+05:30,608.05,611.15,590.25,591.75,94598
2025-06-20 00:00:00+05:30,593.0,609.3,591.8,605.65,58392
2025-06-23 00:00:00+05:30,602.65,604.6,593.95,602.35,77770
2025-06-24 00:00:00+05:30,605.0,619.5,605.0,608.0,58040
2025-06-25 00:00:00+05:30,609.4,626.4,609.4,621.35,91024
2025-06-26 00:00:00+05:30,623.0,637.15,613.5,628.45,112155
2025-06-27 00:00:00+05:30,628.45,633.85,618.35,620.45,95557
2025-06-30 00:00:00+05:30,622.35,632.7,620.4,626.05,44064
2025-07-01 00:00:00+05:30,631.9,632.05,615.6,621.6,45499
2025-07-02 00:00:00+05:30,619.0,634.95,616.15,625.5,91013
2025-07-03 00:00:00+05:30,625.5,630.25,619.75,622.6,35107
2025-07-04 00:00:00+05:30,620.15,660.0,620.0,647.2,191925
2025-07-07 00:00:00+05:30,657.0,667.0,642.85,661.4,378721
2025-07-08 00:00:00+05:30,662.0,678.0,653.7,669.05,247776
2025-07-09 00:00:00+05:30,668.95,682.7,662.2,667.3,139920
2025-07-10 00:00:00+05:30,669.75,681.8,660.0,673.1,128079
2025-07-11 00:00:00+05:30,673.2,744.5,668.3,732.15,3453708
2025-07-14 00:00:00+05:30,733.95,765.0,720.0,735.95,1299508
2025-07-15 00:00:00+05:30,738.1,751.75,735.95,746.75,352334
2025-07-16 00:00:00+05:30,744.1,765.0,738.2,758.1,294767
2025-07-17 00:00:00+05:30,761.05,773.5,748.0,762.9,304726
2025-07-18 00:00:00+05:30,769.4,784.0,763.85,770.75,336226
2025-07-21 00:00:00+05:30,771.9,780.0,753.55,773.9,322855
2025-07-22 00:00:00+05:30,775.9,807.9,769.0,774.35,585912
2025-07-23 00:00:00+05:30,771.95,868.0,771.35,846.25,4522789
2025-07-24 00:00:00+05:30,854.0,945.75,846.0,888.45,7508019
2025-07-25 00:00:00+05:30,884.8,916.55,870.15,879.55,2031184
2025-07-28 00:00:00+05:30,879.55,930.5,865.4,924.1,898609
2025-07-29 00:00:00+05:30,919.0,958.0,902.75,938.3,733579
2025-07-30 00:00:00+05:30,938.0,942.0,925.5,937.95,250671
2025-07-31 00:00:00+05:30,913.0,987.0,898.85,980.55,552273
2025-08-01 00:00:00+05:30,977.15,1045.5,975.0,1004.45,944683
2025-08-04 00:00:00+05:30,999.9,1024.05,993.7,1018.1,311024
2025-08-05 00:00:00+05:30,1020.05,1059.0,1020.05,1052.75,364816
2025-08-06 00:00:00+05:30,1045.0,1055.0,986.0,1050.4,405546
2025-08-07 00:00:00+05:30,1035.0,1120.0,1025.55,1083.8,1185215
2025-08-08 00:00:00+05:30,1075.0,1090.75,976.5,989.25,384048
2025-08-11 00:00:00+05:30,962.3,1033.9,900.1,1016.95,822832
2025-08-12 00:00:00+05:30,1015.05,1066.0,1011.55,1058.4,343799
2025-08-13 00:00:00+05:30,1056.05,1088.0,987.05,1003.2,356957
2025-08-14 00:00:00+05:30,1000.0,1046.9,950.0,956.6,402628
2025-08-18 00:00:00+05:30,960.0,967.1,852.0,856.65,666997
2025-08-19 00:00:00+05:30,856.65,923.45,840.0,914.85,702054
2025-08-20 00:00:00+05:30,925.3,946.15,901.7,926.9,335435
2025-08-21 00:00:00+05:30,925.0,955.0,918.05,941.7,236396
2025-08-22 00:00:00+05:30,934.85,1018.7,929.8,980.2,941594
2025-08-25 00:00:00+05:30,981.0,1015.75,964.0,1003.75,339102
2025-08-26 00:00:00+05:30,990.0,1009.0,970.3,998.25,271620
2025-08-28 00:00:00+05:30,989.0,1007.3,972.8,977.85,182816
2025-08-29 00:00:00+05:30,982.7,1035.0,965.0,1010.35,715179
2025-09-01 00:00:00+05:30,1011.0,1031.7,952.0,1021.2,692609
2025-09-02 00:00:00+05:30,1025.0,1028.9,970.6,990.4,562060
2025-09-03 00:00:00+05:30,992.6,1046.0,985.1,1013.4,585595
2025-09-04 00:00:00+05:30,1017.5,1040.4,1004.0,1016.4,349723
2025-09-05 00:00:00+05:30,1024.8,1054.0,956.0,966.5,579034
2025-09-08 00:00:00+05:30,976.9,988.3,921.0,933.8,326670
2025-09-09 00:00:00+05:30,940.0,957.1,915.1,921.8,269509
2025-09-10 00:00:00+05:30,930.5,941.9,914.3,926.0,418373
2025-09-11 00:00:00+05:30,930.0,931.3,903.0,907.1,190276
2025-09-12 00:00:00+05:30,909.2,930.9,901.0,918.8,209059
2025-09-15 00:00:00+05:30,923.0,927.2,912.6,918.8,111041
2025-09-16 00:00:00+05:30,920.0,935.1,908.2,912.5,135492
2025-09-17 00:00:00+05:30,914.0,918.8,905.8,909.7,77990
2025-09-18 00:00:00+05:30,921.2,922.6,885.5,888.1,164114
2025-09-19 00:00:00+05:30,892.0,909.8,875.3,904.7,172390
2025-09-22 00:00:00+05:30,899.9,899.9,867.0,874.8,132061
2025-09-23 00:00:00+05:30,874.7,882.9,856.0,858.9,105330
2025-09-24 00:00:00+05:30,861.0,908.0,853.2,900.4,413221
2025-09-25 00:00:00+05:30,900.4,919.8,865.1,877.3,241163
2025-09-26 00:00:00+05:30,873.9,881.1,850.0,853.3,182770
2025-09-29 00:00:00+05:30,855.9,884.0,843.2,856.2,203191
2025-09-30 00:00:00+05:30,856.5,862.6,832.1,837.9,112763
2025-10-01 00:00:00+05:30,843.0,857.5,835.05,854.45,102293
2025-10-03 00:00:00+05:30,854.45,892.35,850.95,887.6,247913
2025-10-06 00:00:00+05:30,890.0,893.3,869.0,872.8,129188
2025-10-07 00:00:00+05:30,872.95,880.6,866.6,870.35,72221
2025-10-08 00:00:00+05:30,868.6,879.45,860.1,866.2,64912
2025-10-09 00:00:00+05:30,868.0,890.0,862.2,874.85,128343
2025-10-10 00:00:00+05:30,876.0,892.5,871.0,883.4,144695
2025-10-13 00:00:00+05:30,879.2,885.0,853.0,857.1,84709
2025-10-14 00:00:00+05:30,861.0,884.85,837.55,863.5,267250
2025-10-15 00:00:00+05:30,860.0,885.0,854.15,881.6,117182
2025-10-16 00:00:00+05:30,883.3,891.6,872.05,883.1,92665
2025-10-17 00:00:00+05:30,880.0,880.0,840.0,844.55,136696
2025-10-20 00:00:00+05:30,846.0,857.9,838.05,855.35,113818
2025-10-21 00:00:00+05:30,869.0,871.15,859.3,864.4,34898
2025-10-23 00:00:00+05:30,865.8,916.95,856.9,892.55,714815
2025-10-24 00:00:00+05:30,905.0,912.75,886.3,903.6,243387
2025-10-27 00:00:00+05:30,909.7,921.0,900.05,917.7,214186
2025-10-28 00:00:00+05:30,919.9,929.7,909.85,924.4,168923
2025-10-29 00:00:00+05:30,924.0,975.0,923.75,969.7,558331
2025-10-30 00:00:00+05:30,974.95,995.0,962.7,977.15,472108
2025-10-31 00:00:00+05:30,1010.0,1010.0,924.15,934.25,839991
2025-11-03 00:00:00+05:30,929.15,947.05,902.1,921.1,303150
2025-11-04 00:00:00+05:30,924.95,930.0,914.2,920.6,178353
2025-11-06 00:00:00+05:30,921.5,945.95,895.05,902.0,225583
2025-11-07 00:00:00+05:30,897.55,900.0,868.25,887.05,207679
2025-11-10 00:00:00+05:30,886.9,886.9,864.75,877.85,102605
2025-11-11 00:00:00+05:30,879.9,888.55,862.6,865.6,62411
2025-11-12 00:00:00+05:30,868.9,888.0,865.4,879.45,149763
2025-11-13 00:00:00+05:30,878.95,904.95,874.4,897.1,204548
2025-11-14 00:00:00+05:30,896.0,896.75,874.05,879.15,102331
2025-11-17 00:00:00+05:30,883.95,933.25,883.95,901.35,391767
2025-11-18 00:00:00+05:30,895.0,900.05,880.0,895.35,91898
2025-11-19 00:00:00+05:30,899.9,904.95,885.05,900.05,58645
2025-11-20 00:00:00+05:30,907.8,922.0,885.0,892.35,106623
2025-11-21 00:00:00+05:30,890.6,891.95,855.3,863.7,81715
2025-11-24 00:00:00+05:30,870.0,873.75,846.95,850.85,88954
2025-11-25 00:00:00+05:30,855.0,865.0,841.15,845.15,103989
2025-11-26 00:00:00+05:30,845.15,860.0,845.15,854.0,53827
2025-11-27 00:00:00+05:30,854.0,858.95,836.4,840.65,80962
2025-11-28 00:00:00+05:30,841.5,854.0,834.95,842.35,59500
2025-12-01 00:00:00+05:30,849.0,864.05,838.5,843.85,113764
2025-12-02 00:00:00+05:30,843.0,843.85,826.5,830.15,58786
2025-12-03 00:00:00+05:30,827.0,849.1,825.0,841.7,93804
2025-12-04 00:00:00+05:30,840.0,849.45,829.9,835.3,50196
2025-12-05 00:00:00+05:30,835.0,842.9,817.0,837.3,47241
2025-12-08 00:00:00+05:30,837.5,839.45,791.65,799.9,71660
2025-12-09 00:00:00+05:30,799.9,828.0,777.0,821.65,87349
2025-12-10 00:00:00+05:30,827.45,833.95,801.55,808.75,44328
2025-12-11 00:00:00+05:30,811.55,836.7,799.0,831.35,80487
2025-12-12 00:00:00+05:30,833.4,840.0,818.8,826.4,59696
2025-12-15 00:00:00+05:30,825.8,837.9,818.05,829.85,27743
2025-12-16 00:00:00+05:30,829.05,835.95,820.0,823.45,27021
2025-12-17 00:00:00+05:30,819.0,831.0,815.0,816.55,31442
2025-12-18 00:00:00+05:30,815.75,822.05,811.1,815.0,61012
2025-12-19 00:00:00+05:30,816.85,830.0,816.05,826.05,43734
