date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,112.01,115.75,112.01,113.94,824325
2025-04-02 00:00:00+05:30,113.98,115.73,112.96,114.64,638504
2025-04-03 00:00:00+05:30,113.55,117.5,113.45,117.39,1033624
2025-04-04 00:00:00+05:30,117.25,118.89,115.75,116.74,1091248
2025-04-07 00:00:00+05:30,110.1,113.59,110.1,113.07,1333744
2025-04-08 00:00:00+05:30,114.9,115.4,113.61,114.3,623728
2025-04-09 00:00:00+05:30,114.9,115.71,113.6,115.09,565656
2025-04-11 00:00:00+05:30,116.05,120.1,116.05,117.91,915268
2025-04-15 00:00:00+05:30,118.41,119.49,117.9,118.02,643240
2025-04-16 00:00:00+05:30,118.02,124.09,117.71,123.43,2234089
2025-04-17 00:00:00+05:30,123.43,127.65,123.12,127.01,1797782
2025-04-21 00:00:00+05:30,127.8,130.45,127.3,128.21,1554553
2025-04-22 00:00:00+05:30,128.9,131.39,128.48,129.23,1402223
2025-04-23 00:00:00+05:30,130.4,130.4,126.07,127.83,1360630
2025-04-24 00:00:00+05:30,127.98,130.14,127.84,129.0,997667
2025-04-25 00:00:00+05:30,129.0,129.9,124.73,127.03,1531047
2025-04-28 00:00:00+05:30,133.0,140.25,132.6,139.45,19605016
2025-04-29 00:00:00+05:30,139.98,140.0,136.01,137.37,4132528
2025-04-30 00:00:00+05:30,137.89,137.89,133.8,135.16,2309647
2025-05-02 00:00:00+05:30,135.16,138.7,133.09,137.33,3980184
2025-05-05 00:00:00+05:30,137.79,139.44,136.9,137.55,2087670
2025-05-06 00:00:00+05:30,137.0,137.49,131.55,132.84,1949564
2025-05-07 00:00:00+05:30,130.0,136.0,129.75,135.14,1522389
2025-05-08 00:00:00+05:30,134.16,137.17,131.85,132.23,1835966
2025-05-09 00:00:00+05:30,128.0,133.42,128.0,132.81,1573614
2025-05-12 00:00:00+05:30,136.96,138.9,135.7,136.48,2083045
2025-05-13 00:00:00+05:30,136.57,143.08,136.47,142.68,4039777
2025-05-14 00:00:00+05:30,143.0,144.4,139.0,140.67,2822906
2025-05-15 00:00:00+05:30,140.3,142.8,139.1,140.11,1603622
2025-05-16 00:00:00+05:30,140.15,143.72,140.01,142.41,1736856
