date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,11.71,12.35,11.7,12.22,19527458
2025-04-02 00:00:00+05:30,12.2,12.42,12.05,12.2,34499863
2025-04-03 00:00:00+05:30,12.14,12.36,12.04,12.28,20211986
2025-04-04 00:00:00+05:30,12.28,12.33,11.9,12.02,17890279
2025-04-07 00:00:00+05:30,11.05,11.9,11.01,11.66,21183246
2025-04-08 00:00:00+05:30,11.95,12.18,11.86,12.05,14220394
2025-04-09 00:00:00+05:30,12.05,12.22,11.86,12.1,12593771
2025-04-11 00:00:00+05:30,12.36,13.15,12.12,13.08,84767154
2025-04-15 00:00:00+05:30,13.16,13.49,13.0,13.33,109202835
2025-04-16 00:00:00+05:30,13.29,13.32,11.88,12.19,113253449
2025-04-17 00:00:00+05:30,12.0,12.38,12.0,12.3,43330514
2025-04-21 00:00:00+05:30,12.3,12.4,12.22,12.35,19855693
2025-04-22 00:00:00+05:30,12.44,12.54,12.27,12.34,18842094
2025-04-23 00:00:00+05:30,12.38,12.43,12.07,12.14,28499243
2025-04-24 00:00:00+05:30,12.18,12.2,12.12,12.13,14226122
2025-04-25 00:00:00+05:30,12.15,12.15,11.73,11.79,19483154
2025-04-28 00:00:00+05:30,11.8,11.91,11.72,11.79,12398963
2025-04-29 00:00:00+05:30,11.83,12.51,11.8,12.08,104974944
2025-04-30 00:00:00+05:30,12.05,12.2,11.75,12.03,24185680
2025-05-02 00:00:00+05:30,11.8,11.99,11.79,11.84,16079994
2025-05-05 00:00:00+05:30,11.85,13.46,11.79,12.89,264537910
2025-05-06 00:00:00+05:30,12.7,12.7,12.05,12.15,28759644
2025-05-07 00:00:00+05:30,11.87,12.39,11.83,12.2,29066832
2025-05-08 00:00:00+05:30,12.29,12.48,12.05,12.12,35943761
2025-05-09 00:00:00+05:30,11.55,11.92,11.55,11.76,18218159
2025-05-12 00:00:00+05:30,12.52,12.52,12.25,12.27,23281959
2025-05-13 00:00:00+05:30,12.38,12.39,12.18,12.31,11203097
2025-05-14 00:00:00+05:30,12.25,12.5,12.15,12.21,27494206
2025-05-15 00:00:00+05:30,12.32,12.42,11.8,11.92,97882918
2025-05-16 00:00:00+05:30,11.84,12.21,11.8,11.92,131298146
2025-05-19 00:00:00+05:30,12.0,12.49,11.81,12.09,59627967
2025-05-20 00:00:00+05:30,12.18,12.19,11.48,11.52,208727156
2025-05-21 00:00:00+05:30,11.55,11.95,10.94,11.06,240230970
2025-05-22 00:00:00+05:30,11.1,11.2,10.97,11.0,38502020
2025-05-23 00:00:00+05:30,11.02,11.08,10.92,11.03,24883172
2025-05-26 00:00:00+05:30,11.09,11.17,11.02,11.13,11849389
2025-05-27 00:00:00+05:30,11.19,11.29,11.08,11.25,14068611
2025-05-28 00:00:00+05:30,11.29,11.44,11.29,11.4,13829157
2025-05-29 00:00:00+05:30,11.43,11.44,11.18,11.2,15664762
2025-05-30 00:00:00+05:30,11.2,11.31,11.11,11.22,13832687
2025-06-02 00:00:00+05:30,11.01,11.12,10.95,10.99,29688329
2025-06-03 00:00:00+05:30,11.0,11.1,10.96,10.97,12633074
2025-06-04 00:00:00+05:30,11.06,11.06,10.92,10.96,11854120
2025-06-05 00:00:00+05:30,10.95,11.03,10.95,10.96,9939154
2025-06-06 00:00:00+05:30,10.96,11.0,10.94,10.98,8750656
2025-06-09 00:00:00+05:30,11.02,11.09,10.98,10.99,13894924
2025-06-10 00:00:00+05:30,11.0,11.14,10.98,11.04,19716229
2025-06-11 00:00:00+05:30,11.11,11.38,11.02,11.06,29634546
2025-06-12 00:00:00+05:30,11.13,11.15,10.95,11.0,18648522
2025-06-13 00:00:00+05:30,10.9,10.93,10.8,10.88,14307387
2025-06-16 00:00:00+05:30,10.91,10.98,10.65,10.79,17244110
2025-06-17 00:00:00+05:30,10.79,10.96,10.71,10.78,12921290
2025-06-18 00:00:00+05:30,10.78,10.83,10.65,10.69,13070065
2025-06-19 00:00:00+05:30,10.71,10.75,10.45,10.48,17485361
2025-06-20 00:00:00+05:30,10.48,10.62,10.34,10.5,19012381
2025-06-23 00:00:00+05:30,10.4,10.48,10.35,10.38,11170998
2025-06-24 00:00:00+05:30,10.47,10.67,10.47,10.51,10602421
2025-06-25 00:00:00+05:30,10.56,10.73,10.55,10.66,10872556
2025-06-26 00:00:00+05:30,10.7,10.8,10.52,10.54,15435817
2025-06-27 00:00:00+05:30,10.65,10.66,10.36,10.37,23242600
2025-06-30 00:00:00+05:30,10.42,10.55,10.42,10.5,11304490
2025-07-01 00:00:00+05:30,10.5,10.68,10.5,10.54,9754405
2025-07-02 00:00:00+05:30,10.55,10.59,10.39,10.41,9619945
2025-07-03 00:00:00+05:30,10.46,10.47,10.38,10.41,7055588
2025-07-04 00:00:00+05:30,10.42,10.46,10.38,10.39,7561315
2025-07-07 00:00:00+05:30,10.38,10.42,10.34,10.35,5668581
2025-07-08 00:00:00+05:30,10.35,10.46,10.34,10.41,7388368
2025-07-09 00:00:00+05:30,10.46,10.46,10.37,10.39,5194791
2025-07-10 00:00:00+05:30,10.41,10.6,10.4,10.48,12720589
2025-07-11 00:00:00+05:30,10.45,10.53,10.39,10.4,5839420
2025-07-14 00:00:00+05:30,10.4,10.44,10.3,10.34,8563673
2025-07-15 00:00:00+05:30,10.36,10.74,10.36,10.57,23248766
2025-07-16 00:00:00+05:30,10.6,10.65,10.52,10.61,7348060
2025-07-17 00:00:00+05:30,10.65,11.11,10.61,10.72,45427327
2025-07-18 00:00:00+05:30,10.8,10.84,10.6,10.62,12175341
2025-07-21 00:00:00+05:30,10.63,10.69,10.53,10.56,8420850
2025-07-22 00:00:00+05:30,10.55,10.62,10.44,10.48,6544443
2025-07-23 00:00:00+05:30,10.45,10.51,10.4,10.42,5462991
2025-07-24 00:00:00+05:30,10.45,10.5,10.41,10.42,6397647
2025-07-25 00:00:00+05:30,10.41,10.43,10.28,10.33,9258204
2025-07-28 00:00:00+05:30,10.32,10.35,10.18,10.23,8113270
2025-07-29 00:00:00+05:30,10.16,10.22,9.95,10.02,12109369
2025-07-30 00:00:00+05:30,10.06,10.19,9.9,9.96,11641974
2025-07-31 00:00:00+05:30,9.9,9.93,9.81,9.82,10012430
2025-08-01 00:00:00+05:30,9.82,10.02,9.78,9.82,11559739
2025-08-04 00:00:00+05:30,9.85,9.86,9.69,9.72,8051842
2025-08-05 00:00:00+05:30,9.72,9.78,9.5,9.54,9531743
2025-08-06 00:00:00+05:30,9.6,9.6,9.25,9.34,14108288
2025-08-07 00:00:00+05:30,9.3,9.33,9.1,9.23,11597945
2025-08-08 00:00:00+05:30,9.23,9.3,9.05,9.11,10312622
2025-08-11 00:00:00+05:30,9.1,9.12,8.75,8.81,20616246
2025-08-12 00:00:00+05:30,8.82,9.7,8.79,9.1,66205264
2025-08-13 00:00:00+05:30,9.1,9.1,8.81,8.86,22635601
2025-08-14 00:00:00+05:30,8.92,9.28,8.88,9.19,24130878
2025-08-18 00:00:00+05:30,9.0,9.31,8.9,9.21,33369074
2025-08-19 00:00:00+05:30,9.26,9.27,9.02,9.06,17146675
2025-08-20 00:00:00+05:30,9.15,9.85,9.05,9.66,79071861
2025-08-21 00:00:00+05:30,9.74,9.78,9.3,9.32,27644335
2025-08-22 00:00:00+05:30,9.33,9.36,8.92,8.95,34375654
2025-08-25 00:00:00+05:30,9.04,9.04,8.8,8.81,21925877
