date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,201.71,206.6,199.63,202.8,1450153
2025-04-02 00:00:00+05:30,203.88,204.78,195.34,197.65,1177404
2025-04-03 00:00:00+05:30,193.35,195.54,188.5,190.38,1737972
2025-04-04 00:00:00+05:30,191.55,193.5,186.6,188.43,798392
2025-04-07 00:00:00+05:30,181.17,187.7,175.28,185.48,665544
2025-04-08 00:00:00+05:30,189.15,189.5,181.22,183.59,1369694
2025-04-09 00:00:00+05:30,182.0,183.35,179.95,181.33,273651
2025-04-11 00:00:00+05:30,183.55,187.3,183.55,184.6,692492
2025-04-15 00:00:00+05:30,187.1,192.95,186.37,190.27,922977
2025-04-16 00:00:00+05:30,190.5,197.0,190.5,194.33,714833
2025-04-17 00:00:00+05:30,195.9,203.5,195.2,198.95,686918
2025-04-21 00:00:00+05:30,200.9,202.0,197.62,199.22,468642
2025-04-22 00:00:00+05:30,199.3,200.59,197.2,198.59,392492
2025-04-23 00:00:00+05:30,200.4,200.4,193.97,194.97,612091
2025-04-24 00:00:00+05:30,194.97,202.8,194.26,199.06,784771
2025-04-25 00:00:00+05:30,199.06,199.83,190.1,193.65,880539
2025-04-28 00:00:00+05:30,192.5,195.0,189.83,194.5,317777
2025-04-29 00:00:00+05:30,194.11,196.72,190.79,194.28,443145
2025-04-30 00:00:00+05:30,194.95,196.69,188.6,189.24,1136463
2025-05-02 00:00:00+05:30,189.1,192.32,187.99,189.26,1395664
2025-05-05 00:00:00+05:30,189.0,199.65,188.81,197.82,1141970
2025-05-06 00:00:00+05:30,197.85,200.53,194.81,197.49,863023
2025-05-07 00:00:00+05:30,192.4,199.28,192.4,198.03,658090
2025-05-08 00:00:00+05:30,198.03,205.4,196.99,198.97,822827
2025-05-09 00:00:00+05:30,198.51,209.7,194.0,208.07,3341077
2025-05-12 00:00:00+05:30,212.0,233.7,211.8,230.61,5844386
2025-05-13 00:00:00+05:30,231.11,234.56,226.0,232.26,1288519
2025-05-14 00:00:00+05:30,230.1,233.9,224.0,228.25,1146375
2025-05-15 00:00:00+05:30,228.25,233.25,227.25,231.09,889173
2025-05-16 00:00:00+05:30,232.3,235.0,229.27,234.62,1059069
2025-05-19 00:00:00+05:30,240.0,245.0,235.25,238.22,3052527
2025-05-20 00:00:00+05:30,238.2,241.35,231.2,232.46,1070798
2025-05-21 00:00:00+05:30,232.46,234.5,229.02,233.28,682888
2025-05-22 00:00:00+05:30,233.28,238.93,232.5,237.2,491038
2025-05-23 00:00:00+05:30,242.0,242.01,236.42,238.18,721782
2025-05-26 00:00:00+05:30,235.0,241.6,235.0,239.18,572097
2025-05-27 00:00:00+05:30,240.95,244.31,236.0,238.34,1231300
2025-05-28 00:00:00+05:30,238.2,245.0,237.13,244.63,1202407
2025-05-29 00:00:00+05:30,246.83,248.8,243.16,247.55,1708518
2025-05-30 00:00:00+05:30,247.2,250.0,244.32,247.0,1238080
2025-06-02 00:00:00+05:30,247.99,247.99,238.57,239.31,646773
2025-06-03 00:00:00+05:30,240.7,254.0,237.5,239.02,2360902
2025-06-04 00:00:00+05:30,239.0,240.47,233.72,238.44,841714
2025-06-05 00:00:00+05:30,239.7,244.95,238.77,240.47,544633
2025-06-06 00:00:00+05:30,242.0,242.9,238.06,239.91,425527
2025-06-09 00:00:00+05:30,241.49,243.93,238.6,240.06,419690
2025-06-10 00:00:00+05:30,241.3,244.75,236.8,240.51,549065
2025-06-11 00:00:00+05:30,241.5,243.0,238.6,239.85,272210
2025-06-12 00:00:00+05:30,239.85,242.07,237.6,239.97,358350
2025-06-13 00:00:00+05:30,234.71,245.88,234.01,243.46,1383244
2025-06-16 00:00:00+05:30,243.45,243.99,235.2,237.08,863652
2025-06-17 00:00:00+05:30,237.98,247.3,237.95,242.27,1855601
2025-06-18 00:00:00+05:30,242.27,242.94,237.05,237.55,371224
2025-06-19 00:00:00+05:30,238.0,238.79,229.55,230.89,409218
2025-06-20 00:00:00+05:30,230.89,234.99,229.04,233.73,396473
2025-06-23 00:00:00+05:30,233.65,236.1,231.57,233.81,386108
2025-06-24 00:00:00+05:30,236.1,236.17,231.51,232.6,366098
2025-06-25 00:00:00+05:30,233.78,240.48,233.78,239.69,546965
2025-06-26 00:00:00+05:30,239.91,240.8,236.11,237.11,213064
2025-06-27 00:00:00+05:30,237.4,242.24,237.4,241.63,408099
2025-06-30 00:00:00+05:30,241.75,246.36,240.0,243.59,610775
2025-07-01 00:00:00+05:30,244.8,251.0,241.62,242.84,659849
2025-07-02 00:00:00+05:30,242.99,243.8,238.16,240.52,344383
2025-07-03 00:00:00+05:30,240.52,241.9,238.75,240.88,244749
2025-07-04 00:00:00+05:30,240.55,240.88,236.0,236.78,308893
2025-07-07 00:00:00+05:30,236.78,236.79,230.0,230.53,618857
2025-07-08 00:00:00+05:30,230.53,237.31,230.53,232.0,656179
2025-07-09 00:00:00+05:30,232.0,234.55,228.16,232.31,496853
2025-07-10 00:00:00+05:30,233.41,235.92,232.42,233.9,463573
2025-07-11 00:00:00+05:30,233.46,237.55,233.0,236.25,307350
2025-07-14 00:00:00+05:30,238.2,238.5,235.0,237.42,392621
2025-07-15 00:00:00+05:30,237.42,238.95,235.52,236.38,196796
2025-07-16 00:00:00+05:30,236.38,238.0,231.54,236.2,506242
2025-07-17 00:00:00+05:30,236.2,238.7,235.39,237.53,221010
2025-07-18 00:00:00+05:30,238.6,240.0,232.18,234.62,304930
2025-07-21 00:00:00+05:30,236.77,236.77,232.0,232.89,191668
2025-07-22 00:00:00+05:30,232.95,234.5,230.58,231.9,365996
2025-07-23 00:00:00+05:30,232.0,233.44,228.86,232.43,279565
2025-07-24 00:00:00+05:30,232.43,234.56,229.9,232.35,286854
2025-07-25 00:00:00+05:30,231.35,232.0,225.1,226.25,251563
2025-07-28 00:00:00+05:30,226.7,228.0,216.52,218.05,478632
2025-07-29 00:00:00+05:30,216.05,219.2,214.0,217.99,611836
2025-07-30 00:00:00+05:30,217.99,229.0,216.6,224.94,819893
2025-07-31 00:00:00+05:30,221.0,225.37,219.04,222.96,424633
2025-08-01 00:00:00+05:30,222.96,231.39,220.21,225.56,524246
2025-08-04 00:00:00+05:30,225.56,227.45,220.57,223.75,318639
2025-08-05 00:00:00+05:30,223.75,225.05,218.25,219.33,288005
2025-08-06 00:00:00+05:30,225.0,237.9,222.35,225.17,4499334
2025-08-07 00:00:00+05:30,225.0,232.0,220.02,223.64,497730
2025-08-08 00:00:00+05:30,223.63,231.61,221.54,228.81,751070
2025-08-11 00:00:00+05:30,232.2,232.3,224.35,226.2,607954
2025-08-12 00:00:00+05:30,226.2,232.95,225.21,231.39,784828
2025-08-13 00:00:00+05:30,231.39,233.65,227.8,229.06,884524
2025-08-14 00:00:00+05:30,231.0,233.0,228.49,230.25,362342
2025-08-18 00:00:00+05:30,231.21,235.79,230.6,235.06,681718
2025-08-19 00:00:00+05:30,235.06,239.99,231.1,236.13,673819
2025-08-20 00:00:00+05:30,236.45,238.76,234.55,236.35,371543
2025-08-21 00:00:00+05:30,237.51,238.6,236.01,237.35,298151
2025-08-22 00:00:00+05:30,236.66,243.4,235.29,237.66,935260
2025-08-25 00:00:00+05:30,239.0,241.9,236.21,238.0,443375
2025-08-26 00:00:00+05:30,238.0,240.64,231.2,232.01,619720
2025-08-28 00:00:00+05:30,232.0,235.1,223.32,224.43,504612
