date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,699.8,721.9,680.15,688.65,2136107
2025-04-02 00:00:00+05:30,685.65,686.95,652.65,662.6,1791342
2025-04-03 00:00:00+05:30,663.45,672.45,652.8,659.7,1053691
2025-04-04 00:00:00+05:30,659.0,661.1,639.9,649.45,1080116
2025-04-07 00:00:00+05:30,606.0,640.0,595.8,633.35,1489123
2025-04-08 00:00:00+05:30,644.45,661.9,641.0,648.85,2244532
2025-04-09 00:00:00+05:30,648.9,660.6,642.25,654.0,1191181
2025-04-11 00:00:00+05:30,668.5,671.85,635.2,649.55,3042575
2025-04-15 00:00:00+05:30,663.0,699.7,656.6,669.25,4115812
2025-04-16 00:00:00+05:30,671.3,687.95,645.6,649.95,3759757
2025-04-17 00:00:00+05:30,651.15,667.0,645.4,664.55,1737247
2025-04-21 00:00:00+05:30,664.55,667.85,654.55,656.3,1053508
2025-04-22 00:00:00+05:30,656.65,674.5,655.7,664.6,1322108
2025-04-23 00:00:00+05:30,664.6,678.95,656.0,676.65,2027535
2025-04-24 00:00:00+05:30,679.0,683.0,664.35,668.4,868517
2025-04-25 00:00:00+05:30,671.5,671.5,638.0,654.65,2367728
2025-04-28 00:00:00+05:30,650.0,677.8,647.65,675.2,1149511
2025-04-29 00:00:00+05:30,677.85,679.0,662.3,667.2,738560
2025-04-30 00:00:00+05:30,667.2,701.0,663.25,685.55,4791505
2025-05-02 00:00:00+05:30,686.0,692.55,676.15,678.6,1441513
2025-05-05 00:00:00+05:30,680.35,686.45,669.95,681.0,775182
2025-05-06 00:00:00+05:30,682.0,694.8,666.0,686.85,1659976
2025-05-07 00:00:00+05:30,679.8,686.2,663.1,682.75,1678787
2025-05-08 00:00:00+05:30,686.0,691.7,657.7,662.75,1444130
2025-05-09 00:00:00+05:30,646.7,669.0,646.7,664.7,812628
2025-05-12 00:00:00+05:30,676.0,679.3,669.35,676.65,1074733
2025-05-13 00:00:00+05:30,676.6,678.7,660.8,666.2,1406175
2025-05-14 00:00:00+05:30,669.0,694.6,663.0,691.85,1531628
2025-05-15 00:00:00+05:30,694.8,709.8,684.4,699.4,1659992
2025-05-16 00:00:00+05:30,707.0,709.05,695.3,700.05,850892
2025-05-19 00:00:00+05:30,702.0,705.0,682.35,685.85,1032224
2025-05-20 00:00:00+05:30,693.7,693.85,675.0,679.15,1637259
2025-05-21 00:00:00+05:30,675.0,687.45,667.2,672.05,1844005
2025-05-22 00:00:00+05:30,671.5,741.35,671.5,723.8,11786233
2025-05-23 00:00:00+05:30,717.95,724.8,712.45,719.05,1754879
2025-05-26 00:00:00+05:30,721.0,728.9,702.0,708.2,1010386
2025-05-27 00:00:00+05:30,708.6,716.9,698.7,704.95,1327676
2025-05-28 00:00:00+05:30,708.0,722.2,703.2,710.6,2332242
2025-05-29 00:00:00+05:30,714.2,719.25,707.0,716.3,1226368
2025-05-30 00:00:00+05:30,716.3,723.0,705.0,706.3,1759347
2025-06-02 00:00:00+05:30,706.1,735.0,702.0,722.35,2933911
2025-06-03 00:00:00+05:30,725.0,739.9,725.0,729.65,2131110
2025-06-04 00:00:00+05:30,734.4,744.95,723.0,738.85,3148123
2025-06-05 00:00:00+05:30,744.8,756.9,736.45,754.75,3099466
2025-06-06 00:00:00+05:30,759.0,767.85,753.8,763.3,2851545
2025-06-09 00:00:00+05:30,767.0,768.95,754.1,767.2,1061954
2025-06-10 00:00:00+05:30,767.2,781.0,758.3,778.9,1369394
