date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,583.25,607.0,579.2,592.3,620332
2025-04-02 00:00:00+05:30,593.0,601.7,575.0,597.25,433167
2025-04-03 00:00:00+05:30,572.25,605.8,572.25,584.25,550991
2025-04-04 00:00:00+05:30,592.0,592.0,530.0,555.2,1042732
2025-04-07 00:00:00+05:30,477.0,527.0,465.0,518.25,528550
2025-04-08 00:00:00+05:30,530.0,546.85,522.25,527.25,209919
2025-04-09 00:00:00+05:30,526.0,527.2,513.2,518.65,159143
2025-04-11 00:00:00+05:30,538.65,539.55,520.15,532.0,268050
2025-04-15 00:00:00+05:30,545.0,570.0,542.65,555.65,366653
2025-04-16 00:00:00+05:30,560.0,566.8,555.65,562.9,218220
2025-04-17 00:00:00+05:30,560.1,574.75,557.0,560.45,207595
2025-04-21 00:00:00+05:30,563.25,581.85,556.0,576.5,393307
2025-04-22 00:00:00+05:30,580.3,582.75,570.75,574.95,171728
2025-04-23 00:00:00+05:30,580.0,583.9,565.5,578.5,207470
2025-04-24 00:00:00+05:30,580.8,592.9,565.4,569.25,191523
2025-04-25 00:00:00+05:30,574.0,574.0,538.5,546.45,312917
2025-04-28 00:00:00+05:30,545.95,564.55,541.8,560.9,229022
2025-04-29 00:00:00+05:30,565.55,571.45,546.45,549.35,153668
2025-04-30 00:00:00+05:30,549.4,559.35,538.0,541.5,182662
2025-05-02 00:00:00+05:30,540.35,548.05,528.4,536.5,172259
2025-05-05 00:00:00+05:30,540.0,548.85,536.4,546.3,126803
2025-05-06 00:00:00+05:30,549.0,560.85,535.1,554.45,332563
2025-05-07 00:00:00+05:30,543.4,589.9,538.3,581.75,671602
2025-05-08 00:00:00+05:30,583.05,597.0,562.55,571.05,346544
2025-05-09 00:00:00+05:30,565.0,574.0,549.3,570.7,236642
2025-05-12 00:00:00+05:30,580.0,618.0,578.0,615.4,1074330
2025-05-13 00:00:00+05:30,621.0,632.0,615.4,623.85,824112
2025-05-14 00:00:00+05:30,631.0,650.8,627.1,638.65,871112
2025-05-15 00:00:00+05:30,636.1,647.0,625.0,628.0,234566
2025-05-16 00:00:00+05:30,630.7,637.5,610.0,612.7,342027
2025-05-19 00:00:00+05:30,618.0,639.3,616.9,631.15,466008
2025-05-20 00:00:00+05:30,639.7,642.95,614.7,619.9,279867
2025-05-21 00:00:00+05:30,628.95,690.0,628.65,656.95,4488857
2025-05-22 00:00:00+05:30,657.95,661.65,621.75,635.85,896411
2025-05-23 00:00:00+05:30,636.0,646.6,626.25,637.35,336675
2025-05-26 00:00:00+05:30,641.95,656.0,633.05,653.0,464573
2025-05-27 00:00:00+05:30,656.2,658.9,645.0,648.75,186284
2025-05-28 00:00:00+05:30,651.8,652.75,638.9,647.2,258757
2025-05-29 00:00:00+05:30,647.2,658.2,635.6,637.8,213616
2025-05-30 00:00:00+05:30,640.4,662.8,638.55,658.55,433095
2025-06-02 00:00:00+05:30,662.0,669.9,645.55,659.1,350511
2025-06-03 00:00:00+05:30,663.95,663.95,646.0,650.75,288117
2025-06-04 00:00:00+05:30,656.35,661.6,649.0,650.9,196756
2025-06-05 00:00:00+05:30,654.8,659.95,635.05,638.9,431303
2025-06-06 00:00:00+05:30,635.0,643.9,628.0,635.9,200621
2025-06-09 00:00:00+05:30,639.95,645.0,630.05,631.05,237395
2025-06-10 00:00:00+05:30,631.25,648.25,631.2,644.05,244510
2025-06-11 00:00:00+05:30,645.0,647.0,632.65,639.3,132802
2025-06-12 00:00:00+05:30,639.0,643.15,617.1,620.85,232552
2025-06-13 00:00:00+05:30,608.1,617.8,605.25,610.7,197592
2025-06-16 00:00:00+05:30,609.5,620.0,594.5,609.2,193696
2025-06-17 00:00:00+05:30,611.95,614.7,595.0,596.5,149405
2025-06-18 00:00:00+05:30,599.95,630.9,597.5,609.3,867656
2025-06-19 00:00:00+05:30,601.2,611.1,587.35,592.2,245848
2025-06-20 00:00:00+05:30,596.5,601.9,587.15,593.25,155224
2025-06-23 00:00:00+05:30,589.0,595.15,582.2,592.2,196751
2025-06-24 00:00:00+05:30,600.0,607.0,595.25,603.15,202246
2025-06-25 00:00:00+05:30,607.85,640.0,606.8,637.3,408724
2025-06-26 00:00:00+05:30,644.7,690.0,644.7,659.8,2560718
2025-06-27 00:00:00+05:30,663.0,673.0,658.0,668.7,358249
2025-06-30 00:00:00+05:30,669.8,706.8,667.55,702.3,1630246
2025-07-01 00:00:00+05:30,842.75,842.75,842.75,842.75,423109
2025-07-02 00:00:00+05:30,1011.3,1011.3,906.0,976.2,2972659
2025-07-03 00:00:00+05:30,943.95,956.0,908.15,949.5,2439625
2025-07-04 00:00:00+05:30,949.5,960.0,930.0,951.65,600469
