date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,102.11,108.7,102.1,107.43,1160897
2025-04-02 00:00:00+05:30,107.2,108.0,104.61,107.63,639667
2025-04-03 00:00:00+05:30,107.63,110.89,105.63,110.68,1044358
2025-04-04 00:00:00+05:30,110.68,118.29,108.25,116.55,7753621
2025-04-07 00:00:00+05:30,107.63,116.55,107.0,115.82,2016585
2025-04-08 00:00:00+05:30,116.1,122.41,115.51,120.69,2959533
2025-04-09 00:00:00+05:30,119.5,120.06,109.1,109.79,2325832
2025-04-11 00:00:00+05:30,112.99,116.5,110.05,115.81,2321783
2025-04-15 00:00:00+05:30,118.0,120.69,115.4,120.2,1495458
2025-04-16 00:00:00+05:30,121.27,128.06,120.53,124.98,2881874
2025-04-17 00:00:00+05:30,125.04,129.39,124.99,126.5,1656566
2025-04-21 00:00:00+05:30,126.3,129.4,124.57,126.45,890425
2025-04-22 00:00:00+05:30,127.55,128.65,125.5,126.6,801103
2025-04-23 00:00:00+05:30,127.0,128.82,124.4,126.89,928153
2025-04-24 00:00:00+05:30,126.55,130.75,126.4,128.41,914585
2025-04-25 00:00:00+05:30,128.4,129.0,121.34,122.98,743692
2025-04-28 00:00:00+05:30,121.2,124.99,121.2,122.93,609519
2025-04-29 00:00:00+05:30,123.5,125.19,121.27,121.82,473990
2025-04-30 00:00:00+05:30,122.4,123.39,117.1,118.34,701496
2025-05-02 00:00:00+05:30,117.3,120.3,116.72,118.87,756045
2025-05-05 00:00:00+05:30,118.0,119.26,114.0,114.58,873233
2025-05-06 00:00:00+05:30,114.5,115.4,106.36,106.88,1926009
2025-05-07 00:00:00+05:30,107.44,109.7,106.01,108.88,802205
2025-05-08 00:00:00+05:30,109.01,115.65,108.82,109.84,1435576
2025-05-09 00:00:00+05:30,106.06,111.45,106.06,110.63,634020
2025-05-12 00:00:00+05:30,114.0,119.25,114.0,117.17,991693
2025-05-13 00:00:00+05:30,118.0,124.0,117.28,120.98,1639844
2025-05-14 00:00:00+05:30,121.59,123.61,120.0,121.54,549858
2025-05-15 00:00:00+05:30,122.0,123.87,121.25,122.94,671748
2025-05-16 00:00:00+05:30,123.8,125.46,122.05,124.78,825872
2025-05-19 00:00:00+05:30,115.0,118.0,113.66,115.79,3533678
2025-05-20 00:00:00+05:30,117.0,117.71,113.54,114.88,924238
2025-05-21 00:00:00+05:30,114.7,116.95,113.53,116.73,611931
2025-05-22 00:00:00+05:30,116.73,117.5,115.03,116.06,521075
2025-05-23 00:00:00+05:30,116.2,116.79,115.0,115.85,414212
2025-05-26 00:00:00+05:30,115.68,116.72,114.41,114.74,411050
2025-05-27 00:00:00+05:30,114.69,114.96,113.2,114.1,382079
2025-05-28 00:00:00+05:30,114.68,116.0,114.1,115.2,498363
2025-05-29 00:00:00+05:30,115.3,116.38,114.01,114.35,308158
2025-05-30 00:00:00+05:30,114.92,117.48,113.77,116.4,894662
2025-06-02 00:00:00+05:30,117.25,117.89,113.8,114.49,724714
