date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,60.99,63.0,60.41,62.82,756874
2025-04-02 00:00:00+05:30,62.5,62.99,61.32,62.49,922362
2025-04-03 00:00:00+05:30,62.0,64.1,60.91,62.84,1324054
2025-04-04 00:00:00+05:30,62.8,63.17,60.9,61.42,714591
2025-04-07 00:00:00+05:30,58.74,59.84,57.19,59.31,1025161
2025-04-08 00:00:00+05:30,60.83,61.2,59.38,60.72,547874
2025-04-09 00:00:00+05:30,60.2,61.14,59.42,60.83,392149
2025-04-11 00:00:00+05:30,61.16,62.15,60.74,61.41,1013352
2025-04-15 00:00:00+05:30,61.5,63.41,61.5,62.53,1086121
2025-04-16 00:00:00+05:30,62.9,64.27,61.9,62.91,875093
2025-04-17 00:00:00+05:30,62.9,64.0,62.26,62.99,790613
2025-04-21 00:00:00+05:30,63.2,64.9,62.31,64.3,865910
2025-04-22 00:00:00+05:30,63.89,65.5,63.56,64.94,761450
2025-04-23 00:00:00+05:30,65.2,65.48,63.61,64.82,493310
2025-04-24 00:00:00+05:30,64.66,65.89,64.2,64.86,590620
2025-04-25 00:00:00+05:30,65.38,65.82,61.7,62.39,1222067
2025-04-28 00:00:00+05:30,61.8,62.64,61.5,61.82,601497
2025-04-29 00:00:00+05:30,61.95,62.99,61.36,61.63,566493
2025-04-30 00:00:00+05:30,61.9,62.23,59.5,59.8,1215402
2025-05-02 00:00:00+05:30,60.65,60.9,58.81,59.61,877951
2025-05-05 00:00:00+05:30,60.0,61.68,59.26,61.33,857346
2025-05-06 00:00:00+05:30,61.46,61.89,59.81,60.53,1039166
2025-05-07 00:00:00+05:30,59.0,60.26,58.73,59.45,692578
2025-05-08 00:00:00+05:30,59.51,60.29,58.75,58.89,768066
2025-05-09 00:00:00+05:30,57.71,59.81,57.56,59.45,540229
2025-05-12 00:00:00+05:30,60.01,62.51,60.01,61.93,822582
2025-05-13 00:00:00+05:30,61.25,63.57,61.25,63.06,853815
2025-05-14 00:00:00+05:30,63.4,65.14,63.02,64.26,1155012
2025-05-15 00:00:00+05:30,64.26,64.92,63.83,64.04,661492
2025-05-16 00:00:00+05:30,64.84,66.0,63.75,65.21,1021659
2025-05-19 00:00:00+05:30,65.22,66.76,64.5,65.18,1597974
2025-05-20 00:00:00+05:30,65.42,65.53,63.25,63.52,1123956
2025-05-21 00:00:00+05:30,63.5,63.82,61.64,62.27,1071538
2025-05-22 00:00:00+05:30,62.54,62.78,61.3,61.94,1453899
2025-05-23 00:00:00+05:30,61.4,62.5,60.66,61.79,1933256
2025-05-26 00:00:00+05:30,62.7,64.9,62.0,64.46,1333840
2025-05-27 00:00:00+05:30,64.99,65.0,63.48,64.8,1127569
2025-05-28 00:00:00+05:30,64.9,70.9,63.8,67.71,10535858
2025-05-29 00:00:00+05:30,68.0,68.24,65.35,65.75,2192293
2025-05-30 00:00:00+05:30,65.68,66.35,62.25,63.73,10958514
2025-06-02 00:00:00+05:30,64.24,66.65,63.81,66.09,1843593
2025-06-03 00:00:00+05:30,66.09,66.78,64.71,65.02,842030
2025-06-04 00:00:00+05:30,65.5,66.6,64.6,65.41,1246826
2025-06-05 00:00:00+05:30,66.05,66.67,65.01,65.21,818050
2025-06-06 00:00:00+05:30,65.22,67.9,65.22,66.74,1589934
2025-06-09 00:00:00+05:30,66.95,67.85,66.76,67.45,984246
2025-06-10 00:00:00+05:30,67.8,68.25,66.75,67.86,2438688
2025-06-11 00:00:00+05:30,67.95,69.35,66.63,67.4,2569508
2025-06-12 00:00:00+05:30,67.77,68.05,65.4,65.59,1222234
2025-06-13 00:00:00+05:30,64.88,66.33,63.71,65.53,1179997
2025-06-16 00:00:00+05:30,65.01,65.59,63.44,64.41,1302631
2025-06-17 00:00:00+05:30,64.1,65.21,63.15,63.48,1057749
2025-06-18 00:00:00+05:30,63.49,64.18,62.82,63.29,842851
2025-06-19 00:00:00+05:30,63.0,63.56,61.21,61.64,1221307
2025-06-20 00:00:00+05:30,61.66,62.85,61.06,62.02,915711
2025-06-23 00:00:00+05:30,62.1,66.0,62.1,62.87,8245838
2025-06-24 00:00:00+05:30,63.1,64.45,63.1,63.84,1335702
2025-06-25 00:00:00+05:30,64.13,66.27,64.0,65.99,1578726
2025-06-26 00:00:00+05:30,66.33,66.82,65.4,65.62,1206907
2025-06-27 00:00:00+05:30,65.62,66.54,65.55,65.79,1249812
2025-06-30 00:00:00+05:30,66.39,67.93,65.8,65.99,2406849
2025-07-01 00:00:00+05:30,66.0,67.01,66.0,66.63,761287
2025-07-02 00:00:00+05:30,66.9,66.93,65.45,65.63,710975
2025-07-03 00:00:00+05:30,65.85,66.14,65.3,65.46,622199
2025-07-04 00:00:00+05:30,65.46,66.46,65.42,66.17,664125
2025-07-07 00:00:00+05:30,66.17,66.85,65.25,65.63,658175
2025-07-08 00:00:00+05:30,65.62,66.0,64.61,65.47,589364
2025-07-09 00:00:00+05:30,66.0,66.78,65.2,65.43,534447
2025-07-10 00:00:00+05:30,65.8,68.79,65.8,66.99,2775095
2025-07-11 00:00:00+05:30,66.94,67.0,64.84,65.46,1071354
2025-07-14 00:00:00+05:30,65.5,66.5,64.68,65.92,1130056
2025-07-15 00:00:00+05:30,66.3,66.98,65.72,65.91,741064
2025-07-16 00:00:00+05:30,66.19,66.88,65.46,66.47,1096918
2025-07-17 00:00:00+05:30,66.74,67.09,66.01,66.17,855247
2025-07-18 00:00:00+05:30,66.4,66.7,65.25,65.85,443158
2025-07-21 00:00:00+05:30,65.85,66.07,65.0,65.33,680204
2025-07-22 00:00:00+05:30,65.4,66.07,64.04,64.51,1043063
2025-07-23 00:00:00+05:30,64.56,65.7,64.56,65.57,692820
2025-07-24 00:00:00+05:30,65.67,65.84,64.65,65.03,548953
2025-07-25 00:00:00+05:30,65.03,65.59,64.05,64.63,841820
2025-07-28 00:00:00+05:30,64.3,65.49,63.71,63.89,864379
2025-07-29 00:00:00+05:30,63.89,69.2,62.9,68.28,7946108
2025-07-30 00:00:00+05:30,69.9,76.5,69.9,71.29,31299744
2025-07-31 00:00:00+05:30,70.0,74.0,69.71,70.84,4244970
2025-08-01 00:00:00+05:30,70.85,71.15,67.7,68.34,1890573
2025-08-04 00:00:00+05:30,68.2,69.85,67.61,69.15,1323018
2025-08-05 00:00:00+05:30,69.45,69.72,67.17,67.43,1111525
2025-08-06 00:00:00+05:30,67.4,67.79,65.44,66.13,1217921
2025-08-07 00:00:00+05:30,65.86,66.43,64.0,65.67,1275775
2025-08-08 00:00:00+05:30,65.68,67.39,65.15,66.34,1086286
2025-08-11 00:00:00+05:30,66.53,66.98,65.5,66.51,688556
2025-08-12 00:00:00+05:30,66.51,68.28,66.12,67.96,1030220
2025-08-13 00:00:00+05:30,67.97,68.59,67.0,67.28,680029
2025-08-14 00:00:00+05:30,67.26,69.3,66.38,66.92,1257098
2025-08-18 00:00:00+05:30,67.3,68.69,67.15,68.08,677153
2025-08-19 00:00:00+05:30,68.09,69.0,67.61,68.8,861791
2025-08-20 00:00:00+05:30,69.0,69.43,68.17,68.84,525005
2025-08-21 00:00:00+05:30,69.3,70.5,68.31,69.25,1964516
2025-08-22 00:00:00+05:30,69.0,69.9,68.11,68.93,510726
2025-08-25 00:00:00+05:30,69.0,69.54,67.5,67.73,458373
2025-08-26 00:00:00+05:30,67.5,67.56,66.1,66.45,432884
2025-08-28 00:00:00+05:30,66.43,66.48,65.28,65.49,374608
2025-08-29 00:00:00+05:30,65.5,65.74,64.1,64.39,785790
2025-09-01 00:00:00+05:30,64.05,65.74,63.8,65.04,529631
2025-09-02 00:00:00+05:30,65.15,65.94,63.9,64.01,2349510
2025-09-03 00:00:00+05:30,64.15,65.5,64.15,64.8,2488727
2025-09-04 00:00:00+05:30,67.72,67.72,65.15,65.32,1532941
2025-09-05 00:00:00+05:30,65.22,65.62,64.0,64.46,729339
2025-09-08 00:00:00+05:30,64.79,65.68,64.31,64.57,566439
2025-09-09 00:00:00+05:30,64.59,65.05,63.6,63.86,821135
2025-09-10 00:00:00+05:30,64.05,64.69,63.5,63.62,1054437
2025-09-11 00:00:00+05:30,64.25,64.69,63.41,63.49,1488518
2025-09-12 00:00:00+05:30,64.2,64.33,63.44,63.99,1533919
2025-09-15 00:00:00+05:30,64.36,64.84,63.81,64.24,1255778
2025-09-16 00:00:00+05:30,64.5,65.7,64.16,64.97,2052063
2025-09-17 00:00:00+05:30,65.3,66.25,65.03,65.85,1252761
2025-09-18 00:00:00+05:30,66.0,66.0,64.5,64.66,854329
2025-09-19 00:00:00+05:30,64.67,65.49,64.35,65.12,773936
2025-09-22 00:00:00+05:30,65.25,65.37,63.84,63.97,1025602
2025-09-23 00:00:00+05:30,64.25,64.43,63.48,63.81,753439
2025-09-24 00:00:00+05:30,63.75,64.06,63.26,63.45,569481
2025-09-25 00:00:00+05:30,63.49,63.82,62.66,62.79,721219
2025-09-26 00:00:00+05:30,62.99,63.0,61.5,61.67,860636
2025-09-29 00:00:00+05:30,62.0,62.35,61.2,61.71,796103
2025-09-30 00:00:00+05:30,61.71,62.32,61.0,61.28,546393
2025-10-01 00:00:00+05:30,61.5,62.45,61.06,62.14,714137
2025-10-03 00:00:00+05:30,62.1,63.35,62.0,62.96,588645
2025-10-06 00:00:00+05:30,63.5,63.6,62.6,63.03,380272
2025-10-07 00:00:00+05:30,63.03,63.49,62.6,62.88,413634
2025-10-08 00:00:00+05:30,62.9,63.3,62.4,62.72,501130
2025-10-09 00:00:00+05:30,62.68,63.1,62.01,62.5,463089
2025-10-10 00:00:00+05:30,62.79,63.51,62.0,62.42,668751
2025-10-13 00:00:00+05:30,62.4,62.55,61.57,61.69,683793
2025-10-14 00:00:00+05:30,61.75,61.97,60.16,60.48,785237
2025-10-15 00:00:00+05:30,60.79,62.28,60.48,61.93,967535
2025-10-16 00:00:00+05:30,62.2,62.64,61.25,62.07,905659
2025-10-17 00:00:00+05:30,62.0,63.5,61.8,62.47,713891
2025-10-20 00:00:00+05:30,62.58,64.19,60.96,62.34,1013481
2025-10-21 00:00:00+05:30,62.43,63.89,62.34,63.5,364995
2025-10-23 00:00:00+05:30,63.69,63.9,62.95,63.11,562584
2025-10-24 00:00:00+05:30,63.1,63.5,62.45,63.09,438783
2025-10-27 00:00:00+05:30,63.08,63.38,62.49,62.79,408778
2025-10-28 00:00:00+05:30,62.8,62.94,61.8,61.98,753930
2025-10-29 00:00:00+05:30,62.48,63.38,61.94,63.23,610231
2025-10-30 00:00:00+05:30,63.23,64.74,62.82,64.14,937295
2025-10-31 00:00:00+05:30,63.81,65.42,63.31,63.91,649968
2025-11-03 00:00:00+05:30,64.15,64.87,63.81,64.54,552651
2025-11-04 00:00:00+05:30,64.5,65.3,63.2,63.45,1500242
2025-11-06 00:00:00+05:30,63.71,64.0,61.0,61.71,975942
2025-11-07 00:00:00+05:30,61.71,62.1,60.81,61.68,555189
2025-11-10 00:00:00+05:30,61.68,61.72,60.71,60.92,810740
2025-11-11 00:00:00+05:30,60.83,61.89,60.2,60.85,588554
2025-11-12 00:00:00+05:30,61.06,61.55,60.81,61.1,576674
2025-11-13 00:00:00+05:30,61.1,61.42,60.6,60.76,570189
2025-11-14 00:00:00+05:30,60.76,61.0,60.2,60.58,719193
2025-11-17 00:00:00+05:30,60.8,61.35,56.49,60.37,911980
2025-11-18 00:00:00+05:30,60.39,60.9,59.5,60.31,954693
2025-11-19 00:00:00+05:30,60.0,60.25,59.62,59.84,554048
2025-11-20 00:00:00+05:30,59.84,61.5,59.84,60.44,841835
2025-11-21 00:00:00+05:30,60.44,60.8,59.55,59.77,607473
2025-11-24 00:00:00+05:30,60.0,60.4,57.51,57.65,1213911
2025-11-25 00:00:00+05:30,57.7,58.99,57.49,58.64,537064
2025-11-26 00:00:00+05:30,58.73,60.0,58.56,59.72,421776
2025-11-27 00:00:00+05:30,59.99,59.99,58.56,58.75,676447
2025-11-28 00:00:00+05:30,58.5,59.5,58.11,58.84,438218
2025-12-01 00:00:00+05:30,59.01,59.34,57.18,57.46,649761
2025-12-02 00:00:00+05:30,57.45,57.98,57.0,57.34,690919
2025-12-03 00:00:00+05:30,57.37,57.74,56.8,57.18,354468
2025-12-04 00:00:00+05:30,57.18,63.49,56.6,60.72,3338806
2025-12-05 00:00:00+05:30,61.01,61.61,59.66,59.92,965670
2025-12-08 00:00:00+05:30,59.92,60.35,57.02,57.36,832784
2025-12-09 00:00:00+05:30,57.82,61.99,57.02,61.57,3051377
2025-12-10 00:00:00+05:30,61.55,61.55,59.41,59.79,601160
2025-12-11 00:00:00+05:30,59.79,60.49,59.31,60.23,324516
2025-12-12 00:00:00+05:30,61.0,61.1,59.97,60.29,328402
2025-12-15 00:00:00+05:30,60.42,60.43,59.1,59.97,368445
2025-12-16 00:00:00+05:30,59.55,62.0,59.21,60.91,831584
2025-12-17 00:00:00+05:30,60.9,61.03,59.15,59.45,496115
2025-12-18 00:00:00+05:30,59.5,59.71,58.6,59.16,472237
2025-12-19 00:00:00+05:30,59.01,59.8,58.81,59.58,357335
