date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,438.7,439.5,427.0,435.85,920562
2025-04-02 00:00:00+05:30,432.5,474.0,424.5,454.9,6114932
2025-04-03 00:00:00+05:30,451.2,467.6,451.2,456.3,1493317
2025-04-04 00:00:00+05:30,457.0,459.0,430.25,434.0,964363
2025-04-07 00:00:00+05:30,365.35,419.0,365.35,412.45,1258260
2025-04-08 00:00:00+05:30,422.35,431.95,412.1,412.95,596926
2025-04-09 00:00:00+05:30,412.95,415.1,405.0,408.65,430461
2025-04-11 00:00:00+05:30,425.35,439.6,416.2,436.8,2826734
2025-04-15 00:00:00+05:30,444.0,457.4,438.6,449.5,1387526
2025-04-16 00:00:00+05:30,453.35,457.55,442.0,443.85,908061
2025-04-17 00:00:00+05:30,444.4,468.5,443.1,463.05,1936237
2025-04-21 00:00:00+05:30,468.3,482.4,461.25,479.05,2674302
2025-04-22 00:00:00+05:30,494.0,503.85,479.0,481.0,4364436
2025-04-23 00:00:00+05:30,484.0,484.8,464.4,467.05,1360175
2025-04-24 00:00:00+05:30,470.0,472.75,463.1,466.05,773140
2025-04-25 00:00:00+05:30,468.0,469.9,442.05,455.7,1540481
2025-04-28 00:00:00+05:30,456.0,460.75,445.2,452.15,672736
2025-04-29 00:00:00+05:30,452.1,468.0,450.5,461.55,1588282
2025-04-30 00:00:00+05:30,462.0,462.15,434.1,437.7,859662
2025-05-02 00:00:00+05:30,436.7,445.8,429.0,430.9,823657
2025-05-05 00:00:00+05:30,437.9,442.95,431.65,440.9,664077
2025-05-06 00:00:00+05:30,441.55,445.6,416.5,430.1,1211348
2025-05-07 00:00:00+05:30,416.0,429.95,416.0,425.4,877651
2025-05-08 00:00:00+05:30,429.0,434.9,422.5,430.55,779913
2025-05-09 00:00:00+05:30,420.5,424.55,410.2,414.35,895585
2025-05-12 00:00:00+05:30,430.0,447.0,428.15,440.65,1628718
2025-05-13 00:00:00+05:30,442.65,446.5,435.25,445.3,890427
2025-05-14 00:00:00+05:30,448.35,454.95,443.0,446.55,1121984
2025-05-15 00:00:00+05:30,449.7,456.5,445.3,452.45,778765
2025-05-16 00:00:00+05:30,453.7,464.4,450.55,461.9,772741
2025-05-19 00:00:00+05:30,464.0,471.5,457.05,463.2,1129296
2025-05-20 00:00:00+05:30,464.95,466.2,457.8,463.05,695679
2025-05-21 00:00:00+05:30,462.0,467.0,454.0,465.1,541906
2025-05-22 00:00:00+05:30,467.9,481.2,461.8,474.7,2445671
2025-05-23 00:00:00+05:30,477.9,477.9,467.05,474.2,699549
2025-05-26 00:00:00+05:30,478.1,481.4,472.9,477.25,816574
2025-05-27 00:00:00+05:30,477.25,481.75,473.25,479.1,690094
2025-05-28 00:00:00+05:30,479.0,484.95,474.65,476.15,636255
2025-05-29 00:00:00+05:30,475.3,478.8,473.1,476.1,299833
2025-05-30 00:00:00+05:30,476.1,478.4,468.7,472.4,427907
2025-06-02 00:00:00+05:30,469.95,474.25,462.75,464.3,531679
2025-06-03 00:00:00+05:30,465.1,487.0,465.1,472.85,2159393
2025-06-04 00:00:00+05:30,474.75,486.5,467.5,482.35,925018
2025-06-05 00:00:00+05:30,485.0,502.9,482.05,497.3,3225667
2025-06-06 00:00:00+05:30,500.0,505.0,493.6,496.4,1564229
2025-06-09 00:00:00+05:30,499.0,500.85,490.45,497.3,659206
2025-06-10 00:00:00+05:30,500.4,503.25,488.0,490.35,800892
2025-06-11 00:00:00+05:30,491.95,496.7,481.85,487.2,648508
2025-06-12 00:00:00+05:30,491.55,493.9,474.5,476.6,664475
2025-06-13 00:00:00+05:30,462.0,475.55,462.0,469.45,705144
2025-06-16 00:00:00+05:30,464.95,471.95,456.0,469.15,740382
2025-06-17 00:00:00+05:30,472.4,472.4,456.05,457.9,512009
2025-06-18 00:00:00+05:30,457.9,465.0,448.55,450.45,795143
2025-06-19 00:00:00+05:30,449.2,459.9,435.3,437.9,989839
2025-06-20 00:00:00+05:30,437.5,450.5,436.1,439.5,2304809
2025-06-23 00:00:00+05:30,440.1,444.0,437.4,440.75,575850
2025-06-24 00:00:00+05:30,445.0,449.1,438.0,440.05,745782
2025-06-25 00:00:00+05:30,448.75,456.5,445.15,452.65,1245565
2025-06-26 00:00:00+05:30,454.5,457.0,447.1,448.95,615381
2025-06-27 00:00:00+05:30,451.9,527.5,449.25,505.15,54673090
2025-06-30 00:00:00+05:30,506.5,523.6,506.05,517.8,12957025
2025-07-01 00:00:00+05:30,518.95,521.8,500.6,502.9,3055208
2025-07-02 00:00:00+05:30,503.0,506.95,492.0,493.95,1751929
2025-07-03 00:00:00+05:30,495.9,508.7,489.4,503.7,3839179
2025-07-04 00:00:00+05:30,505.0,505.4,495.5,499.35,1096682
2025-07-07 00:00:00+05:30,500.0,504.5,486.1,491.05,1113131
2025-07-08 00:00:00+05:30,490.7,500.55,483.5,493.0,1248284
2025-07-09 00:00:00+05:30,495.0,518.75,493.2,509.95,6252613
2025-07-10 00:00:00+05:30,512.0,518.0,507.1,510.05,1640122
2025-07-11 00:00:00+05:30,509.5,512.6,495.7,499.2,1002828
2025-07-14 00:00:00+05:30,499.2,520.8,496.6,516.65,2122303
2025-07-15 00:00:00+05:30,520.0,534.45,508.25,513.1,8008377
2025-07-16 00:00:00+05:30,518.0,521.7,510.5,514.15,1745805
2025-07-17 00:00:00+05:30,516.7,522.5,513.0,517.7,1368241
2025-07-18 00:00:00+05:30,519.9,521.0,512.0,513.95,912845
2025-07-21 00:00:00+05:30,514.0,518.9,505.95,510.2,954467
2025-07-22 00:00:00+05:30,518.0,522.5,508.55,513.15,1101892
2025-07-23 00:00:00+05:30,516.8,518.9,506.8,514.85,1180014
2025-07-24 00:00:00+05:30,519.45,527.9,510.35,513.0,1819589
2025-07-25 00:00:00+05:30,513.0,513.95,494.0,498.35,924986
2025-07-28 00:00:00+05:30,496.0,498.85,480.0,481.1,1188611
2025-07-29 00:00:00+05:30,483.4,492.5,478.4,486.5,1261123
2025-07-30 00:00:00+05:30,489.25,491.25,476.7,478.9,644579
2025-07-31 00:00:00+05:30,477.95,480.5,469.35,473.05,613536
2025-08-01 00:00:00+05:30,472.95,474.9,461.0,462.75,719102
2025-08-04 00:00:00+05:30,463.95,479.0,458.6,474.85,888341
2025-08-05 00:00:00+05:30,475.9,482.5,468.5,471.35,660300
2025-08-06 00:00:00+05:30,471.35,474.25,454.15,456.85,1385714
2025-08-07 00:00:00+05:30,452.45,464.5,447.6,451.0,1051180
2025-08-08 00:00:00+05:30,451.65,457.85,445.7,449.35,591238
2025-08-11 00:00:00+05:30,446.1,449.9,440.55,446.45,590227
2025-08-12 00:00:00+05:30,448.7,480.9,447.75,469.3,5568591
2025-08-13 00:00:00+05:30,471.5,480.5,469.3,473.7,1121497
2025-08-14 00:00:00+05:30,474.65,475.9,465.0,466.65,574253
2025-08-18 00:00:00+05:30,475.0,475.8,468.05,471.05,494532
2025-08-19 00:00:00+05:30,471.0,482.0,469.75,480.1,820449
2025-08-20 00:00:00+05:30,480.0,484.7,474.45,477.6,525981
2025-08-21 00:00:00+05:30,477.0,482.9,474.25,478.3,632303
2025-08-22 00:00:00+05:30,474.0,478.6,466.0,469.45,489454
2025-08-25 00:00:00+05:30,470.2,475.7,465.0,466.15,504416
2025-08-26 00:00:00+05:30,465.0,469.15,449.0,455.6,583323
2025-08-28 00:00:00+05:30,454.9,459.85,449.1,450.7,497097
2025-08-29 00:00:00+05:30,452.8,456.0,444.45,445.9,494580
2025-09-01 00:00:00+05:30,447.4,456.8,447.4,452.65,498339
2025-09-02 00:00:00+05:30,454.8,467.8,454.0,461.75,776704
2025-09-03 00:00:00+05:30,462.0,467.5,459.0,464.55,414509
2025-09-04 00:00:00+05:30,468.15,471.45,455.95,457.2,385660
2025-09-05 00:00:00+05:30,457.3,461.95,451.1,454.8,511841
2025-09-08 00:00:00+05:30,456.9,460.0,451.3,452.35,333433
2025-09-09 00:00:00+05:30,454.4,457.05,449.15,450.5,315167
2025-09-10 00:00:00+05:30,452.65,490.0,452.65,468.4,5457521
2025-09-11 00:00:00+05:30,474.9,478.05,465.5,474.95,950599
2025-09-12 00:00:00+05:30,474.95,476.8,465.95,469.7,834775
2025-09-15 00:00:00+05:30,469.0,472.35,465.0,466.0,924771
2025-09-16 00:00:00+05:30,467.7,469.25,462.5,463.75,607817
2025-09-17 00:00:00+05:30,465.95,474.4,464.05,467.9,1101940
2025-09-18 00:00:00+05:30,468.4,477.0,464.4,469.85,842844
2025-09-19 00:00:00+05:30,469.95,474.9,465.5,467.05,1150095
2025-09-22 00:00:00+05:30,465.0,466.35,452.85,455.2,905726
2025-09-23 00:00:00+05:30,455.5,460.8,450.0,451.65,592276
2025-09-24 00:00:00+05:30,453.0,487.8,445.55,467.85,25572771
2025-09-25 00:00:00+05:30,468.3,474.75,459.3,462.3,3673359
2025-09-26 00:00:00+05:30,460.95,461.6,450.2,452.5,929376
