date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,78.0,79.3,77.25,77.73,4490991
2025-04-02 00:00:00+05:30,78.58,78.8,76.49,78.4,3603279
2025-04-03 00:00:00+05:30,77.5,81.27,77.27,80.59,9383699
2025-04-04 00:00:00+05:30,80.59,80.84,77.42,78.39,5527086
2025-04-07 00:00:00+05:30,74.25,74.25,72.0,73.54,8275311
2025-04-08 00:00:00+05:30,76.16,77.6,74.77,76.97,7305497
2025-04-09 00:00:00+05:30,76.8,80.68,74.71,78.79,12898941
2025-04-11 00:00:00+05:30,79.34,80.05,77.8,79.49,5816271
2025-04-15 00:00:00+05:30,80.0,81.3,79.55,80.66,4902029
2025-04-16 00:00:00+05:30,80.75,83.18,80.52,81.54,10415928
2025-04-17 00:00:00+05:30,81.5,82.9,81.25,82.1,4957454
2025-04-21 00:00:00+05:30,82.4,84.44,82.25,83.12,6692215
2025-04-22 00:00:00+05:30,83.45,88.12,82.51,85.39,14177119
2025-04-23 00:00:00+05:30,85.7,85.99,83.05,83.98,6224016
2025-04-24 00:00:00+05:30,84.0,85.24,83.47,83.7,4448330
2025-04-25 00:00:00+05:30,83.7,83.95,80.05,80.43,7022961
2025-04-28 00:00:00+05:30,81.0,83.95,80.13,82.72,14384460
2025-04-29 00:00:00+05:30,84.45,84.49,82.15,83.07,7763809
2025-04-30 00:00:00+05:30,82.99,82.99,79.25,79.83,7386949
2025-05-02 00:00:00+05:30,79.85,80.64,79.25,79.87,3342569
2025-05-05 00:00:00+05:30,80.05,81.94,79.42,80.86,5053955
2025-05-06 00:00:00+05:30,81.52,81.7,77.6,77.79,4521426
2025-05-07 00:00:00+05:30,76.0,78.64,76.0,77.89,4632491
2025-05-08 00:00:00+05:30,78.51,79.52,76.5,76.87,3682420
2025-05-09 00:00:00+05:30,75.5,76.67,75.0,76.3,4687870
2025-05-12 00:00:00+05:30,80.95,82.0,79.61,81.79,8338194
2025-05-13 00:00:00+05:30,81.6,82.8,81.05,81.79,4831083
2025-05-14 00:00:00+05:30,82.2,86.6,82.2,85.61,14921607
2025-05-15 00:00:00+05:30,85.93,87.7,84.61,86.29,8668870
2025-05-16 00:00:00+05:30,86.5,87.37,85.76,86.0,4774007
2025-05-19 00:00:00+05:30,86.05,90.85,85.73,89.64,22918601
2025-05-20 00:00:00+05:30,90.95,92.54,89.72,90.93,23077765
2025-05-21 00:00:00+05:30,92.0,95.5,89.01,94.52,27850964
2025-05-22 00:00:00+05:30,94.9,96.5,92.3,93.33,21688167
2025-05-23 00:00:00+05:30,93.65,95.41,92.4,93.94,13416593
2025-05-26 00:00:00+05:30,94.25,95.59,91.3,92.04,10410979
2025-05-27 00:00:00+05:30,91.65,91.99,90.51,91.27,6209853
2025-05-28 00:00:00+05:30,91.7,94.0,91.32,93.37,10593463
2025-05-29 00:00:00+05:30,94.3,96.64,92.66,94.15,17834303
2025-05-30 00:00:00+05:30,93.55,98.7,92.3,96.81,33180488
2025-06-02 00:00:00+05:30,96.9,101.89,95.87,101.27,34159607
2025-06-03 00:00:00+05:30,102.1,102.45,97.85,98.45,16062637
2025-06-04 00:00:00+05:30,98.16,100.9,96.76,100.36,16306320
2025-06-05 00:00:00+05:30,101.1,104.4,100.61,101.12,27904670
2025-06-06 00:00:00+05:30,101.5,102.99,99.1,100.93,15270310
2025-06-09 00:00:00+05:30,101.05,103.0,101.05,101.32,9883525
2025-06-10 00:00:00+05:30,101.55,101.8,99.75,100.14,7337017
2025-06-11 00:00:00+05:30,100.15,100.84,97.12,100.04,17938491
2025-06-12 00:00:00+05:30,100.49,101.49,97.06,97.58,10886752
2025-06-13 00:00:00+05:30,94.5,97.39,94.19,94.82,13786198
2025-06-16 00:00:00+05:30,94.82,95.69,92.71,94.42,8747202
2025-06-17 00:00:00+05:30,94.99,96.26,92.02,92.48,8707991
2025-06-18 00:00:00+05:30,92.47,93.33,91.58,92.0,6109258
2025-06-19 00:00:00+05:30,92.0,92.45,88.98,89.26,9712483
2025-06-20 00:00:00+05:30,89.68,91.85,89.37,91.0,6604741
2025-06-23 00:00:00+05:30,90.0,91.67,89.9,91.07,4450212
2025-06-24 00:00:00+05:30,92.5,93.95,91.4,91.68,9025829
2025-06-25 00:00:00+05:30,92.45,95.9,91.99,94.54,10995239
2025-06-26 00:00:00+05:30,95.05,95.99,94.16,95.44,9063116
2025-06-27 00:00:00+05:30,95.88,101.85,95.8,101.32,47742053
2025-06-30 00:00:00+05:30,102.05,106.32,101.61,103.43,45904195
2025-07-01 00:00:00+05:30,103.44,105.65,102.61,104.85,18080442
2025-07-02 00:00:00+05:30,105.05,105.49,102.5,102.95,12266962
2025-07-03 00:00:00+05:30,103.19,103.79,101.02,101.4,8158791
2025-07-04 00:00:00+05:30,101.98,102.4,100.7,101.12,6074384
2025-07-07 00:00:00+05:30,101.24,102.79,99.95,101.38,12904128
2025-07-08 00:00:00+05:30,102.0,102.38,98.85,99.79,9069989
2025-07-09 00:00:00+05:30,99.9,100.47,98.8,99.88,5344166
2025-07-10 00:00:00+05:30,101.5,102.08,99.28,99.9,9915129
2025-07-11 00:00:00+05:30,99.99,101.1,98.58,99.0,6513177
2025-07-14 00:00:00+05:30,99.1,100.8,98.6,100.26,6975804
2025-07-15 00:00:00+05:30,98.7,100.6,98.0,98.14,7469803
2025-07-16 00:00:00+05:30,98.2,102.14,98.2,100.63,12479686
2025-07-17 00:00:00+05:30,101.0,101.3,99.4,99.67,4224044
2025-07-18 00:00:00+05:30,99.7,100.01,98.3,98.57,4507871
2025-07-21 00:00:00+05:30,98.75,98.89,96.66,97.19,9138488
2025-07-22 00:00:00+05:30,97.7,98.31,95.0,95.26,5860013
