date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,55.05,57.66,54.96,57.17,74364099
2025-04-02 00:00:00+05:30,57.97,57.97,56.45,57.19,60058400
2025-04-03 00:00:00+05:30,57.0,60.9,56.85,60.35,172219370
2025-04-04 00:00:00+05:30,60.5,60.53,57.45,57.81,55966017
2025-04-07 00:00:00+05:30,53.25,56.94,52.46,56.49,71727745
2025-04-08 00:00:00+05:30,57.65,58.37,56.56,57.9,36894087
2025-04-09 00:00:00+05:30,57.56,59.54,57.32,59.25,34043306
2025-04-11 00:00:00+05:30,60.42,60.42,59.33,59.92,30463455
2025-04-15 00:00:00+05:30,61.01,62.32,60.0,61.93,50904668
2025-04-16 00:00:00+05:30,62.3,63.48,61.62,63.32,38895887
2025-04-17 00:00:00+05:30,63.0,64.05,60.66,63.0,120605006
2025-04-21 00:00:00+05:30,63.85,66.84,63.6,66.64,86917754
2025-04-22 00:00:00+05:30,67.01,68.11,66.13,67.2,54806476
2025-04-23 00:00:00+05:30,67.99,69.08,67.01,68.45,63973196
2025-04-24 00:00:00+05:30,68.4,68.9,67.5,67.65,63643793
2025-04-25 00:00:00+05:30,67.7,68.0,65.7,66.08,47589266
2025-04-28 00:00:00+05:30,63.52,66.67,63.11,66.5,64646428
2025-04-29 00:00:00+05:30,66.5,67.55,65.8,66.93,43968174
2025-04-30 00:00:00+05:30,66.3,66.34,64.67,64.89,44736979
2025-05-02 00:00:00+05:30,65.0,66.64,64.95,66.08,33867602
2025-05-05 00:00:00+05:30,66.39,67.74,66.25,67.02,29460326
2025-05-06 00:00:00+05:30,66.46,67.35,65.25,65.52,29766355
2025-05-07 00:00:00+05:30,64.05,67.3,63.95,66.96,58300609
2025-05-08 00:00:00+05:30,66.61,69.0,66.07,66.42,52980809
2025-05-09 00:00:00+05:30,65.0,66.96,65.0,66.21,29317280
2025-05-12 00:00:00+05:30,68.75,69.59,68.02,69.08,35272346
2025-05-13 00:00:00+05:30,69.0,69.7,68.75,69.0,23069930
2025-05-14 00:00:00+05:30,69.1,69.59,68.55,69.47,24426755
2025-05-15 00:00:00+05:30,69.47,69.99,68.88,69.48,19898533
2025-05-16 00:00:00+05:30,69.45,70.17,69.06,69.26,15263099
2025-05-19 00:00:00+05:30,69.2,69.48,68.51,68.66,17398028
2025-05-20 00:00:00+05:30,68.55,68.85,66.91,67.18,16246677
2025-05-21 00:00:00+05:30,67.1,67.2,65.75,66.67,21212180
2025-05-22 00:00:00+05:30,66.65,67.13,66.21,66.87,14134213
2025-05-23 00:00:00+05:30,66.87,67.4,66.56,67.09,12682631
2025-05-26 00:00:00+05:30,67.09,67.5,66.39,66.62,18156503
2025-05-27 00:00:00+05:30,66.6,68.37,65.95,68.12,22780571
2025-05-28 00:00:00+05:30,68.49,68.7,67.66,67.99,29126509
2025-05-29 00:00:00+05:30,68.16,68.45,67.25,67.9,42338882
2025-05-30 00:00:00+05:30,67.9,68.59,67.4,67.97,45498615
2025-06-02 00:00:00+05:30,67.97,69.15,67.84,68.69,16427405
2025-06-03 00:00:00+05:30,68.7,69.02,66.64,66.98,37173312
2025-06-04 00:00:00+05:30,67.08,67.55,66.44,67.49,25137565
2025-06-05 00:00:00+05:30,67.75,67.76,66.49,66.8,25068333
2025-06-06 00:00:00+05:30,66.81,72.27,66.59,71.55,121734090
2025-06-09 00:00:00+05:30,72.5,73.09,71.93,72.31,60883517
2025-06-10 00:00:00+05:30,72.49,72.65,71.28,71.42,18642346
2025-06-11 00:00:00+05:30,71.2,72.23,70.91,71.3,13605618
2025-06-12 00:00:00+05:30,71.3,71.43,70.45,70.85,20500928
2025-06-13 00:00:00+05:30,69.1,71.0,69.1,70.44,43468185
2025-06-16 00:00:00+05:30,70.0,71.05,69.22,70.9,18132074
2025-06-17 00:00:00+05:30,70.89,71.6,69.71,70.15,24435026
2025-06-18 00:00:00+05:30,70.58,71.48,69.7,70.78,21216968
2025-06-19 00:00:00+05:30,70.77,70.85,69.3,69.71,15558407
2025-06-20 00:00:00+05:30,69.5,70.4,69.45,70.19,21742816
2025-06-23 00:00:00+05:30,69.3,71.25,69.3,71.01,23768809
2025-06-24 00:00:00+05:30,71.5,72.45,71.2,72.02,26953380
2025-06-25 00:00:00+05:30,72.25,72.5,71.57,72.1,15436515
2025-06-26 00:00:00+05:30,72.15,72.34,71.4,71.9,29699772
2025-06-27 00:00:00+05:30,72.0,73.16,71.68,72.36,32534083
2025-06-30 00:00:00+05:30,72.38,73.35,72.21,72.84,18465058
2025-07-01 00:00:00+05:30,73.25,77.39,73.25,77.24,129486596
2025-07-02 00:00:00+05:30,77.25,77.55,76.82,77.25,37592039
2025-07-03 00:00:00+05:30,77.4,77.84,76.95,77.66,33916039
2025-07-04 00:00:00+05:30,78.15,78.45,77.16,77.88,30198806
2025-07-07 00:00:00+05:30,77.5,78.3,77.22,77.71,26165428
2025-07-08 00:00:00+05:30,77.71,78.02,77.25,77.86,25588562
2025-07-09 00:00:00+05:30,78.0,78.0,77.15,77.45,19300752
2025-07-10 00:00:00+05:30,77.8,78.04,76.3,76.63,25762507
2025-07-11 00:00:00+05:30,76.59,76.69,74.75,75.23,16515100
2025-07-14 00:00:00+05:30,75.2,76.35,72.6,74.27,33762394
2025-07-15 00:00:00+05:30,74.15,74.76,72.7,72.93,29258552
2025-07-16 00:00:00+05:30,73.0,74.48,73.0,73.86,18913170
2025-07-17 00:00:00+05:30,74.0,74.16,73.32,73.48,18737669
2025-07-18 00:00:00+05:30,73.46,73.72,72.75,73.09,15997903
2025-07-21 00:00:00+05:30,73.0,74.35,72.41,73.99,18939003
2025-07-22 00:00:00+05:30,74.0,74.1,72.25,72.44,11850067
2025-07-23 00:00:00+05:30,72.59,73.2,71.83,72.7,16255180
2025-07-24 00:00:00+05:30,72.69,73.04,72.33,72.89,14860639
2025-07-25 00:00:00+05:30,72.59,72.59,70.51,70.7,16659670
2025-07-28 00:00:00+05:30,69.89,71.55,69.23,70.72,36297662
2025-07-29 00:00:00+05:30,70.46,71.49,70.21,70.31,16716062
2025-07-30 00:00:00+05:30,70.31,70.31,69.02,69.24,16071445
2025-07-31 00:00:00+05:30,68.5,69.62,68.23,68.76,22673335
2025-08-01 00:00:00+05:30,68.9,68.95,67.46,67.58,13817940
2025-08-04 00:00:00+05:30,67.58,69.46,67.3,69.33,16448393
2025-08-05 00:00:00+05:30,69.63,69.71,68.92,69.33,10949883
2025-08-06 00:00:00+05:30,69.49,69.64,68.22,68.74,12903967
2025-08-07 00:00:00+05:30,68.3,69.49,67.62,69.23,13467202
2025-08-08 00:00:00+05:30,69.23,70.37,68.82,69.11,12792924
2025-08-11 00:00:00+05:30,69.11,70.17,69.11,69.68,12840750
2025-08-12 00:00:00+05:30,69.9,70.2,69.0,69.06,10167500
2025-08-13 00:00:00+05:30,69.13,70.34,69.13,69.9,13878553
2025-08-14 00:00:00+05:30,69.9,70.0,68.56,68.77,12414379
2025-08-18 00:00:00+05:30,68.84,70.4,68.83,69.9,24069098
2025-08-19 00:00:00+05:30,69.76,71.6,69.65,71.29,19496992
2025-08-20 00:00:00+05:30,70.91,71.7,70.91,71.25,8584487
2025-08-21 00:00:00+05:30,71.21,71.25,69.9,70.08,10786733
2025-08-22 00:00:00+05:30,69.6,70.45,69.47,69.68,15433275
2025-08-25 00:00:00+05:30,69.6,70.45,69.53,70.28,14729478
2025-08-26 00:00:00+05:30,69.97,70.23,68.55,68.76,16470005
2025-08-28 00:00:00+05:30,68.76,69.27,67.9,68.05,28319230
2025-08-29 00:00:00+05:30,68.0,69.3,67.8,67.99,20587732
2025-09-01 00:00:00+05:30,68.0,69.09,67.57,68.94,14918938
2025-09-02 00:00:00+05:30,68.94,70.3,68.76,69.49,15182005
2025-09-03 00:00:00+05:30,69.44,70.72,69.38,70.59,20534660
2025-09-04 00:00:00+05:30,71.08,72.36,70.37,72.23,39607790
2025-09-05 00:00:00+05:30,72.54,73.24,72.1,72.6,22699792
2025-09-08 00:00:00+05:30,72.6,73.15,72.07,72.27,14592689
2025-09-09 00:00:00+05:30,72.4,73.65,72.2,73.53,33394868
2025-09-10 00:00:00+05:30,73.53,73.99,72.56,72.69,15940386
2025-09-11 00:00:00+05:30,72.69,73.04,72.3,72.44,7368243
2025-09-12 00:00:00+05:30,72.8,72.81,71.95,72.04,8897944
2025-09-15 00:00:00+05:30,72.0,72.43,71.47,71.62,9123219
2025-09-16 00:00:00+05:30,71.59,71.8,70.95,71.55,12164809
2025-09-17 00:00:00+05:30,71.75,72.11,71.5,71.84,9443177
2025-09-18 00:00:00+05:30,72.17,72.56,71.65,71.95,15331745
2025-09-19 00:00:00+05:30,72.0,72.52,71.62,71.75,12449129
2025-09-22 00:00:00+05:30,71.7,72.13,70.8,70.92,16594479
2025-09-23 00:00:00+05:30,70.92,71.49,70.45,70.51,20655395
2025-09-24 00:00:00+05:30,70.6,71.31,69.89,70.04,17448652
2025-09-25 00:00:00+05:30,69.7,70.35,69.65,69.93,15686056
2025-09-26 00:00:00+05:30,69.65,69.84,68.42,68.59,14698569
2025-09-29 00:00:00+05:30,68.89,70.15,68.66,69.5,19074934
2025-09-30 00:00:00+05:30,69.89,70.25,69.3,69.77,16303775
2025-10-01 00:00:00+05:30,69.94,70.56,68.37,69.02,18087902
2025-10-03 00:00:00+05:30,68.99,69.77,68.77,69.04,11411405
2025-10-06 00:00:00+05:30,69.06,71.48,69.06,71.09,24736298
2025-10-07 00:00:00+05:30,71.44,72.15,71.06,71.99,21582240
2025-10-08 00:00:00+05:30,71.98,72.65,71.23,71.99,20547425
2025-10-09 00:00:00+05:30,72.0,73.73,72.0,73.45,24141745
2025-10-10 00:00:00+05:30,73.4,74.57,73.16,74.43,33334050
2025-10-13 00:00:00+05:30,74.35,74.65,73.5,73.71,19126198
2025-10-14 00:00:00+05:30,73.73,74.32,72.58,72.8,29228270
2025-10-15 00:00:00+05:30,72.85,74.0,72.83,72.97,20015593
2025-10-16 00:00:00+05:30,73.26,73.44,71.71,71.79,27633985
2025-10-17 00:00:00+05:30,71.81,72.8,71.71,71.88,23591016
2025-10-20 00:00:00+05:30,72.75,77.1,72.61,76.93,103343278
2025-10-21 00:00:00+05:30,77.25,77.35,76.5,76.77,10454110
2025-10-23 00:00:00+05:30,76.8,80.1,76.3,78.96,94119990
2025-10-24 00:00:00+05:30,78.96,79.49,77.95,78.2,23937221
