date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,14.84,15.53,14.84,15.41,11098685
2025-04-02 00:00:00+05:30,15.53,15.53,14.97,15.44,8149582
2025-04-03 00:00:00+05:30,15.24,15.71,15.15,15.66,8515281
2025-04-04 00:00:00+05:30,15.69,15.8,14.76,14.91,12335476
2025-04-07 00:00:00+05:30,14.3,14.3,13.63,14.05,18523426
2025-04-08 00:00:00+05:30,14.6,14.68,14.08,14.47,8803546
2025-04-09 00:00:00+05:30,14.44,14.44,14.13,14.36,5742059
2025-04-11 00:00:00+05:30,15.07,15.1,14.48,14.53,10127367
2025-04-15 00:00:00+05:30,14.87,15.62,14.68,15.57,15670150
2025-04-16 00:00:00+05:30,15.6,15.73,15.42,15.54,7035083
2025-04-17 00:00:00+05:30,15.5,15.9,15.42,15.79,10036393
2025-04-21 00:00:00+05:30,15.9,16.18,15.58,16.1,9068823
2025-04-22 00:00:00+05:30,16.16,16.58,15.93,16.36,9738747
2025-04-23 00:00:00+05:30,16.44,16.52,15.9,16.2,9516413
2025-04-24 00:00:00+05:30,16.23,16.59,16.08,16.4,10018650
2025-04-25 00:00:00+05:30,16.41,16.46,15.4,15.65,11912227
2025-04-28 00:00:00+05:30,15.58,15.88,15.4,15.76,5595009
2025-04-29 00:00:00+05:30,15.79,16.12,15.69,15.72,4923152
2025-04-30 00:00:00+05:30,15.65,15.78,15.14,15.23,8018201
2025-05-02 00:00:00+05:30,15.23,15.54,15.08,15.35,8757891
2025-05-05 00:00:00+05:30,15.41,15.81,15.19,15.64,5631335
2025-05-06 00:00:00+05:30,15.56,15.73,14.77,14.82,8351075
2025-05-07 00:00:00+05:30,14.55,15.11,14.38,15.02,9106348
2025-05-08 00:00:00+05:30,15.2,15.52,14.87,14.94,6728166
2025-05-09 00:00:00+05:30,14.3,14.88,14.3,14.72,8382944
2025-05-12 00:00:00+05:30,15.6,15.86,15.33,15.74,8544027
2025-05-13 00:00:00+05:30,15.91,16.36,15.72,16.05,9779546
2025-05-14 00:00:00+05:30,16.07,16.48,16.04,16.41,6770832
2025-05-15 00:00:00+05:30,16.41,16.8,16.41,16.58,6716527
2025-05-16 00:00:00+05:30,16.64,17.07,16.62,16.93,6768220
2025-05-19 00:00:00+05:30,16.99,17.84,16.99,17.59,13127132
2025-05-20 00:00:00+05:30,17.87,17.95,16.99,17.02,9697969
2025-05-21 00:00:00+05:30,17.03,17.52,16.71,17.35,9205992
2025-05-22 00:00:00+05:30,17.34,17.52,17.03,17.15,4857171
2025-05-23 00:00:00+05:30,17.15,18.33,17.0,18.02,16828347
