date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,887.95,899.0,867.0,892.75,24458
2025-04-02 00:00:00+05:30,897.0,915.0,889.25,899.4,29983
2025-04-03 00:00:00+05:30,895.1,924.95,890.0,900.0,41890
2025-04-04 00:00:00+05:30,909.9,909.9,835.6,871.35,88636
2025-04-07 00:00:00+05:30,728.05,843.75,726.0,834.2,56688
2025-04-08 00:00:00+05:30,878.7,878.7,841.45,854.8,33029
2025-04-09 00:00:00+05:30,858.1,876.95,812.5,832.3,73593
2025-04-11 00:00:00+05:30,848.9,889.9,848.9,875.7,51756
2025-04-15 00:00:00+05:30,885.0,923.15,880.0,897.55,84859
2025-04-16 00:00:00+05:30,897.5,925.05,881.95,903.65,55880
2025-04-17 00:00:00+05:30,894.6,923.9,890.6,913.2,59550
2025-04-21 00:00:00+05:30,921.0,938.95,908.35,915.85,37786
2025-04-22 00:00:00+05:30,925.0,925.0,900.0,904.65,23365
2025-04-23 00:00:00+05:30,904.65,921.6,888.8,913.45,32253
2025-04-24 00:00:00+05:30,910.1,927.0,903.55,910.95,78436
2025-04-25 00:00:00+05:30,909.15,913.25,854.95,884.2,56782
2025-04-28 00:00:00+05:30,884.2,901.35,872.6,886.9,20343
2025-04-29 00:00:00+05:30,900.95,900.95,875.65,888.2,33946
2025-04-30 00:00:00+05:30,885.0,891.95,861.0,884.55,26896
2025-05-02 00:00:00+05:30,888.55,906.45,868.3,882.65,43453
2025-05-05 00:00:00+05:30,882.7,916.95,866.7,909.05,40801
2025-05-06 00:00:00+05:30,912.0,916.9,872.5,884.2,73211
2025-05-07 00:00:00+05:30,903.4,903.4,857.2,875.8,48104
2025-05-08 00:00:00+05:30,875.9,933.3,875.9,887.65,69386
2025-05-09 00:00:00+05:30,848.1,874.35,822.5,838.55,198873
2025-05-12 00:00:00+05:30,864.95,945.65,864.95,932.0,104416
2025-05-13 00:00:00+05:30,935.0,946.15,897.8,907.5,68924
2025-05-14 00:00:00+05:30,904.0,940.0,903.05,926.2,74029
2025-05-15 00:00:00+05:30,928.0,934.8,918.0,926.65,20021
2025-05-16 00:00:00+05:30,940.5,940.55,913.95,923.15,39196
2025-05-19 00:00:00+05:30,937.0,941.05,905.0,923.6,58430
2025-05-20 00:00:00+05:30,906.1,917.0,878.1,910.35,77240
2025-05-21 00:00:00+05:30,900.0,925.55,879.5,882.55,56319
