date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,161.02,162.64,153.34,154.49,6124257
2025-04-02 00:00:00+05:30,155.93,158.9,152.02,157.7,5927418
2025-04-03 00:00:00+05:30,154.81,160.28,154.76,156.3,4887005
2025-04-04 00:00:00+05:30,156.73,157.4,147.86,151.65,7752365
2025-04-07 00:00:00+05:30,136.48,142.93,135.45,138.87,11244948
2025-04-08 00:00:00+05:30,144.9,147.27,139.9,142.67,5883137
2025-04-09 00:00:00+05:30,141.99,142.79,137.71,139.14,4391415
2025-04-11 00:00:00+05:30,144.22,150.31,142.01,149.43,13833007
2025-04-15 00:00:00+05:30,152.79,160.27,152.79,159.03,14581798
2025-04-16 00:00:00+05:30,159.15,164.81,158.8,162.33,8541051
2025-04-17 00:00:00+05:30,161.38,164.04,159.7,160.53,4899927
2025-04-21 00:00:00+05:30,164.62,170.4,164.24,165.07,19634162
2025-04-22 00:00:00+05:30,166.59,169.54,163.63,166.54,10340650
2025-04-23 00:00:00+05:30,167.62,174.18,166.39,172.06,17794240
2025-04-24 00:00:00+05:30,172.5,180.39,170.93,177.73,20430228
2025-04-25 00:00:00+05:30,179.91,180.28,164.57,169.68,18155475
2025-04-28 00:00:00+05:30,167.57,174.32,167.57,171.77,6198570
2025-04-29 00:00:00+05:30,173.0,175.16,169.74,172.09,5386265
2025-04-30 00:00:00+05:30,171.62,171.91,164.92,166.61,4948087
2025-05-02 00:00:00+05:30,166.0,168.22,162.71,163.75,3882042
2025-05-05 00:00:00+05:30,164.81,171.38,164.81,170.61,5212299
2025-05-06 00:00:00+05:30,170.93,171.36,160.18,162.44,4898719
2025-05-07 00:00:00+05:30,158.95,167.08,157.98,165.65,5255442
2025-05-08 00:00:00+05:30,166.49,168.08,156.84,158.1,4112732
2025-05-09 00:00:00+05:30,151.92,156.82,151.47,154.58,6762989
2025-05-12 00:00:00+05:30,164.61,168.41,161.27,167.62,6575447
2025-05-13 00:00:00+05:30,166.6,168.95,165.31,167.47,4372153
2025-05-14 00:00:00+05:30,168.56,173.49,167.57,171.75,5609885
2025-05-15 00:00:00+05:30,171.75,176.35,171.03,175.62,5996910
2025-05-16 00:00:00+05:30,177.43,180.05,176.45,177.25,7154326
2025-05-19 00:00:00+05:30,178.12,186.16,177.71,182.96,12892649
2025-05-20 00:00:00+05:30,184.33,186.58,179.65,182.8,10440718
2025-05-21 00:00:00+05:30,182.8,186.19,179.24,183.11,4974453
2025-05-22 00:00:00+05:30,182.8,184.72,178.52,181.55,3860092
2025-05-23 00:00:00+05:30,181.57,184.23,178.63,182.34,5273420
2025-05-26 00:00:00+05:30,182.85,190.99,181.27,187.91,16308098
2025-05-27 00:00:00+05:30,188.27,191.62,185.81,189.82,10585772
2025-05-28 00:00:00+05:30,190.59,194.57,190.25,191.11,10699950
2025-05-29 00:00:00+05:30,191.62,193.6,187.09,188.57,6076399
2025-05-30 00:00:00+05:30,192.22,194.48,188.9,192.22,23738788
2025-06-02 00:00:00+05:30,195.47,198.13,181.62,182.72,53494364
2025-06-03 00:00:00+05:30,185.66,187.29,177.43,178.75,17453446
2025-06-04 00:00:00+05:30,179.4,182.31,177.43,181.81,8463016
2025-06-05 00:00:00+05:30,183.59,184.26,180.81,181.41,5178158
2025-06-06 00:00:00+05:30,181.37,182.85,179.5,181.37,6835940
2025-06-09 00:00:00+05:30,182.11,183.64,181.13,181.61,4744012
2025-06-10 00:00:00+05:30,182.71,185.32,181.37,184.02,7986176
2025-06-11 00:00:00+05:30,185.02,186.19,180.29,182.28,6339750
2025-06-12 00:00:00+05:30,182.15,183.1,172.91,174.02,6888193
2025-06-13 00:00:00+05:30,170.04,172.51,169.02,170.0,7384224
2025-06-16 00:00:00+05:30,170.99,171.92,165.38,170.09,7067147
2025-06-17 00:00:00+05:30,170.09,172.73,166.14,166.76,5929738
2025-06-18 00:00:00+05:30,166.92,168.92,165.76,167.3,5854749
2025-06-19 00:00:00+05:30,167.21,168.4,162.56,163.71,4876572
2025-06-20 00:00:00+05:30,163.52,169.38,163.17,168.21,4788962
2025-06-23 00:00:00+05:30,165.6,167.91,165.13,167.38,5159848
2025-06-24 00:00:00+05:30,169.55,173.73,169.55,171.4,7916702
2025-06-25 00:00:00+05:30,172.26,174.72,171.94,172.86,6318296
2025-06-26 00:00:00+05:30,173.01,173.74,170.33,171.41,4749991
2025-06-27 00:00:00+05:30,171.52,173.88,170.55,173.27,5389133
2025-06-30 00:00:00+05:30,174.12,174.87,171.81,172.84,3378679
2025-07-01 00:00:00+05:30,173.39,173.44,169.1,170.5,3278557
2025-07-02 00:00:00+05:30,172.01,176.45,172.01,174.38,13896875
2025-07-03 00:00:00+05:30,175.56,175.85,172.31,174.12,4395352
2025-07-04 00:00:00+05:30,174.47,178.42,173.49,177.41,8605269
2025-07-07 00:00:00+05:30,177.41,177.43,173.09,173.78,3472496
2025-07-08 00:00:00+05:30,173.69,175.32,171.94,174.26,2532709
2025-07-09 00:00:00+05:30,174.45,175.11,172.57,174.31,3037664
2025-07-10 00:00:00+05:30,174.66,177.74,173.71,176.19,4502723
2025-07-11 00:00:00+05:30,175.45,176.14,172.6,173.72,2789244
2025-07-14 00:00:00+05:30,174.08,175.25,171.53,174.03,3708393
2025-07-15 00:00:00+05:30,174.11,174.8,161.46,162.4,15433743
2025-07-16 00:00:00+05:30,163.34,164.95,158.29,164.08,16802326
