date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,57.4,58.9,57.02,57.97,2741768
2025-04-02 00:00:00+05:30,57.99,58.11,56.61,56.91,5052393
2025-04-03 00:00:00+05:30,56.99,58.9,56.36,58.76,5633086
2025-04-04 00:00:00+05:30,58.31,58.69,55.09,56.09,5281508
2025-04-07 00:00:00+05:30,52.54,53.75,50.25,52.22,5718062
2025-04-08 00:00:00+05:30,53.98,54.44,53.05,53.66,2329300
2025-04-09 00:00:00+05:30,53.45,53.87,52.0,52.69,1989436
2025-04-11 00:00:00+05:30,54.0,54.0,51.91,52.25,2694990
2025-04-15 00:00:00+05:30,53.4,54.87,52.41,54.35,5453234
2025-04-16 00:00:00+05:30,54.75,55.55,53.68,54.18,3084652
2025-04-17 00:00:00+05:30,54.2,56.15,53.8,55.38,4555132
2025-04-21 00:00:00+05:30,55.33,56.71,54.75,56.24,3825449
2025-04-22 00:00:00+05:30,56.79,57.35,55.66,56.02,2563933
2025-04-23 00:00:00+05:30,56.2,56.9,55.12,56.5,2586890
2025-04-24 00:00:00+05:30,56.8,58.49,56.25,58.2,5143596
2025-04-25 00:00:00+05:30,58.2,58.32,53.79,54.51,5691856
2025-04-28 00:00:00+05:30,54.89,55.18,53.72,53.99,2332076
2025-04-29 00:00:00+05:30,54.26,54.91,53.11,53.3,1493918
2025-04-30 00:00:00+05:30,53.0,53.74,51.99,52.5,2101112
2025-05-02 00:00:00+05:30,52.5,52.96,49.97,50.27,3964315
2025-05-05 00:00:00+05:30,50.76,53.0,50.05,52.4,3496471
2025-05-06 00:00:00+05:30,52.6,52.7,49.9,50.2,2434944
2025-05-07 00:00:00+05:30,50.0,50.86,48.81,49.59,4468887
2025-05-08 00:00:00+05:30,49.89,50.72,48.0,48.29,3155810
2025-05-09 00:00:00+05:30,47.83,49.5,47.42,49.06,1919079
2025-05-12 00:00:00+05:30,50.95,53.4,50.88,53.14,3288831
2025-05-13 00:00:00+05:30,53.0,58.85,52.61,56.63,12424914
2025-05-14 00:00:00+05:30,56.75,59.8,56.02,56.33,9456782
2025-05-15 00:00:00+05:30,56.3,56.54,55.35,55.97,3044437
2025-05-16 00:00:00+05:30,56.3,57.99,55.8,57.06,3899325
2025-05-19 00:00:00+05:30,57.29,61.2,57.29,58.23,12780512
2025-05-20 00:00:00+05:30,59.0,59.21,56.38,56.96,3330978
2025-05-21 00:00:00+05:30,56.96,57.25,55.86,57.0,3692440
2025-05-22 00:00:00+05:30,57.0,57.62,55.9,56.31,2571246
2025-05-23 00:00:00+05:30,56.39,58.0,55.81,56.87,3084565
2025-05-26 00:00:00+05:30,57.3,58.0,56.7,57.36,1827243
2025-05-27 00:00:00+05:30,57.2,57.85,56.81,57.27,1644287
2025-05-28 00:00:00+05:30,57.32,59.04,57.3,57.79,3530345
2025-05-29 00:00:00+05:30,57.71,58.35,57.23,57.62,3218076
2025-05-30 00:00:00+05:30,57.87,58.1,56.58,57.12,2491005
2025-06-02 00:00:00+05:30,56.75,58.0,56.0,56.16,3814021
2025-06-03 00:00:00+05:30,56.5,60.2,56.36,59.82,13232160
2025-06-04 00:00:00+05:30,60.9,62.0,59.16,61.79,12266025
2025-06-05 00:00:00+05:30,61.8,63.79,61.38,62.2,10776192
2025-06-06 00:00:00+05:30,62.21,64.38,61.33,61.7,8433065
2025-06-09 00:00:00+05:30,62.0,64.99,61.62,64.53,13450414
2025-06-10 00:00:00+05:30,65.0,66.45,64.6,64.91,11162835
2025-06-11 00:00:00+05:30,65.5,66.0,62.8,63.84,12725069
2025-06-12 00:00:00+05:30,62.8,65.82,62.41,64.08,8630649
2025-06-13 00:00:00+05:30,62.8,64.75,62.4,63.97,5929607
2025-06-16 00:00:00+05:30,64.54,65.07,62.25,63.95,4517549
2025-06-17 00:00:00+05:30,63.7,64.35,62.25,62.48,2976857
2025-06-18 00:00:00+05:30,62.6,63.55,61.53,62.12,4583994
2025-06-19 00:00:00+05:30,62.4,62.7,60.0,60.31,6604773
2025-06-20 00:00:00+05:30,59.41,60.57,58.18,58.52,4828856
2025-06-23 00:00:00+05:30,58.06,59.08,57.42,57.6,3334332
2025-06-24 00:00:00+05:30,58.47,59.82,58.3,58.57,3940312
2025-06-25 00:00:00+05:30,59.05,59.9,58.6,59.39,4197295
2025-06-26 00:00:00+05:30,59.78,60.4,56.79,57.77,6249485
2025-06-27 00:00:00+05:30,58.23,59.75,57.99,58.71,3969279
2025-06-30 00:00:00+05:30,59.08,59.49,57.8,57.97,2503614
2025-07-01 00:00:00+05:30,58.2,58.5,56.92,57.92,2480678
2025-07-02 00:00:00+05:30,58.14,58.49,57.0,57.9,2766699
2025-07-03 00:00:00+05:30,57.89,59.75,57.23,57.46,4622361
2025-07-04 00:00:00+05:30,57.61,58.37,56.91,57.44,2481715
2025-07-07 00:00:00+05:30,57.15,57.68,56.02,56.39,2497035
2025-07-08 00:00:00+05:30,56.4,56.85,55.35,56.09,2258939
2025-07-09 00:00:00+05:30,55.75,57.14,55.75,56.8,2141044
2025-07-10 00:00:00+05:30,56.8,57.29,56.07,56.41,1237084
2025-07-11 00:00:00+05:30,56.42,56.9,54.7,54.8,2967004
2025-07-14 00:00:00+05:30,54.81,54.86,53.51,53.94,2246066
2025-07-15 00:00:00+05:30,54.0,56.16,53.99,55.03,3667296
2025-07-16 00:00:00+05:30,55.0,55.28,54.65,54.86,1551220
2025-07-17 00:00:00+05:30,55.0,55.23,54.46,54.6,988799
2025-07-18 00:00:00+05:30,54.6,54.88,53.51,53.69,2204613
2025-07-21 00:00:00+05:30,53.69,54.2,53.15,53.31,1563286
2025-07-22 00:00:00+05:30,53.49,54.1,52.72,52.86,1790221
2025-07-23 00:00:00+05:30,52.99,53.51,52.55,53.09,2287155
2025-07-24 00:00:00+05:30,53.0,53.15,52.01,52.14,3883712
2025-07-25 00:00:00+05:30,52.05,52.85,51.63,52.36,2246637
2025-07-28 00:00:00+05:30,52.36,52.82,49.97,52.17,3735507
2025-07-29 00:00:00+05:30,52.17,52.6,51.29,51.94,1995351
2025-07-30 00:00:00+05:30,52.0,52.38,51.1,51.36,1141401
2025-07-31 00:00:00+05:30,50.54,52.59,50.2,51.2,2615463
2025-08-01 00:00:00+05:30,51.17,51.72,50.0,50.23,1314989
2025-08-04 00:00:00+05:30,50.3,50.91,49.71,49.95,1796923
2025-08-05 00:00:00+05:30,50.37,50.59,49.05,49.56,1136714
2025-08-06 00:00:00+05:30,49.25,49.79,47.53,47.9,4208281
2025-08-07 00:00:00+05:30,47.8,47.8,45.1,46.86,5182717
2025-08-08 00:00:00+05:30,47.0,47.7,45.71,46.0,2062982
2025-08-11 00:00:00+05:30,46.03,46.98,45.43,46.65,1856819
2025-08-12 00:00:00+05:30,46.89,46.89,46.2,46.39,1014367
2025-08-13 00:00:00+05:30,46.39,53.9,45.46,52.73,31892661
2025-08-14 00:00:00+05:30,52.73,52.73,48.6,48.98,6037182
2025-08-18 00:00:00+05:30,49.01,49.8,47.8,48.02,3335395
2025-08-19 00:00:00+05:30,48.09,52.5,47.85,51.05,5372016
2025-08-20 00:00:00+05:30,52.5,54.1,51.02,52.25,13838675
2025-08-21 00:00:00+05:30,52.5,52.66,51.0,51.14,2742110
2025-08-22 00:00:00+05:30,51.2,51.28,49.5,49.64,5715332
2025-08-25 00:00:00+05:30,49.84,49.84,48.1,48.35,5885829
2025-08-26 00:00:00+05:30,48.2,48.2,47.0,47.36,10982820
2025-08-28 00:00:00+05:30,47.0,49.96,47.0,48.55,4253583
2025-08-29 00:00:00+05:30,50.5,51.0,48.73,49.65,10756461
2025-09-01 00:00:00+05:30,50.5,52.0,49.15,51.73,7223694
2025-09-02 00:00:00+05:30,51.94,53.55,51.24,53.05,6780224
2025-09-03 00:00:00+05:30,53.15,58.1,53.01,56.9,21860245
2025-09-04 00:00:00+05:30,58.0,58.0,54.68,55.12,7905326
2025-09-05 00:00:00+05:30,55.31,55.74,53.5,53.72,3183170
2025-09-08 00:00:00+05:30,53.72,54.48,53.03,53.26,2001708
2025-09-09 00:00:00+05:30,53.49,53.8,52.35,52.5,2145177
2025-09-10 00:00:00+05:30,52.51,53.3,51.75,51.83,2554511
2025-09-11 00:00:00+05:30,51.91,58.3,51.56,56.83,28345622
2025-09-12 00:00:00+05:30,57.01,57.95,55.66,57.29,11797924
2025-09-15 00:00:00+05:30,57.58,57.77,56.75,56.9,3085213
