date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,532.05,540.85,520.85,522.5,3372414
2025-04-02 00:00:00+05:30,528.0,532.65,518.0,526.25,4370554
2025-04-03 00:00:00+05:30,520.15,534.0,518.65,527.15,4738116
2025-04-04 00:00:00+05:30,524.95,527.55,500.6,506.4,4338333
2025-04-07 00:00:00+05:30,460.0,492.85,460.0,488.4,3038809
2025-04-08 00:00:00+05:30,502.05,503.55,486.4,490.25,1859126
2025-04-09 00:00:00+05:30,490.0,490.2,477.0,482.3,1765150
2025-04-11 00:00:00+05:30,501.0,501.0,486.0,493.95,3235537
2025-04-15 00:00:00+05:30,499.9,521.5,499.75,512.6,3065723
2025-04-16 00:00:00+05:30,514.0,518.45,501.9,509.7,2574424
2025-04-17 00:00:00+05:30,511.0,516.6,506.65,507.9,2226131
2025-04-21 00:00:00+05:30,510.9,523.25,503.2,521.35,4128522
2025-04-22 00:00:00+05:30,526.0,527.5,507.1,509.2,4070438
2025-04-23 00:00:00+05:30,513.8,515.0,504.6,508.85,5386110
2025-04-24 00:00:00+05:30,508.75,512.6,501.55,503.8,2120881
2025-04-25 00:00:00+05:30,503.0,508.7,478.2,482.7,3196366
2025-04-28 00:00:00+05:30,476.85,489.9,473.3,476.2,6571011
2025-04-29 00:00:00+05:30,479.9,485.8,463.0,464.6,5429671
2025-04-30 00:00:00+05:30,465.8,486.85,463.05,479.2,5506434
2025-05-02 00:00:00+05:30,483.8,483.8,467.7,469.6,2817845
2025-05-05 00:00:00+05:30,472.0,483.65,457.05,481.2,4696931
2025-05-06 00:00:00+05:30,482.9,484.7,464.6,466.2,1813659
2025-05-07 00:00:00+05:30,457.6,474.95,457.6,468.5,1740467
2025-05-08 00:00:00+05:30,472.7,476.5,459.0,463.35,2323658
2025-05-09 00:00:00+05:30,441.0,463.35,441.0,459.85,2156494
2025-05-12 00:00:00+05:30,475.0,482.0,472.3,481.1,1959126
2025-05-13 00:00:00+05:30,482.0,482.05,470.35,474.25,2597495
2025-05-14 00:00:00+05:30,474.25,477.9,471.05,474.95,3784668
2025-05-15 00:00:00+05:30,478.0,491.45,477.15,487.4,5192791
2025-05-16 00:00:00+05:30,490.0,506.65,481.85,503.85,9882396
2025-05-19 00:00:00+05:30,506.0,524.85,505.1,515.35,6049881
2025-05-20 00:00:00+05:30,517.8,519.0,502.85,504.7,3170791
2025-05-21 00:00:00+05:30,503.9,513.9,498.1,504.8,2590939
2025-05-22 00:00:00+05:30,504.3,510.8,492.5,499.95,4039008
2025-05-23 00:00:00+05:30,500.75,504.05,495.65,496.6,2122235
2025-05-26 00:00:00+05:30,496.9,507.5,496.5,504.9,1927370
2025-05-27 00:00:00+05:30,504.9,505.0,493.65,497.35,2509599
2025-05-28 00:00:00+05:30,498.5,503.8,493.9,496.3,1794123
2025-05-29 00:00:00+05:30,497.95,503.0,492.1,500.9,3046559
2025-05-30 00:00:00+05:30,500.5,502.35,486.85,487.95,3732715
2025-06-02 00:00:00+05:30,487.95,501.4,484.1,497.55,1879134
2025-06-03 00:00:00+05:30,498.1,508.35,496.2,499.05,2378912
2025-06-04 00:00:00+05:30,500.9,510.75,495.4,509.05,2982748
2025-06-05 00:00:00+05:30,512.0,515.3,505.4,508.1,1631097
2025-06-06 00:00:00+05:30,514.0,523.95,508.0,522.85,5565991
2025-06-09 00:00:00+05:30,526.8,541.85,525.0,534.9,6278958
2025-06-10 00:00:00+05:30,537.0,538.8,529.0,533.2,2909626
2025-06-11 00:00:00+05:30,537.85,543.1,532.3,535.5,4458603
2025-06-12 00:00:00+05:30,535.0,537.95,514.25,516.8,2193633
2025-06-13 00:00:00+05:30,502.3,515.85,502.3,506.85,2226519
2025-06-16 00:00:00+05:30,507.8,514.3,503.05,512.85,1713177
2025-06-17 00:00:00+05:30,515.0,515.9,500.5,503.35,2324881
2025-06-18 00:00:00+05:30,503.3,512.5,500.7,504.05,2255318
2025-06-19 00:00:00+05:30,504.1,507.0,479.0,480.55,5484701
2025-06-20 00:00:00+05:30,481.0,502.2,480.05,499.3,5785366
2025-06-23 00:00:00+05:30,495.0,503.0,489.5,500.55,3285462
2025-06-24 00:00:00+05:30,506.0,510.8,502.0,504.9,3594212
2025-06-25 00:00:00+05:30,510.9,513.05,506.7,507.7,4375094
2025-06-26 00:00:00+05:30,512.9,520.45,505.5,516.95,7709890
2025-06-27 00:00:00+05:30,519.0,528.5,516.0,522.5,3849783
2025-06-30 00:00:00+05:30,523.3,526.1,517.1,522.1,2172588
2025-07-01 00:00:00+05:30,522.3,528.45,518.8,527.15,2604174
2025-07-02 00:00:00+05:30,531.9,532.65,513.2,518.05,3540272
2025-07-03 00:00:00+05:30,519.8,520.3,507.95,510.35,3273830
2025-07-04 00:00:00+05:30,510.4,513.4,502.1,512.0,3519624
2025-07-07 00:00:00+05:30,513.65,524.2,508.0,509.65,3411737
2025-07-08 00:00:00+05:30,510.0,516.85,504.35,513.55,3934146
2025-07-09 00:00:00+05:30,515.05,525.5,513.9,514.9,3516374
2025-07-10 00:00:00+05:30,516.5,536.6,515.45,530.55,6941032
2025-07-11 00:00:00+05:30,531.0,535.5,522.2,523.7,4054505
2025-07-14 00:00:00+05:30,525.0,534.35,522.25,530.5,3346236
2025-07-15 00:00:00+05:30,532.0,533.5,526.4,528.95,2422923
2025-07-16 00:00:00+05:30,528.75,533.5,526.2,531.75,2460503
2025-07-17 00:00:00+05:30,528.0,534.3,521.55,531.6,4175593
2025-07-18 00:00:00+05:30,532.5,538.75,522.0,530.4,5871617
2025-07-21 00:00:00+05:30,530.4,535.5,526.05,531.7,2545659
2025-07-22 00:00:00+05:30,533.0,536.1,529.55,531.55,2785824
2025-07-23 00:00:00+05:30,532.95,535.8,531.0,533.85,1429888
2025-07-24 00:00:00+05:30,535.0,537.0,526.5,532.55,3750877
2025-07-25 00:00:00+05:30,531.45,532.85,512.0,518.1,3715596
2025-07-28 00:00:00+05:30,515.0,527.75,511.6,520.1,2232420
2025-07-29 00:00:00+05:30,515.2,526.35,515.2,524.8,1532398
2025-07-30 00:00:00+05:30,524.8,529.75,521.05,526.5,1616906
2025-07-31 00:00:00+05:30,520.05,523.8,512.1,515.05,1946308
2025-08-01 00:00:00+05:30,530.0,533.9,509.4,511.65,12369442
2025-08-04 00:00:00+05:30,515.0,539.9,512.3,537.8,9051726
2025-08-05 00:00:00+05:30,539.0,548.4,535.2,537.7,8557539
2025-08-06 00:00:00+05:30,538.5,541.4,521.7,534.05,4521179
2025-08-07 00:00:00+05:30,530.0,537.0,514.6,532.9,3013051
2025-08-08 00:00:00+05:30,533.2,535.05,516.5,518.3,1688157
2025-08-11 00:00:00+05:30,521.5,537.0,518.3,535.1,2511889
2025-08-12 00:00:00+05:30,534.6,539.4,531.1,533.15,1582468
2025-08-13 00:00:00+05:30,534.1,538.95,533.85,535.0,1205129
2025-08-14 00:00:00+05:30,535.0,535.75,525.85,529.15,1062841
2025-08-18 00:00:00+05:30,534.5,540.65,531.15,533.6,2426463
2025-08-19 00:00:00+05:30,533.6,535.0,530.4,533.3,1331520
2025-08-20 00:00:00+05:30,532.2,539.15,531.0,531.75,2552499
2025-08-21 00:00:00+05:30,532.0,532.3,519.2,521.3,2595769
2025-08-22 00:00:00+05:30,520.7,522.6,513.3,517.9,2099250
2025-08-25 00:00:00+05:30,518.9,525.8,515.8,521.45,3246470
2025-08-26 00:00:00+05:30,520.0,521.6,511.45,513.1,1985173
2025-08-28 00:00:00+05:30,513.0,513.0,496.2,497.65,2117153
2025-08-29 00:00:00+05:30,498.05,498.85,485.5,488.45,2020026
2025-09-01 00:00:00+05:30,490.0,501.9,488.0,501.1,1287794
2025-09-02 00:00:00+05:30,504.0,513.1,499.55,511.3,2096621
2025-09-03 00:00:00+05:30,511.3,515.5,508.35,509.05,1579405
2025-09-04 00:00:00+05:30,509.9,513.75,501.5,502.5,1691028
2025-09-05 00:00:00+05:30,502.1,507.15,499.55,504.1,1075403
2025-09-08 00:00:00+05:30,505.2,520.0,505.2,510.2,1649154
2025-09-09 00:00:00+05:30,511.95,512.35,505.0,506.1,1197551
2025-09-10 00:00:00+05:30,508.9,523.0,508.2,519.0,2428381
2025-09-11 00:00:00+05:30,518.65,529.5,516.45,521.55,2031990
2025-09-12 00:00:00+05:30,525.0,529.6,523.1,525.75,1823634
2025-09-15 00:00:00+05:30,523.95,535.0,523.15,532.0,1875958
2025-09-16 00:00:00+05:30,532.45,551.25,532.0,540.05,5756908
2025-09-17 00:00:00+05:30,541.9,545.3,534.0,535.0,1370817
2025-09-18 00:00:00+05:30,535.4,542.5,533.8,537.8,1135518
2025-09-19 00:00:00+05:30,551.0,552.0,542.65,545.5,4396075
2025-09-22 00:00:00+05:30,547.0,549.45,539.35,542.95,1883318
2025-09-23 00:00:00+05:30,542.5,555.5,541.1,543.85,3398352
2025-09-24 00:00:00+05:30,546.05,551.0,533.25,535.15,2427695
2025-09-25 00:00:00+05:30,536.0,539.85,527.15,528.6,2098712
2025-09-26 00:00:00+05:30,526.15,528.4,518.3,520.1,1451737
2025-09-29 00:00:00+05:30,521.0,531.85,520.2,528.55,1476731
2025-09-30 00:00:00+05:30,526.5,534.35,525.0,530.85,1505150
2025-10-01 00:00:00+05:30,532.9,538.0,528.2,536.45,840361
2025-10-03 00:00:00+05:30,537.0,542.35,532.05,539.9,1851581
2025-10-06 00:00:00+05:30,539.9,542.8,536.1,541.0,1940149
2025-10-07 00:00:00+05:30,541.0,557.4,538.55,548.05,4233559
2025-10-08 00:00:00+05:30,547.05,547.95,530.1,534.45,3256894
2025-10-09 00:00:00+05:30,534.0,544.0,532.55,542.8,1425566
2025-10-10 00:00:00+05:30,542.8,547.5,541.5,546.0,1605532
2025-10-13 00:00:00+05:30,543.0,546.5,538.65,544.45,1373686
2025-10-14 00:00:00+05:30,546.0,549.5,534.9,541.05,2538458
2025-10-15 00:00:00+05:30,541.25,547.1,537.6,545.75,1730184
