date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,316.5,326.85,315.55,316.45,1507514
2025-04-02 00:00:00+05:30,317.9,323.9,314.2,322.2,1494340
2025-04-03 00:00:00+05:30,317.9,325.9,317.2,322.5,894382
2025-04-04 00:00:00+05:30,320.0,323.35,304.2,308.65,1670328
2025-04-07 00:00:00+05:30,277.8,290.95,277.8,286.4,2647390
2025-04-08 00:00:00+05:30,299.9,299.9,282.05,284.35,2044746
2025-04-09 00:00:00+05:30,281.9,292.0,278.4,291.0,2485040
2025-04-11 00:00:00+05:30,298.0,298.15,293.8,296.1,962702
2025-04-15 00:00:00+05:30,301.45,306.0,298.9,305.0,2505646
2025-04-16 00:00:00+05:30,305.9,308.2,301.0,306.5,1609872
2025-04-17 00:00:00+05:30,305.0,306.3,302.5,303.65,730994
2025-04-21 00:00:00+05:30,305.65,314.0,303.0,312.1,2273283
2025-04-22 00:00:00+05:30,313.5,314.4,303.0,303.75,1579531
2025-04-23 00:00:00+05:30,307.8,308.75,294.0,294.7,2631546
2025-04-24 00:00:00+05:30,294.95,302.4,293.6,301.25,2439378
2025-04-25 00:00:00+05:30,301.8,305.3,291.75,303.55,3088167
2025-04-28 00:00:00+05:30,303.0,306.1,296.85,300.0,1943997
2025-04-29 00:00:00+05:30,301.0,302.7,298.1,300.5,980347
2025-04-30 00:00:00+05:30,300.0,300.9,290.9,293.65,1679089
2025-05-02 00:00:00+05:30,299.9,304.75,289.1,289.95,4186083
2025-05-05 00:00:00+05:30,292.8,294.1,284.1,289.3,2994011
2025-05-06 00:00:00+05:30,290.0,291.6,285.0,287.05,1585483
2025-05-07 00:00:00+05:30,280.05,292.0,280.05,290.95,1958734
2025-05-08 00:00:00+05:30,292.0,296.3,285.0,287.3,2234343
2025-05-09 00:00:00+05:30,280.15,289.2,279.25,283.9,2076478
2025-05-12 00:00:00+05:30,293.0,296.7,292.0,293.4,1097285
2025-05-13 00:00:00+05:30,294.2,298.5,290.95,294.45,864685
2025-05-14 00:00:00+05:30,295.2,300.0,293.8,297.6,1120370
2025-05-15 00:00:00+05:30,298.6,301.7,296.05,297.05,870728
2025-05-16 00:00:00+05:30,292.5,292.7,287.5,288.25,54069860
2025-05-19 00:00:00+05:30,290.75,293.8,287.3,291.5,2894642
2025-05-20 00:00:00+05:30,294.4,294.6,286.75,288.15,3067921
2025-05-21 00:00:00+05:30,288.05,289.3,281.75,284.15,1959528
2025-05-22 00:00:00+05:30,283.5,289.8,282.9,288.3,2094188
2025-05-23 00:00:00+05:30,289.1,289.25,285.1,287.6,1160885
2025-05-26 00:00:00+05:30,288.95,290.35,286.05,287.4,1184328
2025-05-27 00:00:00+05:30,286.5,288.0,284.4,286.45,1220986
2025-05-28 00:00:00+05:30,286.45,291.7,285.5,287.25,1852956
2025-05-29 00:00:00+05:30,288.9,294.8,287.15,289.75,2163928
2025-05-30 00:00:00+05:30,289.6,292.7,288.95,290.85,1388535
2025-06-02 00:00:00+05:30,292.0,292.7,288.8,289.85,968758
2025-06-03 00:00:00+05:30,290.9,292.3,286.2,286.75,751032
2025-06-04 00:00:00+05:30,286.75,294.7,286.75,292.9,2389442
2025-06-05 00:00:00+05:30,295.7,309.8,295.0,307.1,10098013
2025-06-06 00:00:00+05:30,310.0,312.25,303.05,303.65,3074111
2025-06-09 00:00:00+05:30,308.95,318.8,307.1,317.1,6523455
2025-06-10 00:00:00+05:30,317.1,318.25,310.0,311.1,2534464
2025-06-11 00:00:00+05:30,312.7,315.8,307.1,311.05,2225329
2025-06-12 00:00:00+05:30,311.45,314.5,303.1,304.4,1933000
2025-06-13 00:00:00+05:30,295.0,306.9,293.8,302.45,1995104
2025-06-16 00:00:00+05:30,303.0,306.45,297.05,305.55,1484079
2025-06-17 00:00:00+05:30,305.6,308.55,302.75,303.8,960949
2025-06-18 00:00:00+05:30,304.2,312.95,303.15,308.5,2300514
2025-06-19 00:00:00+05:30,308.5,311.3,297.6,299.55,2020071
2025-06-20 00:00:00+05:30,301.45,301.95,295.4,301.35,1813347
2025-06-23 00:00:00+05:30,298.0,306.45,297.85,302.6,1373212
2025-06-24 00:00:00+05:30,305.5,314.9,303.2,307.95,4219517
2025-06-25 00:00:00+05:30,312.6,313.5,307.7,311.9,2198874
2025-06-26 00:00:00+05:30,313.5,320.7,311.0,317.5,5684551
2025-06-27 00:00:00+05:30,319.05,320.5,314.1,316.65,2339792
2025-06-30 00:00:00+05:30,318.15,318.8,310.8,313.1,2220291
2025-07-01 00:00:00+05:30,313.15,316.5,310.55,313.8,1372459
2025-07-02 00:00:00+05:30,313.75,314.5,306.8,310.2,1265467
2025-07-03 00:00:00+05:30,310.25,310.9,306.4,307.75,1088080
2025-07-04 00:00:00+05:30,307.85,309.2,303.6,305.7,1097132
2025-07-07 00:00:00+05:30,305.95,307.05,301.0,305.15,1268531
2025-07-08 00:00:00+05:30,310.0,312.75,307.2,311.65,2831380
2025-07-09 00:00:00+05:30,311.95,314.5,308.7,312.3,1407062
2025-07-10 00:00:00+05:30,313.2,314.9,310.55,312.4,907386
2025-07-11 00:00:00+05:30,313.9,323.35,312.3,317.05,4847270
2025-07-14 00:00:00+05:30,320.0,323.8,312.05,316.8,3064356
2025-07-15 00:00:00+05:30,317.0,321.3,308.9,310.0,2163484
2025-07-16 00:00:00+05:30,310.85,313.85,309.0,311.3,1437608
2025-07-17 00:00:00+05:30,312.4,314.2,309.7,310.45,1190356
2025-07-18 00:00:00+05:30,311.0,313.95,305.0,307.95,2101800
2025-07-21 00:00:00+05:30,308.0,317.7,306.2,316.75,2438750
2025-07-22 00:00:00+05:30,318.65,319.0,315.5,317.2,1454185
2025-07-23 00:00:00+05:30,321.0,328.5,320.6,321.7,8512821
2025-07-24 00:00:00+05:30,323.25,323.3,318.25,320.65,1493915
2025-07-25 00:00:00+05:30,320.4,320.4,313.05,314.45,1182562
2025-07-28 00:00:00+05:30,314.95,315.25,304.0,305.65,1153582
2025-07-29 00:00:00+05:30,305.05,312.0,303.15,311.35,807518
2025-07-30 00:00:00+05:30,312.1,313.0,305.35,306.05,733846
2025-07-31 00:00:00+05:30,301.55,309.8,301.3,304.75,948230
2025-08-01 00:00:00+05:30,305.15,307.2,303.3,304.05,573112
2025-08-04 00:00:00+05:30,304.3,308.9,303.35,305.3,866286
2025-08-05 00:00:00+05:30,307.45,307.95,304.15,304.95,657728
2025-08-06 00:00:00+05:30,304.95,305.9,298.55,300.4,986980
2025-08-07 00:00:00+05:30,298.0,303.75,296.05,302.6,953958
2025-08-08 00:00:00+05:30,302.7,302.7,296.5,297.2,578010
2025-08-11 00:00:00+05:30,297.1,299.85,296.05,296.9,596550
2025-08-12 00:00:00+05:30,297.0,302.95,295.1,297.5,814121
2025-08-13 00:00:00+05:30,299.9,301.9,297.2,299.8,457556
2025-08-14 00:00:00+05:30,300.2,304.0,299.0,302.85,490537
2025-08-18 00:00:00+05:30,307.85,311.05,304.95,309.1,1287372
2025-08-19 00:00:00+05:30,311.9,314.5,311.25,312.65,1202456
2025-08-20 00:00:00+05:30,312.75,314.2,307.25,308.3,665012
2025-08-21 00:00:00+05:30,309.0,312.5,308.25,308.75,795253
2025-08-22 00:00:00+05:30,308.9,310.4,304.5,305.2,505452
2025-08-25 00:00:00+05:30,307.2,308.2,302.7,303.25,661310
2025-08-26 00:00:00+05:30,302.3,303.4,295.55,296.6,1181592
2025-08-28 00:00:00+05:30,296.45,302.0,294.15,300.1,1278749
2025-08-29 00:00:00+05:30,300.1,301.6,295.4,296.0,692378
2025-09-01 00:00:00+05:30,300.0,300.0,296.5,298.45,424408
2025-09-02 00:00:00+05:30,300.55,305.55,300.45,302.7,774829
2025-09-03 00:00:00+05:30,302.7,309.85,302.15,306.55,768339
2025-09-04 00:00:00+05:30,308.85,308.85,302.4,303.25,963450
2025-09-05 00:00:00+05:30,303.25,304.25,298.6,300.1,473827
2025-09-08 00:00:00+05:30,300.6,305.0,299.4,301.25,581764
2025-09-09 00:00:00+05:30,301.45,313.9,301.45,313.05,3220403
2025-09-10 00:00:00+05:30,315.0,318.5,312.5,313.85,2142640
2025-09-11 00:00:00+05:30,315.85,319.9,312.2,314.0,1178191
2025-09-12 00:00:00+05:30,317.0,317.85,313.3,315.25,750572
2025-09-15 00:00:00+05:30,314.5,317.5,313.75,314.9,742835
2025-09-16 00:00:00+05:30,315.0,327.4,314.9,326.2,4316494
2025-09-17 00:00:00+05:30,328.0,332.6,325.8,328.75,3935446
2025-09-18 00:00:00+05:30,330.3,332.0,320.95,327.7,3386778
2025-09-19 00:00:00+05:30,328.9,339.9,328.35,335.8,10488577
2025-09-22 00:00:00+05:30,335.8,339.5,332.05,338.65,2130716
2025-09-23 00:00:00+05:30,341.0,343.5,338.65,342.05,3155566
2025-09-24 00:00:00+05:30,343.0,349.0,342.0,342.75,2654083
2025-09-25 00:00:00+05:30,341.95,341.95,334.05,338.25,1658961
2025-09-26 00:00:00+05:30,335.0,337.3,321.25,322.65,1739109
2025-09-29 00:00:00+05:30,323.9,326.45,317.55,322.75,1054182
2025-09-30 00:00:00+05:30,321.2,321.6,311.6,315.25,1337614
2025-10-01 00:00:00+05:30,316.0,317.8,312.6,317.0,848354
2025-10-03 00:00:00+05:30,315.95,318.0,314.35,315.75,763031
2025-10-06 00:00:00+05:30,315.0,315.0,307.05,308.9,1503077
2025-10-07 00:00:00+05:30,309.35,309.85,306.1,307.55,837984
2025-10-08 00:00:00+05:30,307.95,310.0,306.0,307.15,750548
2025-10-09 00:00:00+05:30,307.15,308.3,305.6,307.05,471872
2025-10-10 00:00:00+05:30,307.05,311.5,306.0,307.0,1069346
2025-10-13 00:00:00+05:30,306.95,307.0,303.75,305.6,630449
2025-10-14 00:00:00+05:30,306.35,309.8,304.0,308.85,900674
2025-10-15 00:00:00+05:30,310.8,316.0,307.55,309.3,1648013
2025-10-16 00:00:00+05:30,310.3,312.8,307.8,308.95,1014881
2025-10-17 00:00:00+05:30,305.0,305.0,295.1,297.2,4124969
2025-10-20 00:00:00+05:30,297.0,298.3,292.55,294.05,2160589
2025-10-21 00:00:00+05:30,296.2,299.0,295.85,298.05,365442
2025-10-23 00:00:00+05:30,298.1,302.2,296.65,299.75,2511026
2025-10-24 00:00:00+05:30,299.75,301.1,291.7,293.65,1494061
2025-10-27 00:00:00+05:30,295.6,298.5,294.05,296.0,1270699
2025-10-28 00:00:00+05:30,297.0,297.8,294.5,294.95,1153877
2025-10-29 00:00:00+05:30,295.35,298.7,294.65,296.2,1211905
2025-10-30 00:00:00+05:30,296.85,297.45,294.7,295.4,575686
2025-10-31 00:00:00+05:30,295.0,295.2,289.0,289.85,1438268
2025-11-03 00:00:00+05:30,290.1,292.8,287.15,289.95,1426615
2025-11-04 00:00:00+05:30,289.95,292.5,288.5,289.7,706330
2025-11-06 00:00:00+05:30,289.65,289.85,281.9,283.9,1068603
2025-11-07 00:00:00+05:30,282.75,285.4,279.3,280.2,1609684
2025-11-10 00:00:00+05:30,280.55,286.0,277.5,278.8,1310110
2025-11-11 00:00:00+05:30,279.75,284.0,277.5,283.4,752544
2025-11-12 00:00:00+05:30,284.4,286.35,281.05,284.65,1016132
2025-11-13 00:00:00+05:30,284.65,286.35,279.1,281.35,1098682
2025-11-14 00:00:00+05:30,281.15,283.75,279.2,280.9,904303
2025-11-17 00:00:00+05:30,281.0,285.5,277.5,281.35,1448173
2025-11-18 00:00:00+05:30,284.95,286.9,275.6,276.15,3390506
2025-11-19 00:00:00+05:30,276.2,280.45,276.15,277.3,1103353
2025-11-20 00:00:00+05:30,278.4,280.45,275.55,276.25,860804
2025-11-21 00:00:00+05:30,276.25,276.55,269.35,269.9,1109091
2025-11-24 00:00:00+05:30,269.95,271.0,264.6,269.0,891457
2025-11-25 00:00:00+05:30,269.9,270.7,266.7,267.3,1079008
2025-11-26 00:00:00+05:30,267.3,270.25,267.3,269.75,974062
2025-11-27 00:00:00+05:30,270.2,275.5,269.4,269.85,1097324
2025-11-28 00:00:00+05:30,270.05,273.3,268.9,270.35,1046480
