date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,229.0,232.0,225.06,228.95,850993
2025-04-02 00:00:00+05:30,230.0,231.98,223.78,229.85,711824
2025-04-03 00:00:00+05:30,225.48,235.29,225.27,234.09,957117
2025-04-04 00:00:00+05:30,233.0,233.8,221.0,223.83,1234989
2025-04-07 00:00:00+05:30,193.0,220.58,192.55,217.51,1263703
2025-04-08 00:00:00+05:30,224.0,226.0,214.67,219.58,763180
2025-04-09 00:00:00+05:30,218.8,220.84,214.36,219.85,399747
2025-04-11 00:00:00+05:30,224.89,228.79,219.55,227.62,734438
2025-04-15 00:00:00+05:30,230.0,233.69,228.16,232.17,689941
2025-04-16 00:00:00+05:30,233.4,233.99,227.5,228.15,1047807
2025-04-17 00:00:00+05:30,229.5,231.0,225.55,226.61,1036997
2025-04-21 00:00:00+05:30,227.74,234.25,224.8,232.25,1421646
2025-04-22 00:00:00+05:30,233.4,236.59,229.5,234.28,1661259
2025-04-23 00:00:00+05:30,237.54,238.93,230.35,233.74,1881033
2025-04-24 00:00:00+05:30,234.04,247.8,231.95,242.23,3372962
2025-04-25 00:00:00+05:30,242.23,243.09,229.1,231.26,1504364
2025-04-28 00:00:00+05:30,231.25,234.9,226.69,231.7,867680
2025-04-29 00:00:00+05:30,232.03,236.13,227.1,228.1,936900
2025-04-30 00:00:00+05:30,228.15,229.25,217.0,218.71,1308800
2025-05-02 00:00:00+05:30,218.71,221.67,216.2,218.33,891329
2025-05-05 00:00:00+05:30,219.43,224.95,217.75,221.07,598223
2025-05-06 00:00:00+05:30,222.0,222.61,209.31,210.67,888592
2025-05-07 00:00:00+05:30,207.25,213.74,206.2,212.33,982381
2025-05-08 00:00:00+05:30,211.5,219.1,209.0,211.29,971976
2025-05-09 00:00:00+05:30,205.0,214.47,205.0,213.32,701963
2025-05-12 00:00:00+05:30,221.0,222.57,217.65,221.36,998294
2025-05-13 00:00:00+05:30,222.0,226.25,220.26,224.35,776988
2025-05-14 00:00:00+05:30,224.35,228.2,224.35,225.62,688867
2025-05-15 00:00:00+05:30,226.7,230.46,225.5,228.77,930880
2025-05-16 00:00:00+05:30,228.4,236.0,227.84,234.93,1286857
2025-05-19 00:00:00+05:30,236.5,240.95,235.5,238.31,1289215
2025-05-20 00:00:00+05:30,241.59,241.6,232.0,232.77,782826
2025-05-21 00:00:00+05:30,231.6,235.49,229.22,234.82,775131
2025-05-22 00:00:00+05:30,233.59,235.5,227.07,230.48,1041658
2025-05-23 00:00:00+05:30,223.57,227.25,219.19,224.78,2984832
2025-05-26 00:00:00+05:30,223.8,227.32,222.0,223.61,898923
2025-05-27 00:00:00+05:30,224.6,225.6,221.0,221.33,941390
2025-05-28 00:00:00+05:30,223.0,224.45,219.5,220.15,1082822
2025-05-29 00:00:00+05:30,221.76,222.63,219.66,220.81,942959
2025-05-30 00:00:00+05:30,209.0,215.45,207.0,210.8,4428098
2025-06-02 00:00:00+05:30,210.99,211.86,207.5,208.06,1436724
2025-06-03 00:00:00+05:30,209.1,214.8,206.79,207.22,1518366
2025-06-04 00:00:00+05:30,208.0,210.16,206.51,208.65,1167739
2025-06-05 00:00:00+05:30,210.0,210.39,207.8,209.47,1683098
2025-06-06 00:00:00+05:30,210.5,214.79,209.02,211.11,1475199
2025-06-09 00:00:00+05:30,212.9,217.5,211.92,216.56,1509959
2025-06-10 00:00:00+05:30,218.63,221.4,213.45,220.18,2582635
2025-06-11 00:00:00+05:30,220.18,225.0,218.02,220.73,2835422
