date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,50.85,53.15,50.35,52.69,3988795
2025-04-02 00:00:00+05:30,53.26,53.4,51.29,52.97,3311192
2025-04-03 00:00:00+05:30,52.88,54.6,52.09,53.81,4623114
2025-04-04 00:00:00+05:30,53.94,54.2,51.05,51.56,4508068
2025-04-07 00:00:00+05:30,44.51,49.52,44.51,48.8,4519616
2025-04-08 00:00:00+05:30,50.14,51.1,49.08,49.46,3330620
2025-04-09 00:00:00+05:30,49.52,49.69,47.98,48.16,2038714
2025-04-11 00:00:00+05:30,48.64,52.88,48.64,52.38,6709844
2025-04-15 00:00:00+05:30,53.59,53.94,52.94,53.14,3539555
2025-04-16 00:00:00+05:30,53.36,54.34,52.88,53.97,4506612
2025-04-17 00:00:00+05:30,53.77,55.7,53.67,54.41,6068795
2025-04-21 00:00:00+05:30,54.74,55.25,54.21,54.79,4197580
2025-04-22 00:00:00+05:30,55.69,60.3,54.94,59.16,18460432
2025-04-23 00:00:00+05:30,59.98,63.13,59.16,61.28,14023348
2025-04-24 00:00:00+05:30,61.32,63.01,61.32,62.65,8309064
2025-04-25 00:00:00+05:30,63.15,64.46,58.82,63.26,18467002
2025-04-28 00:00:00+05:30,63.0,63.4,57.7,59.38,17570422
2025-04-29 00:00:00+05:30,58.0,59.74,57.5,57.88,4529790
2025-04-30 00:00:00+05:30,57.9,58.17,54.11,54.45,5522051
2025-05-02 00:00:00+05:30,54.5,55.7,53.24,53.77,4952737
2025-05-05 00:00:00+05:30,54.2,55.0,53.5,54.04,3506801
2025-05-06 00:00:00+05:30,54.29,54.74,51.64,51.98,3160250
2025-05-07 00:00:00+05:30,51.2,53.9,51.0,53.03,6945337
2025-05-08 00:00:00+05:30,53.0,53.65,51.4,51.67,2995811
2025-05-09 00:00:00+05:30,50.05,51.0,49.24,49.93,3952403
2025-05-12 00:00:00+05:30,51.69,55.0,51.69,54.05,5404348
2025-05-13 00:00:00+05:30,54.2,55.05,53.4,54.79,3427099
