date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,40.15,42.71,39.83,42.29,2258956
2025-04-02 00:00:00+05:30,42.87,44.67,41.65,44.15,2750553
2025-04-03 00:00:00+05:30,43.76,47.46,43.44,46.42,3185300
2025-04-04 00:00:00+05:30,46.58,46.59,44.39,45.47,1789274
2025-04-07 00:00:00+05:30,39.69,42.98,39.02,42.1,2133098
2025-04-08 00:00:00+05:30,42.8,45.03,42.71,44.0,1966154
2025-04-09 00:00:00+05:30,43.9,45.45,42.11,44.36,1576352
2025-04-11 00:00:00+05:30,45.62,48.01,45.36,47.57,3147529
2025-04-15 00:00:00+05:30,48.0,49.2,47.1,48.22,2877932
2025-04-16 00:00:00+05:30,48.06,49.38,47.19,49.03,2697653
2025-04-17 00:00:00+05:30,48.92,49.12,47.66,48.1,2842079
2025-04-21 00:00:00+05:30,48.37,48.7,47.86,48.43,1391606
2025-04-22 00:00:00+05:30,48.7,51.2,48.69,50.22,6149522
2025-04-23 00:00:00+05:30,50.39,51.11,49.06,50.3,5301975
2025-04-24 00:00:00+05:30,50.26,50.76,49.31,50.23,2082968
2025-04-25 00:00:00+05:30,50.3,50.88,46.65,48.51,11262539
2025-04-28 00:00:00+05:30,48.47,49.84,47.2,47.99,1751188
2025-04-29 00:00:00+05:30,48.34,48.34,46.87,47.14,1616797
2025-04-30 00:00:00+05:30,47.1,47.55,45.91,46.68,3201306
2025-05-02 00:00:00+05:30,46.09,47.55,45.76,46.89,2128643
2025-05-05 00:00:00+05:30,46.1,47.1,45.92,46.84,1050206
2025-05-06 00:00:00+05:30,46.84,47.1,43.95,44.22,2925667
2025-05-07 00:00:00+05:30,44.23,45.85,44.16,45.61,2020690
2025-05-08 00:00:00+05:30,45.86,46.27,44.08,44.65,1255045
2025-05-09 00:00:00+05:30,44.47,44.47,42.52,43.37,1623672
2025-05-12 00:00:00+05:30,45.99,47.78,45.72,47.18,1671292
2025-05-13 00:00:00+05:30,47.45,47.9,46.68,47.2,539630
2025-05-14 00:00:00+05:30,46.92,49.89,46.92,48.67,2089625
2025-05-15 00:00:00+05:30,48.67,49.93,48.15,48.39,936412
2025-05-16 00:00:00+05:30,48.47,48.78,47.1,47.55,751797
2025-05-19 00:00:00+05:30,47.64,48.64,47.1,47.84,1055090
2025-05-20 00:00:00+05:30,48.18,48.6,45.41,46.08,1110919
2025-05-21 00:00:00+05:30,46.23,47.14,45.22,46.76,1319188
2025-05-22 00:00:00+05:30,46.27,46.89,45.54,45.88,1155382
2025-05-23 00:00:00+05:30,45.82,47.82,45.69,47.06,1426416
2025-05-26 00:00:00+05:30,47.01,53.86,47.01,52.25,10311287
2025-05-27 00:00:00+05:30,52.25,52.63,49.85,50.33,1435108
2025-05-28 00:00:00+05:30,50.3,51.94,50.21,50.7,1454520
2025-05-29 00:00:00+05:30,50.93,57.61,50.93,56.53,11150043
2025-05-30 00:00:00+05:30,56.88,58.53,55.81,57.01,3227596
2025-06-02 00:00:00+05:30,57.01,57.2,55.05,55.45,1155412
2025-06-03 00:00:00+05:30,55.76,57.85,55.33,56.74,2494231
2025-06-04 00:00:00+05:30,57.2,62.32,57.2,60.71,11418015
2025-06-05 00:00:00+05:30,61.04,61.73,59.09,59.53,8336553
2025-06-06 00:00:00+05:30,59.89,65.39,59.75,64.32,7974163
2025-06-09 00:00:00+05:30,64.47,67.3,63.6,64.28,7829683
2025-06-10 00:00:00+05:30,64.84,65.65,62.64,64.67,3480412
2025-06-11 00:00:00+05:30,66.48,67.67,64.2,67.15,4695062
2025-06-12 00:00:00+05:30,67.63,69.23,65.49,66.63,7905547
2025-06-13 00:00:00+05:30,64.93,69.96,64.25,67.64,5100964
2025-06-16 00:00:00+05:30,67.63,67.85,64.43,66.55,3452023
2025-06-17 00:00:00+05:30,66.76,66.94,65.48,65.62,1867225
2025-06-18 00:00:00+05:30,65.82,65.82,63.75,64.67,1407564
2025-06-19 00:00:00+05:30,64.92,66.94,62.55,65.01,3495307
2025-06-20 00:00:00+05:30,64.66,66.02,63.57,64.3,1186853
2025-06-23 00:00:00+05:30,63.59,67.21,63.36,66.14,2370642
2025-06-24 00:00:00+05:30,67.44,72.7,67.12,70.76,9488347
2025-06-25 00:00:00+05:30,71.56,72.16,69.04,71.59,1954513
2025-06-26 00:00:00+05:30,71.64,74.07,71.6,73.62,4108834
2025-06-27 00:00:00+05:30,74.17,84.72,74.17,81.33,20374736
2025-06-30 00:00:00+05:30,82.26,82.67,80.21,81.64,3745966
2025-07-01 00:00:00+05:30,81.4,82.76,80.53,81.09,3173705
2025-07-02 00:00:00+05:30,81.57,81.62,74.91,76.36,4108990
2025-07-03 00:00:00+05:30,76.81,85.23,76.37,84.5,13185198
2025-07-04 00:00:00+05:30,84.47,88.16,81.74,83.16,11939104
2025-07-07 00:00:00+05:30,83.59,85.6,81.41,81.95,3958174
2025-07-08 00:00:00+05:30,81.85,82.53,78.75,80.56,2916015
2025-07-09 00:00:00+05:30,80.52,83.67,80.51,81.35,5423280
2025-07-10 00:00:00+05:30,81.39,86.27,81.39,84.92,8554198
2025-07-11 00:00:00+05:30,83.68,85.76,82.26,82.91,3384308
2025-07-14 00:00:00+05:30,82.91,83.61,80.06,81.33,3462861
2025-07-15 00:00:00+05:30,81.21,84.0,78.97,79.29,4113376
2025-07-16 00:00:00+05:30,79.56,79.74,75.55,77.58,6296016
2025-07-17 00:00:00+05:30,77.7,78.7,72.96,73.43,4515447
2025-07-18 00:00:00+05:30,73.25,74.48,71.64,73.8,5460804
2025-07-21 00:00:00+05:30,74.39,76.24,73.12,75.23,7116951
2025-07-22 00:00:00+05:30,75.68,75.9,73.62,74.75,2526246
2025-07-23 00:00:00+05:30,75.08,75.44,74.39,75.05,1468181
2025-07-24 00:00:00+05:30,75.05,75.35,73.8,74.55,1105241
2025-07-25 00:00:00+05:30,74.07,74.48,72.24,72.6,1931927
2025-07-28 00:00:00+05:30,72.83,74.98,71.72,74.12,2271877
2025-07-29 00:00:00+05:30,74.57,75.44,72.78,75.1,1971954
2025-07-30 00:00:00+05:30,75.44,76.49,74.03,74.33,2088591
2025-07-31 00:00:00+05:30,73.02,80.84,72.58,79.24,13868693
2025-08-01 00:00:00+05:30,79.08,79.27,73.16,73.87,3660917
2025-08-04 00:00:00+05:30,73.17,78.19,73.17,76.56,3714487
2025-08-05 00:00:00+05:30,76.82,79.47,76.56,77.92,5549746
2025-08-06 00:00:00+05:30,78.37,79.01,76.09,76.49,1496505
2025-08-07 00:00:00+05:30,76.54,78.1,74.3,77.68,2767799
2025-08-08 00:00:00+05:30,77.87,78.36,75.08,76.52,2904389
2025-08-11 00:00:00+05:30,76.63,78.65,70.96,71.75,7091694
2025-08-12 00:00:00+05:30,71.5,71.7,68.14,69.43,4910146
2025-08-13 00:00:00+05:30,69.14,74.12,69.14,73.25,12541965
2025-08-14 00:00:00+05:30,70.81,73.99,69.06,72.84,21479233
2025-08-18 00:00:00+05:30,72.5,78.4,70.6,77.22,21580636
2025-08-19 00:00:00+05:30,77.95,78.5,75.25,76.04,10904137
2025-08-20 00:00:00+05:30,76.3,77.65,75.46,76.05,3397030
2025-08-21 00:00:00+05:30,76.7,76.95,72.73,74.22,6985684
2025-08-22 00:00:00+05:30,74.69,74.69,71.5,71.97,2171706
2025-08-25 00:00:00+05:30,70.4,75.74,70.4,73.68,11007991
2025-08-26 00:00:00+05:30,73.81,74.25,70.59,71.51,10956839
2025-08-28 00:00:00+05:30,71.51,71.99,70.17,70.61,4264247
2025-08-29 00:00:00+05:30,70.51,72.9,70.29,70.89,4843212
2025-09-01 00:00:00+05:30,71.3,73.64,71.29,72.54,4457420
2025-09-02 00:00:00+05:30,72.45,74.1,71.57,73.2,6716754
2025-09-03 00:00:00+05:30,72.41,73.1,71.46,72.42,2694491
2025-09-04 00:00:00+05:30,73.4,73.51,70.28,70.5,2364902
2025-09-05 00:00:00+05:30,70.69,74.85,70.19,74.08,4181250
2025-09-08 00:00:00+05:30,74.29,74.72,71.81,72.37,1883175
2025-09-09 00:00:00+05:30,72.21,72.7,70.55,71.21,1322302
2025-09-10 00:00:00+05:30,71.68,72.5,70.9,71.37,1108623
2025-09-11 00:00:00+05:30,71.45,72.0,70.0,70.36,1100779
