date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,46.01,46.84,46.01,46.29,7122070
2025-04-02 00:00:00+05:30,46.58,46.64,45.3,46.21,7771327
2025-04-03 00:00:00+05:30,46.0,47.9,45.8,47.66,13407637
2025-04-04 00:00:00+05:30,47.51,47.96,46.19,46.57,8058182
2025-04-07 00:00:00+05:30,42.0,44.74,42.0,43.62,14008343
2025-04-08 00:00:00+05:30,45.0,45.78,44.14,45.18,15674965
2025-04-09 00:00:00+05:30,45.07,45.87,44.75,45.46,9053050
2025-04-11 00:00:00+05:30,46.39,46.39,45.55,45.66,5735494
2025-04-15 00:00:00+05:30,46.5,46.54,45.92,46.03,8261846
2025-04-16 00:00:00+05:30,46.17,47.88,46.07,47.52,11279785
2025-04-17 00:00:00+05:30,47.9,48.9,47.6,48.4,13507204
2025-04-21 00:00:00+05:30,49.07,51.21,49.06,50.9,23493198
2025-04-22 00:00:00+05:30,51.6,51.96,50.34,50.5,21713001
2025-04-23 00:00:00+05:30,50.84,50.99,49.41,50.82,12161746
2025-04-24 00:00:00+05:30,50.91,51.15,50.5,50.54,9022166
2025-04-25 00:00:00+05:30,51.0,51.25,49.0,50.01,27545895
2025-04-28 00:00:00+05:30,50.45,51.14,50.26,50.93,16356706
2025-04-29 00:00:00+05:30,51.5,52.4,50.94,51.43,15525683
2025-04-30 00:00:00+05:30,51.5,51.6,50.31,50.66,8158351
2025-05-02 00:00:00+05:30,50.75,51.58,50.35,50.63,8818898
2025-05-05 00:00:00+05:30,51.05,51.91,50.54,51.8,9612013
2025-05-06 00:00:00+05:30,52.25,52.25,49.66,50.07,12027865
2025-05-07 00:00:00+05:30,49.15,51.2,49.05,50.95,11441530
2025-05-08 00:00:00+05:30,51.01,51.6,50.19,50.39,9651528
2025-05-09 00:00:00+05:30,47.61,48.73,47.51,48.34,16147927
2025-05-12 00:00:00+05:30,50.0,50.95,49.9,50.72,11745076
2025-05-13 00:00:00+05:30,50.74,51.15,50.0,50.54,10310476
