date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,51.49,54.4,51.37,53.96,2058103
2025-04-02 00:00:00+05:30,54.01,55.9,52.59,54.26,2429988
2025-04-03 00:00:00+05:30,53.72,54.86,52.75,54.56,1310214
2025-04-04 00:00:00+05:30,54.0,54.44,50.8,51.55,2038968
2025-04-07 00:00:00+05:30,44.5,49.05,44.5,48.41,2485780
2025-04-08 00:00:00+05:30,50.8,51.45,49.31,49.89,1750319
2025-04-09 00:00:00+05:30,50.25,50.25,48.01,48.95,875657
2025-04-11 00:00:00+05:30,50.47,50.9,49.76,50.36,1022782
2025-04-15 00:00:00+05:30,51.0,52.9,50.92,52.76,1820113
2025-04-16 00:00:00+05:30,53.2,54.6,52.6,53.62,2166308
2025-04-17 00:00:00+05:30,53.72,54.6,53.3,53.79,1279044
2025-04-21 00:00:00+05:30,54.15,55.3,53.67,54.91,1524334
2025-04-22 00:00:00+05:30,55.2,56.37,54.71,55.74,1742336
2025-04-23 00:00:00+05:30,55.75,56.7,54.8,55.83,1489009
2025-04-24 00:00:00+05:30,55.8,65.7,55.5,61.85,50705153
2025-04-25 00:00:00+05:30,61.61,61.68,57.74,58.28,8872622
2025-04-28 00:00:00+05:30,58.1,58.77,56.9,58.12,4312881
2025-04-29 00:00:00+05:30,56.44,59.36,56.44,57.31,3376273
2025-04-30 00:00:00+05:30,57.48,57.48,55.8,56.19,2056297
2025-05-02 00:00:00+05:30,56.33,56.85,55.12,55.41,2136611
2025-05-05 00:00:00+05:30,55.41,57.11,55.23,56.43,1823993
2025-05-06 00:00:00+05:30,56.43,56.82,53.3,53.67,1620353
2025-05-07 00:00:00+05:30,52.0,54.28,52.0,53.89,1495839
2025-05-08 00:00:00+05:30,54.08,55.21,52.02,52.87,1129064
2025-05-09 00:00:00+05:30,50.5,52.77,50.5,52.28,1667683
2025-05-12 00:00:00+05:30,54.3,56.8,54.3,56.38,2526864
2025-05-13 00:00:00+05:30,56.85,57.7,55.85,56.88,1479229
2025-05-14 00:00:00+05:30,57.33,60.8,57.16,59.42,5977889
2025-05-15 00:00:00+05:30,59.6,60.5,59.0,60.09,2399539
2025-05-16 00:00:00+05:30,60.16,62.5,60.05,61.77,4644290
2025-05-19 00:00:00+05:30,62.0,63.55,61.19,61.59,3412964
2025-05-20 00:00:00+05:30,61.59,62.97,60.29,61.08,2486613
2025-05-21 00:00:00+05:30,61.0,62.9,60.35,61.9,2704381
2025-05-22 00:00:00+05:30,61.9,62.49,60.51,61.21,1960480
2025-05-23 00:00:00+05:30,61.48,66.43,60.69,63.68,15942800
2025-05-26 00:00:00+05:30,64.0,65.33,63.81,64.08,3427990
2025-05-27 00:00:00+05:30,64.2,64.3,63.2,63.88,2287605
2025-05-28 00:00:00+05:30,64.0,72.47,63.92,69.42,62446260
2025-05-29 00:00:00+05:30,70.7,83.3,70.7,81.11,201711846
2025-05-30 00:00:00+05:30,84.48,88.19,80.0,85.77,122328454
2025-06-02 00:00:00+05:30,84.4,84.4,77.3,78.03,23464250
2025-06-03 00:00:00+05:30,78.75,79.02,76.55,77.07,8525619
2025-06-04 00:00:00+05:30,76.94,79.3,73.38,78.05,10239415
2025-06-05 00:00:00+05:30,78.25,78.3,76.0,76.2,3650988
2025-06-06 00:00:00+05:30,75.4,75.49,72.5,73.57,1298041
2025-06-09 00:00:00+05:30,73.5,75.4,72.0,73.79,898930
2025-06-10 00:00:00+05:30,73.79,74.59,70.2,72.43,1354381
2025-06-11 00:00:00+05:30,72.38,74.0,71.5,72.82,1036894
2025-06-12 00:00:00+05:30,73.7,73.7,70.8,71.26,839596
2025-06-13 00:00:00+05:30,70.0,70.9,67.69,69.6,697902
2025-06-16 00:00:00+05:30,69.0,69.39,66.55,68.66,564216
2025-06-17 00:00:00+05:30,68.49,72.09,68.1,72.09,773103
2025-06-18 00:00:00+05:30,72.09,73.0,69.0,69.37,621301
2025-06-19 00:00:00+05:30,69.5,69.9,66.11,66.55,538281
2025-06-20 00:00:00+05:30,66.43,68.5,66.0,67.38,544194
2025-06-23 00:00:00+05:30,66.12,70.74,66.1,70.03,1582637
2025-06-24 00:00:00+05:30,70.8,71.5,68.92,69.24,1230241
2025-06-25 00:00:00+05:30,69.35,72.2,69.35,71.31,1531402
2025-06-26 00:00:00+05:30,72.0,72.64,70.5,71.19,1095290
2025-06-27 00:00:00+05:30,71.87,71.87,70.5,70.61,913565
2025-06-30 00:00:00+05:30,70.99,73.65,70.3,72.77,2149729
2025-07-01 00:00:00+05:30,73.0,73.47,71.5,72.0,1019450
2025-07-02 00:00:00+05:30,72.5,72.5,70.83,70.96,651335
2025-07-03 00:00:00+05:30,71.6,71.6,69.69,70.34,710970
2025-07-04 00:00:00+05:30,71.35,71.35,69.61,70.03,703879
2025-07-07 00:00:00+05:30,70.0,70.94,68.9,69.66,631092
2025-07-08 00:00:00+05:30,69.99,70.94,69.0,69.36,484726
2025-07-09 00:00:00+05:30,69.64,70.64,69.0,69.13,457348
2025-07-10 00:00:00+05:30,69.9,70.35,68.1,68.78,741273
2025-07-11 00:00:00+05:30,68.78,69.59,67.8,67.96,683772
2025-07-14 00:00:00+05:30,68.15,68.5,67.02,67.88,534161
2025-07-15 00:00:00+05:30,68.09,69.74,68.01,68.5,510331
2025-07-16 00:00:00+05:30,68.55,69.48,68.5,68.66,547154
2025-07-17 00:00:00+05:30,69.11,69.2,68.1,68.28,420045
2025-07-18 00:00:00+05:30,68.64,68.87,67.55,68.1,575305
2025-07-21 00:00:00+05:30,68.2,72.0,67.52,70.68,4624082
2025-07-22 00:00:00+05:30,71.8,72.8,70.1,70.29,1677112
2025-07-23 00:00:00+05:30,70.64,70.64,68.7,69.17,734595
2025-07-24 00:00:00+05:30,69.49,69.56,68.35,68.68,445927
2025-07-25 00:00:00+05:30,68.0,68.5,66.71,67.13,631197
2025-07-28 00:00:00+05:30,67.0,67.24,64.5,65.34,692929
2025-07-29 00:00:00+05:30,64.65,66.98,64.3,66.01,571232
2025-07-30 00:00:00+05:30,66.29,66.95,65.45,65.59,249194
2025-07-31 00:00:00+05:30,64.0,65.15,63.56,64.63,426295
2025-08-01 00:00:00+05:30,64.4,69.47,64.4,66.27,1730537
2025-08-04 00:00:00+05:30,65.65,67.75,65.25,65.6,542779
2025-08-05 00:00:00+05:30,66.0,66.55,65.5,65.71,458788
2025-08-06 00:00:00+05:30,66.1,66.3,64.71,64.9,376036
2025-08-07 00:00:00+05:30,64.94,65.8,62.22,64.42,761011
2025-08-08 00:00:00+05:30,64.8,64.9,63.05,63.26,466187
2025-08-11 00:00:00+05:30,63.26,63.5,61.81,62.81,639046
2025-08-12 00:00:00+05:30,62.15,63.19,61.9,62.01,575802
2025-08-13 00:00:00+05:30,62.31,63.18,62.3,62.69,495666
2025-08-14 00:00:00+05:30,62.69,63.08,62.0,62.13,269250
2025-08-18 00:00:00+05:30,62.5,63.62,62.5,63.01,410180
2025-08-19 00:00:00+05:30,63.01,66.51,63.01,65.3,1908035
2025-08-20 00:00:00+05:30,65.89,66.09,64.8,65.49,575443
2025-08-21 00:00:00+05:30,66.0,66.7,64.66,65.07,553671
2025-08-22 00:00:00+05:30,65.2,65.32,64.02,64.13,325970
2025-08-25 00:00:00+05:30,65.8,65.8,63.7,63.83,445908
2025-08-26 00:00:00+05:30,63.83,63.9,62.0,62.21,315058
2025-08-28 00:00:00+05:30,62.1,63.24,60.8,61.38,731683
2025-08-29 00:00:00+05:30,61.39,61.94,60.2,60.79,463731
2025-09-01 00:00:00+05:30,60.79,62.55,60.79,62.23,729319
2025-09-02 00:00:00+05:30,62.39,63.92,62.2,62.87,758308
2025-09-03 00:00:00+05:30,62.87,65.6,62.81,64.53,1011210
2025-09-04 00:00:00+05:30,65.0,65.28,63.2,63.38,546510
2025-09-05 00:00:00+05:30,63.25,67.2,62.96,64.54,2787836
2025-09-08 00:00:00+05:30,65.1,67.2,64.36,65.22,1675775
