date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,516.9,548.95,514.45,527.55,1406364
2025-04-02 00:00:00+05:30,530.95,540.0,520.2,525.4,738253
2025-04-03 00:00:00+05:30,520.0,534.2,515.0,524.95,470662
2025-04-04 00:00:00+05:30,525.0,525.0,489.5,495.35,585538
2025-04-07 00:00:00+05:30,396.3,467.05,396.3,462.95,1042429
2025-04-08 00:00:00+05:30,476.6,489.5,449.0,467.6,638768
2025-04-09 00:00:00+05:30,466.0,473.7,452.5,456.35,343902
2025-04-11 00:00:00+05:30,465.0,489.95,464.85,485.45,1251779
2025-04-15 00:00:00+05:30,487.0,496.0,482.4,490.65,556711
2025-04-16 00:00:00+05:30,490.7,490.75,479.0,482.55,381607
2025-04-17 00:00:00+05:30,484.5,493.25,465.5,470.0,676701
2025-04-21 00:00:00+05:30,473.8,485.45,471.0,481.95,298683
2025-04-22 00:00:00+05:30,482.05,492.55,480.05,486.15,311387
2025-04-23 00:00:00+05:30,490.0,503.95,489.0,492.6,415719
2025-04-24 00:00:00+05:30,492.6,492.7,468.0,469.55,702411
2025-04-25 00:00:00+05:30,472.05,499.4,462.85,479.15,3104530
2025-04-28 00:00:00+05:30,479.95,483.9,471.05,473.9,264156
2025-04-29 00:00:00+05:30,475.2,483.7,469.8,477.75,224583
2025-04-30 00:00:00+05:30,476.5,477.75,450.75,454.95,565124
2025-05-02 00:00:00+05:30,459.3,470.0,446.65,460.1,421853
2025-05-05 00:00:00+05:30,458.5,465.55,445.3,461.7,508887
2025-05-06 00:00:00+05:30,464.0,467.55,430.1,433.8,488872
2025-05-07 00:00:00+05:30,425.0,449.9,425.0,440.1,769394
2025-05-08 00:00:00+05:30,445.6,453.95,431.0,432.45,346900
2025-05-09 00:00:00+05:30,424.05,434.85,421.0,430.45,249442
2025-05-12 00:00:00+05:30,451.65,469.0,445.8,464.2,381778
2025-05-13 00:00:00+05:30,469.0,475.0,459.4,471.9,628012
2025-05-14 00:00:00+05:30,476.0,478.4,463.0,464.95,424155
2025-05-15 00:00:00+05:30,469.55,475.0,463.5,472.4,293846
2025-05-16 00:00:00+05:30,476.0,484.0,468.5,474.05,927354
2025-05-19 00:00:00+05:30,475.0,477.75,454.0,460.7,872773
2025-05-20 00:00:00+05:30,462.25,465.7,450.0,452.0,192671
2025-05-21 00:00:00+05:30,453.1,465.0,451.0,460.35,269063
2025-05-22 00:00:00+05:30,454.5,466.6,454.5,460.6,158543
2025-05-23 00:00:00+05:30,457.0,462.4,453.1,454.6,159488
2025-05-26 00:00:00+05:30,456.55,462.95,449.5,454.15,234172
2025-05-27 00:00:00+05:30,454.4,461.1,451.4,453.35,135851
2025-05-28 00:00:00+05:30,454.7,462.0,452.0,458.75,143620
2025-05-29 00:00:00+05:30,458.75,478.0,456.45,473.9,656571
2025-05-30 00:00:00+05:30,476.8,495.0,475.15,492.4,1047894
2025-06-02 00:00:00+05:30,493.25,499.0,481.0,484.8,343233
2025-06-03 00:00:00+05:30,483.35,504.3,477.0,489.35,722457
2025-06-04 00:00:00+05:30,490.0,554.15,487.75,529.8,13705236
2025-06-05 00:00:00+05:30,533.0,539.75,528.05,530.75,974098
2025-06-06 00:00:00+05:30,530.0,532.3,518.4,522.95,438382
2025-06-09 00:00:00+05:30,524.55,536.0,522.45,528.85,441968
2025-06-10 00:00:00+05:30,533.0,533.0,518.3,521.5,319159
2025-06-11 00:00:00+05:30,523.6,542.0,522.0,527.65,795056
2025-06-12 00:00:00+05:30,532.0,582.0,529.75,560.25,12627694
2025-06-13 00:00:00+05:30,545.2,559.0,535.55,554.7,1206634
2025-06-16 00:00:00+05:30,557.5,598.8,555.2,573.75,9890044
2025-06-17 00:00:00+05:30,578.3,581.45,560.0,565.4,801793
2025-06-18 00:00:00+05:30,562.0,563.95,547.95,551.85,856298
2025-06-19 00:00:00+05:30,552.05,572.95,538.05,545.6,1099015
2025-06-20 00:00:00+05:30,545.7,577.0,544.55,566.6,2879388
2025-06-23 00:00:00+05:30,565.0,589.9,561.7,584.75,2009861
2025-06-24 00:00:00+05:30,590.0,598.0,567.95,571.25,1195038
2025-06-25 00:00:00+05:30,574.9,598.7,571.55,593.95,1351599
2025-06-26 00:00:00+05:30,597.0,598.0,580.1,591.9,522040
2025-06-27 00:00:00+05:30,596.25,609.0,587.4,604.75,1450835
2025-06-30 00:00:00+05:30,602.0,612.5,600.0,606.75,596481
2025-07-01 00:00:00+05:30,607.45,610.6,590.5,593.05,498738
2025-07-02 00:00:00+05:30,594.4,606.8,590.05,598.5,470195
2025-07-03 00:00:00+05:30,600.0,618.0,596.8,613.45,932534
2025-07-04 00:00:00+05:30,613.35,624.7,606.0,611.3,517531
2025-07-07 00:00:00+05:30,614.0,614.65,594.05,596.0,327338
2025-07-08 00:00:00+05:30,595.65,595.7,577.0,585.8,609228
2025-07-09 00:00:00+05:30,588.9,611.95,588.9,595.6,1210325
2025-07-10 00:00:00+05:30,597.35,597.9,587.0,595.15,241577
2025-07-11 00:00:00+05:30,595.0,595.0,588.0,590.65,178642
2025-07-14 00:00:00+05:30,589.95,608.0,586.0,604.45,347020
2025-07-15 00:00:00+05:30,606.65,616.85,601.0,603.95,414802
2025-07-16 00:00:00+05:30,604.0,615.85,600.75,612.05,546554
2025-07-17 00:00:00+05:30,618.0,623.8,611.2,615.95,871052
2025-07-18 00:00:00+05:30,613.5,623.25,603.1,609.25,445967
2025-07-21 00:00:00+05:30,608.05,610.0,589.2,606.65,326978
2025-07-22 00:00:00+05:30,610.0,619.0,606.1,610.9,358876
2025-07-23 00:00:00+05:30,611.5,637.0,608.0,630.65,1731173
2025-07-24 00:00:00+05:30,634.75,641.0,625.2,632.55,656058
2025-07-25 00:00:00+05:30,635.6,636.0,605.5,612.2,771045
2025-07-28 00:00:00+05:30,615.05,621.5,596.45,600.65,556674
2025-07-29 00:00:00+05:30,600.95,607.0,585.35,603.65,309465
2025-07-30 00:00:00+05:30,610.05,623.95,603.05,610.1,920837
2025-07-31 00:00:00+05:30,603.0,634.15,592.0,629.55,1056962
2025-08-01 00:00:00+05:30,628.05,639.0,615.0,620.9,557675
2025-08-04 00:00:00+05:30,618.0,629.45,610.65,619.7,333050
2025-08-05 00:00:00+05:30,620.05,624.35,611.25,614.05,213752
2025-08-06 00:00:00+05:30,614.5,623.0,602.2,607.45,407836
2025-08-07 00:00:00+05:30,602.0,612.0,594.4,607.3,344883
2025-08-08 00:00:00+05:30,608.1,614.0,602.3,606.35,220937
