date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,386.75,394.85,384.5,385.45,1893089
2025-04-02 00:00:00+05:30,386.2,393.6,374.0,392.1,2198587
2025-04-03 00:00:00+05:30,387.7,392.45,382.0,386.05,1896611
2025-04-04 00:00:00+05:30,382.0,384.9,354.6,357.75,5358396
2025-04-07 00:00:00+05:30,327.85,345.8,325.0,343.25,4117814
2025-04-08 00:00:00+05:30,349.0,354.8,342.15,353.45,2609456
2025-04-09 00:00:00+05:30,349.0,351.75,336.4,349.65,3883921
2025-04-11 00:00:00+05:30,355.0,361.1,351.0,358.9,2046609
2025-04-15 00:00:00+05:30,367.0,368.0,361.3,365.95,1484895
2025-04-16 00:00:00+05:30,370.0,379.5,366.25,378.3,3321597
2025-04-17 00:00:00+05:30,380.0,386.7,377.2,384.4,2432713
2025-04-21 00:00:00+05:30,386.1,398.5,381.35,395.85,2997217
2025-04-22 00:00:00+05:30,395.85,406.8,391.7,404.0,2872315
2025-04-23 00:00:00+05:30,405.0,412.8,399.2,406.85,2391063
2025-04-24 00:00:00+05:30,404.0,406.6,397.2,402.6,2916837
2025-04-25 00:00:00+05:30,400.9,404.55,389.1,399.35,2820294
2025-04-28 00:00:00+05:30,397.75,406.75,393.5,405.15,1727973
2025-04-29 00:00:00+05:30,405.6,412.85,401.5,404.45,3607844
2025-04-30 00:00:00+05:30,404.45,414.0,397.8,410.75,3621149
2025-05-02 00:00:00+05:30,408.0,416.5,403.15,404.9,1959784
2025-05-05 00:00:00+05:30,400.0,405.75,388.7,404.6,3367921
2025-05-06 00:00:00+05:30,405.95,408.45,395.5,398.25,2022615
2025-05-07 00:00:00+05:30,390.0,408.65,389.0,406.85,2358373
2025-05-08 00:00:00+05:30,406.2,415.0,393.8,398.85,1905734
2025-05-09 00:00:00+05:30,390.0,404.0,389.0,403.3,1994556
2025-05-12 00:00:00+05:30,409.5,422.2,409.05,416.45,3053060
2025-05-13 00:00:00+05:30,416.5,418.2,406.55,407.45,1331889
2025-05-14 00:00:00+05:30,412.0,425.5,410.6,418.85,3578800
2025-05-15 00:00:00+05:30,418.9,424.0,413.0,422.5,2371184
2025-05-16 00:00:00+05:30,422.5,428.85,420.75,423.9,2335245
2025-05-19 00:00:00+05:30,426.05,429.95,421.5,422.95,1823984
2025-05-20 00:00:00+05:30,425.45,434.0,421.0,423.3,2609402
2025-05-21 00:00:00+05:30,427.0,428.65,421.05,426.5,1356827
2025-05-22 00:00:00+05:30,422.5,422.5,404.1,418.35,7564155
2025-05-23 00:00:00+05:30,418.0,430.45,416.4,425.95,2120628
2025-05-26 00:00:00+05:30,428.05,432.5,426.5,427.7,1189416
2025-05-27 00:00:00+05:30,427.75,432.6,425.55,431.3,1061214
2025-05-28 00:00:00+05:30,434.85,435.75,428.55,430.15,2023901
2025-05-29 00:00:00+05:30,434.0,448.25,430.15,444.25,3572959
2025-05-30 00:00:00+05:30,447.0,447.0,424.3,426.8,5966660
2025-06-02 00:00:00+05:30,428.0,428.9,419.2,423.6,1873611
2025-06-03 00:00:00+05:30,427.9,429.35,416.85,418.15,1876719
2025-06-04 00:00:00+05:30,417.5,425.4,414.3,425.0,1609449
2025-06-05 00:00:00+05:30,425.5,429.7,418.8,422.5,2710704
2025-06-06 00:00:00+05:30,422.45,426.7,420.15,424.45,1215059
2025-06-09 00:00:00+05:30,425.95,435.0,424.5,434.2,2340904
2025-06-10 00:00:00+05:30,436.5,441.2,433.75,437.4,1507371
2025-06-11 00:00:00+05:30,444.75,468.0,442.55,465.3,18723840
2025-06-12 00:00:00+05:30,475.0,489.0,465.6,468.35,16610618
2025-06-13 00:00:00+05:30,480.0,486.0,473.25,477.75,18996179
2025-06-16 00:00:00+05:30,484.95,491.5,478.5,480.85,10245316
2025-06-17 00:00:00+05:30,482.9,484.45,472.7,478.2,5655322
2025-06-18 00:00:00+05:30,482.0,485.95,465.3,469.65,4484962
2025-06-19 00:00:00+05:30,470.8,474.55,463.25,469.85,3497665
2025-06-20 00:00:00+05:30,472.0,472.0,461.15,464.9,3531943
2025-06-23 00:00:00+05:30,472.0,476.95,459.4,472.2,7201352
2025-06-24 00:00:00+05:30,464.0,465.75,444.5,445.85,8745292
2025-06-25 00:00:00+05:30,448.0,449.75,438.6,441.1,4344968
2025-06-26 00:00:00+05:30,442.0,444.6,437.6,442.3,3454307
2025-06-27 00:00:00+05:30,442.55,444.0,431.0,433.4,12425484
2025-06-30 00:00:00+05:30,435.5,440.8,432.4,434.25,2193263
2025-07-01 00:00:00+05:30,438.0,438.0,430.3,434.45,2532988
2025-07-02 00:00:00+05:30,435.1,437.0,431.6,435.9,3201274
2025-07-03 00:00:00+05:30,438.3,454.25,436.6,452.95,8737201
2025-07-04 00:00:00+05:30,454.0,454.35,444.05,445.75,3561602
2025-07-07 00:00:00+05:30,445.75,447.05,440.0,440.6,1818384
2025-07-08 00:00:00+05:30,441.1,446.6,441.05,443.1,1474367
2025-07-09 00:00:00+05:30,443.5,447.5,441.55,445.4,1342459
2025-07-10 00:00:00+05:30,449.0,449.8,435.5,437.5,2395496
2025-07-11 00:00:00+05:30,438.0,438.6,427.0,432.3,2515975
2025-07-14 00:00:00+05:30,433.0,446.65,430.9,445.85,2603352
