date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,12.85,13.86,12.8,13.68,22165071
2025-04-02 00:00:00+05:30,13.8,13.99,13.4,13.84,19074632
2025-04-03 00:00:00+05:30,13.77,14.6,13.64,14.11,24516893
2025-04-04 00:00:00+05:30,14.15,14.25,13.4,13.46,19178245
2025-04-07 00:00:00+05:30,11.11,12.88,11.11,12.54,34923992
2025-04-08 00:00:00+05:30,13.11,14.2,12.95,13.77,35767630
2025-04-09 00:00:00+05:30,13.65,13.9,13.15,13.38,21107472
2025-04-11 00:00:00+05:30,13.85,13.99,13.4,13.6,15124243
2025-04-15 00:00:00+05:30,13.95,14.0,13.7,13.85,16429566
2025-04-16 00:00:00+05:30,13.8,13.92,13.52,13.71,15106848
2025-04-17 00:00:00+05:30,13.71,13.89,13.12,13.37,20389952
2025-04-21 00:00:00+05:30,13.4,13.95,13.19,13.72,20011369
2025-04-22 00:00:00+05:30,13.81,13.94,13.55,13.69,12978098
2025-04-23 00:00:00+05:30,13.76,13.79,13.35,13.5,13316580
2025-04-24 00:00:00+05:30,13.4,13.78,13.4,13.65,13351886
2025-04-25 00:00:00+05:30,13.5,13.6,12.8,12.89,22843915
2025-04-28 00:00:00+05:30,12.71,13.14,12.71,12.78,10436565
2025-04-29 00:00:00+05:30,12.85,13.01,12.55,12.68,13163238
2025-04-30 00:00:00+05:30,12.68,12.71,12.11,12.23,12719559
2025-05-02 00:00:00+05:30,12.23,12.5,12.05,12.44,11297365
2025-05-05 00:00:00+05:30,12.45,12.55,12.25,12.42,9689440
2025-05-06 00:00:00+05:30,12.3,12.47,11.55,11.65,17218305
2025-05-07 00:00:00+05:30,11.5,12.14,11.49,12.03,19479703
2025-05-08 00:00:00+05:30,12.59,12.59,11.55,11.67,21147531
2025-05-09 00:00:00+05:30,11.21,11.43,11.01,11.28,22334609
2025-05-12 00:00:00+05:30,12.0,12.47,11.91,12.34,17389407
2025-05-13 00:00:00+05:30,12.34,12.54,12.2,12.38,12671030
2025-05-14 00:00:00+05:30,12.34,12.51,12.3,12.47,12854817
2025-05-15 00:00:00+05:30,12.51,12.64,12.36,12.47,9742163
2025-05-16 00:00:00+05:30,12.42,12.58,12.4,12.53,11053905
2025-05-19 00:00:00+05:30,12.53,12.92,12.53,12.68,13626101
2025-05-20 00:00:00+05:30,12.77,12.86,12.5,12.52,10009880
2025-05-21 00:00:00+05:30,12.52,12.69,12.35,12.42,7649878
2025-05-22 00:00:00+05:30,12.45,12.54,12.05,12.19,8819698
2025-05-23 00:00:00+05:30,12.19,13.61,12.15,13.07,31828341
2025-05-26 00:00:00+05:30,13.5,13.6,12.75,12.93,30359993
2025-05-27 00:00:00+05:30,13.1,13.1,12.78,12.93,10744253
2025-05-28 00:00:00+05:30,12.97,13.04,12.64,12.71,10294302
2025-05-29 00:00:00+05:30,12.71,12.85,12.57,12.6,9645689
2025-05-30 00:00:00+05:30,12.62,12.75,12.49,12.52,8648955
2025-06-02 00:00:00+05:30,12.52,12.66,12.35,12.38,9124753
2025-06-03 00:00:00+05:30,12.6,12.6,12.17,12.26,8823464
2025-06-04 00:00:00+05:30,12.3,12.37,11.89,11.92,17520391
2025-06-05 00:00:00+05:30,12.15,12.16,11.73,11.79,13791777
2025-06-06 00:00:00+05:30,11.79,11.95,11.68,11.85,17089030
2025-06-09 00:00:00+05:30,12.09,12.09,11.83,11.87,15452692
2025-06-10 00:00:00+05:30,12.0,12.4,11.89,12.17,27588715
2025-06-11 00:00:00+05:30,12.2,13.24,12.18,12.66,59787555
2025-06-12 00:00:00+05:30,13.2,13.2,12.52,12.6,23722008
2025-06-13 00:00:00+05:30,12.5,12.53,12.19,12.32,16679044
2025-06-16 00:00:00+05:30,12.38,12.5,11.97,12.24,13220882
2025-06-17 00:00:00+05:30,12.33,12.44,12.11,12.28,11296490
2025-06-18 00:00:00+05:30,12.28,12.5,12.11,12.28,11176551
2025-06-19 00:00:00+05:30,12.22,12.28,11.95,12.08,10526056
2025-06-20 00:00:00+05:30,12.08,12.2,11.9,12.12,9735128
2025-06-23 00:00:00+05:30,12.07,12.14,11.99,12.03,7270698
2025-06-24 00:00:00+05:30,12.24,12.32,12.08,12.19,8652654
2025-06-25 00:00:00+05:30,12.25,12.64,12.21,12.38,12982516
2025-06-26 00:00:00+05:30,12.41,12.47,12.2,12.21,6533318
2025-06-27 00:00:00+05:30,12.25,12.53,12.2,12.38,10108488
2025-06-30 00:00:00+05:30,12.39,12.6,12.27,12.32,11942951
2025-07-01 00:00:00+05:30,12.43,13.18,12.21,13.07,64162331
2025-07-02 00:00:00+05:30,13.1,14.0,12.8,13.83,98176859
2025-07-03 00:00:00+05:30,14.0,14.26,13.84,14.02,47483196
2025-07-04 00:00:00+05:30,14.35,16.82,14.31,16.69,436245592
2025-07-07 00:00:00+05:30,17.4,19.65,17.4,18.7,569324732
2025-07-08 00:00:00+05:30,18.67,18.8,16.83,17.99,218607969
2025-07-09 00:00:00+05:30,18.0,18.88,17.52,18.43,149313402
2025-07-10 00:00:00+05:30,18.64,19.4,18.14,18.73,139570652
2025-07-11 00:00:00+05:30,18.99,18.99,17.0,17.35,121693906
2025-07-14 00:00:00+05:30,17.54,17.54,16.57,17.02,59139288
2025-07-15 00:00:00+05:30,17.26,17.98,17.12,17.35,66691540
2025-07-16 00:00:00+05:30,17.55,17.55,17.03,17.14,40081427
2025-07-17 00:00:00+05:30,17.16,18.0,17.14,17.26,78143110
2025-07-18 00:00:00+05:30,17.5,17.69,16.7,16.83,53777428
2025-07-21 00:00:00+05:30,16.7,16.7,15.4,15.53,90360911
2025-07-22 00:00:00+05:30,15.85,16.15,14.91,15.16,112027758
2025-07-23 00:00:00+05:30,15.3,15.48,14.46,15.18,134319832
2025-07-24 00:00:00+05:30,15.45,15.69,14.97,15.06,109948385
2025-07-25 00:00:00+05:30,15.06,15.13,14.4,14.55,49601408
2025-07-28 00:00:00+05:30,14.65,15.41,14.41,14.72,104238623
