date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,243.0,265.5,242.0,263.48,832196
2025-04-02 00:00:00+05:30,261.99,263.0,253.12,261.06,299159
2025-04-03 00:00:00+05:30,260.0,264.31,257.01,261.71,149244
2025-04-04 00:00:00+05:30,260.91,261.0,242.0,244.91,375464
2025-04-07 00:00:00+05:30,238.0,242.35,229.05,239.83,317945
2025-04-08 00:00:00+05:30,247.0,247.0,239.55,244.0,174390
2025-04-09 00:00:00+05:30,244.45,244.45,237.8,243.11,107176
2025-04-11 00:00:00+05:30,245.6,251.5,244.36,247.42,124880
2025-04-15 00:00:00+05:30,253.9,262.71,250.01,261.46,227462
2025-04-16 00:00:00+05:30,261.0,265.4,257.62,258.98,193564
2025-04-17 00:00:00+05:30,260.88,260.88,256.72,258.26,113934
2025-04-21 00:00:00+05:30,258.0,267.5,254.21,263.59,276738
2025-04-22 00:00:00+05:30,263.59,269.0,259.05,265.03,357346
2025-04-23 00:00:00+05:30,265.7,266.8,259.65,262.99,294662
2025-04-24 00:00:00+05:30,262.95,267.0,260.33,263.49,266126
2025-04-25 00:00:00+05:30,263.49,263.49,251.45,252.89,270856
2025-04-28 00:00:00+05:30,253.0,257.4,251.0,252.28,176562
2025-04-29 00:00:00+05:30,252.8,259.42,251.61,258.3,252071
2025-04-30 00:00:00+05:30,258.6,259.25,250.5,251.21,171876
2025-05-02 00:00:00+05:30,252.5,253.6,244.5,249.95,98460
2025-05-05 00:00:00+05:30,251.7,255.7,248.0,254.05,94825
2025-05-06 00:00:00+05:30,254.05,254.9,245.9,246.7,132521
2025-05-07 00:00:00+05:30,243.05,249.0,241.1,246.85,120130
2025-05-08 00:00:00+05:30,247.15,253.95,245.0,246.45,95263
2025-05-09 00:00:00+05:30,236.55,248.0,236.55,246.3,105105
2025-05-12 00:00:00+05:30,254.0,265.0,252.05,262.9,296164
2025-05-13 00:00:00+05:30,262.9,271.2,262.9,268.7,286140
2025-05-14 00:00:00+05:30,270.95,280.1,269.6,278.25,471483
2025-05-15 00:00:00+05:30,279.7,285.0,276.0,283.95,339705
2025-05-16 00:00:00+05:30,287.45,287.75,283.0,285.1,266814
2025-05-19 00:00:00+05:30,285.1,293.0,282.2,289.0,362446
2025-05-20 00:00:00+05:30,289.1,294.5,281.3,285.0,459100
2025-05-21 00:00:00+05:30,291.5,300.3,282.45,295.95,700645
2025-05-22 00:00:00+05:30,295.0,334.0,293.3,308.85,5990822
2025-05-23 00:00:00+05:30,311.8,326.0,307.45,321.1,1167458
2025-05-26 00:00:00+05:30,323.0,338.0,319.55,336.8,2102053
2025-05-27 00:00:00+05:30,339.85,339.85,327.2,334.35,918716
2025-05-28 00:00:00+05:30,334.9,338.4,325.15,330.85,721127
2025-05-29 00:00:00+05:30,330.85,333.85,325.95,327.6,476352
2025-05-30 00:00:00+05:30,327.3,338.9,324.0,334.85,1801699
2025-06-02 00:00:00+05:30,334.0,337.45,328.15,330.7,305083
2025-06-03 00:00:00+05:30,329.0,332.0,320.25,322.15,297090
2025-06-04 00:00:00+05:30,320.95,329.25,319.65,328.35,208364
2025-06-05 00:00:00+05:30,327.0,332.9,325.8,326.75,296908
2025-06-06 00:00:00+05:30,327.9,336.0,324.5,334.3,445927
2025-06-09 00:00:00+05:30,335.95,338.75,332.15,333.35,324646
2025-06-10 00:00:00+05:30,333.85,345.0,332.05,339.45,903205
2025-06-11 00:00:00+05:30,341.1,363.0,340.55,360.75,1970590
2025-06-12 00:00:00+05:30,365.0,365.0,346.1,349.65,787804
2025-06-13 00:00:00+05:30,338.95,367.0,336.2,363.75,1282600
2025-06-16 00:00:00+05:30,361.95,387.7,351.7,383.4,1551348
2025-06-17 00:00:00+05:30,375.0,375.0,357.0,359.15,1655737
2025-06-18 00:00:00+05:30,361.8,361.8,348.1,350.35,712194
2025-06-19 00:00:00+05:30,350.5,354.45,329.1,332.75,638663
2025-06-20 00:00:00+05:30,331.9,346.4,330.05,340.3,641140
2025-06-23 00:00:00+05:30,337.0,342.45,332.95,335.15,382400
2025-06-24 00:00:00+05:30,339.9,346.8,336.4,340.0,362992
2025-06-25 00:00:00+05:30,341.9,345.9,338.5,342.9,177135
2025-06-26 00:00:00+05:30,357.9,361.8,348.0,355.3,1173066
2025-06-27 00:00:00+05:30,357.4,364.55,356.0,358.45,826361
2025-06-30 00:00:00+05:30,361.0,371.0,361.0,367.5,900998
2025-07-01 00:00:00+05:30,368.4,374.0,364.55,371.25,550510
2025-07-02 00:00:00+05:30,370.95,372.8,364.25,368.35,391005
2025-07-03 00:00:00+05:30,368.4,371.9,364.15,366.0,236652
2025-07-04 00:00:00+05:30,367.0,368.9,361.0,364.75,320022
2025-07-07 00:00:00+05:30,364.8,375.45,362.55,364.25,380485
2025-07-08 00:00:00+05:30,364.55,367.2,358.0,362.8,210041
2025-07-09 00:00:00+05:30,363.0,368.0,362.2,363.9,220329
2025-07-10 00:00:00+05:30,364.95,367.95,363.0,366.3,160319
2025-07-11 00:00:00+05:30,368.0,376.2,365.1,367.2,343966
2025-07-14 00:00:00+05:30,367.2,368.35,354.5,355.85,243593
2025-07-15 00:00:00+05:30,356.0,359.95,353.0,356.1,185825
2025-07-16 00:00:00+05:30,357.25,359.6,354.0,355.1,93907
2025-07-17 00:00:00+05:30,356.0,357.95,351.05,352.1,112786
2025-07-18 00:00:00+05:30,353.6,353.75,346.1,348.15,140974
2025-07-21 00:00:00+05:30,347.0,350.0,344.35,346.45,181098
2025-07-22 00:00:00+05:30,346.45,349.15,344.0,345.65,90072
2025-07-23 00:00:00+05:30,347.5,355.4,343.2,353.9,175885
2025-07-24 00:00:00+05:30,355.0,355.0,340.3,343.75,181719
2025-07-25 00:00:00+05:30,344.8,344.8,327.45,329.3,204590
2025-07-28 00:00:00+05:30,333.0,336.75,325.5,332.6,177725
2025-07-29 00:00:00+05:30,333.35,340.95,330.35,339.55,125585
2025-07-30 00:00:00+05:30,336.5,346.0,336.45,342.1,81205
2025-07-31 00:00:00+05:30,338.05,338.35,332.0,337.05,83004
2025-08-01 00:00:00+05:30,337.05,340.55,332.9,336.1,110617
2025-08-04 00:00:00+05:30,335.6,340.0,334.3,337.85,73233
2025-08-05 00:00:00+05:30,337.85,339.6,335.0,337.2,50859
2025-08-06 00:00:00+05:30,334.1,339.0,324.15,325.7,100814
2025-08-07 00:00:00+05:30,306.2,315.85,293.0,298.65,1015640
2025-08-08 00:00:00+05:30,298.3,298.3,290.0,291.15,264982
2025-08-11 00:00:00+05:30,292.0,294.5,288.0,292.05,123314
2025-08-12 00:00:00+05:30,292.05,295.9,290.25,294.75,170952
2025-08-13 00:00:00+05:30,295.0,301.45,294.0,299.65,140018
2025-08-14 00:00:00+05:30,299.65,299.65,290.3,291.4,93028
2025-08-18 00:00:00+05:30,292.75,348.25,292.75,330.95,3419012
2025-08-19 00:00:00+05:30,328.0,342.5,322.0,334.85,701772
2025-08-20 00:00:00+05:30,332.1,334.3,327.0,328.4,110048
2025-08-21 00:00:00+05:30,341.8,358.0,336.0,345.45,1597668
2025-08-22 00:00:00+05:30,345.45,349.15,332.35,342.65,310876
2025-08-25 00:00:00+05:30,348.85,350.0,335.75,338.25,165808
2025-08-26 00:00:00+05:30,338.15,338.85,327.2,334.6,97291
2025-08-28 00:00:00+05:30,333.9,333.9,322.5,324.8,95948
2025-08-29 00:00:00+05:30,324.85,329.0,318.0,318.65,95358
2025-09-01 00:00:00+05:30,320.0,338.45,319.5,336.45,366996
2025-09-02 00:00:00+05:30,336.55,338.35,331.2,334.1,267787
2025-09-03 00:00:00+05:30,332.0,335.45,328.8,331.6,77305
2025-09-04 00:00:00+05:30,333.3,337.35,330.0,331.3,97753
2025-09-05 00:00:00+05:30,333.0,333.7,324.55,325.75,73369
2025-09-08 00:00:00+05:30,326.0,330.45,322.0,323.4,49881
2025-09-09 00:00:00+05:30,323.25,325.8,319.4,320.5,73048
2025-09-10 00:00:00+05:30,322.0,326.4,320.0,321.0,72838
2025-09-11 00:00:00+05:30,321.5,328.75,321.5,326.7,95351
2025-09-12 00:00:00+05:30,328.5,353.4,324.95,335.8,1135911
2025-09-15 00:00:00+05:30,337.45,337.45,332.1,333.15,101230
2025-09-16 00:00:00+05:30,333.15,342.0,332.3,339.55,140422
2025-09-17 00:00:00+05:30,339.55,343.0,336.0,336.9,84571
2025-09-18 00:00:00+05:30,336.9,340.0,335.1,337.15,65801
2025-09-19 00:00:00+05:30,337.15,342.0,330.75,333.25,227317
2025-09-22 00:00:00+05:30,333.0,345.0,332.05,341.15,273486
2025-09-23 00:00:00+05:30,342.6,351.45,340.25,344.95,575030
2025-09-24 00:00:00+05:30,345.0,346.15,335.35,337.2,169119
2025-09-25 00:00:00+05:30,337.2,337.2,328.35,330.35,141737
2025-09-26 00:00:00+05:30,330.0,333.8,325.0,329.3,137780
2025-09-29 00:00:00+05:30,329.7,332.0,321.65,323.15,98905
2025-09-30 00:00:00+05:30,322.0,325.75,318.0,319.7,102218
2025-10-01 00:00:00+05:30,317.0,329.9,317.0,325.3,74289
2025-10-03 00:00:00+05:30,323.0,344.35,323.0,340.95,376140
2025-10-06 00:00:00+05:30,340.95,342.0,336.1,338.55,98119
