date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,135.35,136.97,133.01,134.52,185053
2025-04-02 00:00:00+05:30,133.45,134.35,130.9,131.54,192700
2025-04-03 00:00:00+05:30,132.05,141.5,131.68,136.67,660700
2025-04-04 00:00:00+05:30,136.96,136.97,128.41,131.15,275272
2025-04-07 00:00:00+05:30,115.15,126.0,114.72,124.15,373126
2025-04-08 00:00:00+05:30,126.8,129.48,125.9,127.8,169008
2025-04-09 00:00:00+05:30,129.95,129.95,126.01,128.13,136672
2025-04-11 00:00:00+05:30,129.05,131.64,129.05,130.93,157327
2025-04-15 00:00:00+05:30,131.5,134.93,131.5,134.32,126719
2025-04-16 00:00:00+05:30,134.32,136.88,134.05,134.72,142225
2025-04-17 00:00:00+05:30,136.0,136.0,133.2,134.57,117883
2025-04-21 00:00:00+05:30,135.92,136.26,133.22,135.29,151337
2025-04-22 00:00:00+05:30,136.6,139.0,134.35,137.43,326630
2025-04-23 00:00:00+05:30,138.0,138.47,133.11,134.64,246716
2025-04-24 00:00:00+05:30,134.0,137.55,133.98,136.35,145367
2025-04-25 00:00:00+05:30,136.5,136.86,128.0,130.13,309434
2025-04-28 00:00:00+05:30,130.0,132.06,128.53,130.68,119756
2025-04-29 00:00:00+05:30,130.0,132.86,128.0,128.89,109424
2025-04-30 00:00:00+05:30,128.12,129.32,121.5,123.44,246847
2025-05-02 00:00:00+05:30,123.0,125.05,120.9,121.44,137352
2025-05-05 00:00:00+05:30,120.5,124.0,119.29,123.21,145748
2025-05-06 00:00:00+05:30,123.1,126.0,121.48,122.32,248803
2025-05-07 00:00:00+05:30,121.72,124.73,120.37,122.88,142484
2025-05-08 00:00:00+05:30,123.5,125.3,120.01,121.36,171936
2025-05-09 00:00:00+05:30,118.1,121.85,118.1,121.16,106533
2025-05-12 00:00:00+05:30,126.0,128.4,124.37,127.67,174360
2025-05-13 00:00:00+05:30,127.67,130.54,127.2,128.27,161778
2025-05-14 00:00:00+05:30,129.01,134.5,128.6,133.33,348310
2025-05-15 00:00:00+05:30,133.33,147.2,133.3,140.92,3112100
2025-05-16 00:00:00+05:30,142.0,144.21,140.21,142.56,632723
2025-05-19 00:00:00+05:30,143.8,148.64,142.88,144.52,583356
2025-05-20 00:00:00+05:30,146.0,147.11,140.1,141.3,203443
2025-05-21 00:00:00+05:30,142.59,143.16,139.35,142.51,201412
2025-05-22 00:00:00+05:30,142.99,142.99,139.0,140.66,101316
2025-05-23 00:00:00+05:30,141.7,144.64,138.8,143.92,335259
2025-05-26 00:00:00+05:30,143.05,143.82,140.55,141.45,195200
2025-05-27 00:00:00+05:30,141.45,143.18,139.81,141.57,239250
2025-05-28 00:00:00+05:30,143.7,147.25,142.5,143.68,464643
2025-05-29 00:00:00+05:30,143.0,145.0,141.55,143.55,189051
2025-05-30 00:00:00+05:30,143.7,145.77,143.23,144.7,230850
2025-06-02 00:00:00+05:30,145.9,146.47,140.62,141.45,229591
