date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,305.35,308.4,300.2,301.4,2706011
2025-04-02 00:00:00+05:30,302.1,308.9,294.55,307.1,2052515
2025-04-03 00:00:00+05:30,302.5,314.8,301.4,311.75,2116016
2025-04-04 00:00:00+05:30,309.0,312.0,294.25,297.55,1838279
2025-04-07 00:00:00+05:30,266.0,288.0,266.0,281.55,2320611
2025-04-08 00:00:00+05:30,289.95,292.95,284.25,291.05,1249478
2025-04-09 00:00:00+05:30,291.45,291.45,284.05,284.9,912857
2025-04-11 00:00:00+05:30,292.0,295.1,288.15,292.3,1093173
2025-04-15 00:00:00+05:30,296.05,309.0,296.05,306.5,1556998
2025-04-16 00:00:00+05:30,309.0,313.8,306.05,309.4,1388805
2025-04-17 00:00:00+05:30,310.0,313.25,307.05,309.75,1164586
2025-04-21 00:00:00+05:30,311.5,318.75,310.65,316.35,1699688
2025-04-22 00:00:00+05:30,317.95,322.15,314.05,317.45,1253430
2025-04-23 00:00:00+05:30,318.0,321.25,309.3,319.5,1684785
2025-04-24 00:00:00+05:30,318.4,324.9,315.0,316.2,1804924
2025-04-25 00:00:00+05:30,316.95,317.7,299.15,302.0,2075251
2025-04-28 00:00:00+05:30,304.8,310.0,299.6,308.5,1945383
2025-04-29 00:00:00+05:30,308.0,312.8,303.0,304.5,948957
2025-04-30 00:00:00+05:30,303.9,304.15,292.5,296.05,1000905
2025-05-02 00:00:00+05:30,313.65,336.4,313.65,316.0,43880878
2025-05-05 00:00:00+05:30,326.6,328.0,319.5,322.85,4545448
2025-05-06 00:00:00+05:30,322.85,323.55,301.15,303.05,4435539
2025-05-07 00:00:00+05:30,298.8,310.5,295.65,307.65,3028918
2025-05-08 00:00:00+05:30,310.0,313.55,296.0,300.55,1688374
2025-05-09 00:00:00+05:30,292.0,310.9,290.8,308.35,3226052
2025-05-12 00:00:00+05:30,320.0,323.95,316.2,322.4,3310135
2025-05-13 00:00:00+05:30,321.8,331.4,317.8,325.85,2528846
2025-05-14 00:00:00+05:30,326.05,360.0,323.45,356.55,14315782
2025-05-15 00:00:00+05:30,357.4,366.85,355.15,362.05,5581707
2025-05-16 00:00:00+05:30,362.95,392.8,358.0,383.55,11360243
2025-05-19 00:00:00+05:30,384.8,402.4,384.5,397.35,6559510
2025-05-20 00:00:00+05:30,398.9,402.3,375.35,377.85,4871354
2025-05-21 00:00:00+05:30,377.85,383.05,372.45,378.2,2883209
2025-05-22 00:00:00+05:30,378.0,391.5,373.9,380.8,3265540
2025-05-23 00:00:00+05:30,380.0,380.8,371.6,376.2,1951739
2025-05-26 00:00:00+05:30,377.05,388.5,372.1,385.3,3408964
2025-05-27 00:00:00+05:30,385.0,393.05,380.1,387.65,2639012
2025-05-28 00:00:00+05:30,389.6,408.0,389.55,401.45,9030164
2025-05-29 00:00:00+05:30,403.8,405.0,394.3,403.15,3258916
2025-05-30 00:00:00+05:30,403.75,411.5,392.55,398.55,3477686
2025-06-02 00:00:00+05:30,396.0,405.0,392.8,399.25,2251539
2025-06-03 00:00:00+05:30,401.1,406.0,395.0,398.95,2343405
2025-06-04 00:00:00+05:30,400.5,449.8,395.2,442.05,32564320
2025-06-05 00:00:00+05:30,446.95,464.95,439.5,461.15,15751914
2025-06-06 00:00:00+05:30,457.0,457.45,441.0,444.15,6811423
2025-06-09 00:00:00+05:30,450.0,463.7,444.15,457.85,8635123
2025-06-10 00:00:00+05:30,461.3,478.95,447.0,449.1,9349421
2025-06-11 00:00:00+05:30,451.0,467.25,443.2,456.45,9653539
2025-06-12 00:00:00+05:30,460.0,469.1,434.75,438.3,8272215
2025-06-13 00:00:00+05:30,427.0,437.95,422.8,425.35,5128845
2025-06-16 00:00:00+05:30,425.0,436.1,410.0,432.5,5204767
2025-06-17 00:00:00+05:30,433.55,435.95,424.15,426.6,2914956
2025-06-18 00:00:00+05:30,429.5,443.15,422.2,426.65,7510851
2025-06-19 00:00:00+05:30,427.3,431.5,404.05,407.45,5582382
2025-06-20 00:00:00+05:30,409.0,423.4,407.5,421.5,5673890
2025-06-23 00:00:00+05:30,418.0,423.65,414.65,417.25,3217506
2025-06-24 00:00:00+05:30,424.0,432.3,418.8,420.5,4637262
2025-06-25 00:00:00+05:30,422.7,436.5,421.6,423.35,3684087
2025-06-26 00:00:00+05:30,425.5,429.75,420.7,423.8,2489394
2025-06-27 00:00:00+05:30,425.95,431.65,422.65,428.3,3242769
2025-06-30 00:00:00+05:30,430.45,431.7,423.5,428.4,2215402
2025-07-01 00:00:00+05:30,430.6,433.95,424.15,426.5,2278329
2025-07-02 00:00:00+05:30,427.8,430.6,418.1,422.95,1714857
2025-07-03 00:00:00+05:30,424.5,429.25,418.5,420.9,1825203
2025-07-04 00:00:00+05:30,422.0,423.7,416.05,418.75,1180709
2025-07-07 00:00:00+05:30,418.75,421.2,411.0,413.0,1349859
2025-07-08 00:00:00+05:30,412.0,415.9,405.55,411.75,1795624
2025-07-09 00:00:00+05:30,413.85,417.7,408.15,410.2,1635134
2025-07-10 00:00:00+05:30,412.25,417.4,405.55,408.1,2300172
2025-07-11 00:00:00+05:30,405.9,411.95,405.6,411.15,1439601
2025-07-14 00:00:00+05:30,413.15,414.45,408.5,409.9,1099253
2025-07-15 00:00:00+05:30,415.0,426.0,415.0,417.1,5801868
2025-07-16 00:00:00+05:30,418.0,418.4,412.2,414.0,1179162
2025-07-17 00:00:00+05:30,415.2,415.4,410.2,411.0,835146
2025-07-18 00:00:00+05:30,410.3,412.0,405.55,406.45,815564
2025-07-21 00:00:00+05:30,406.5,408.5,401.0,404.9,1044008
2025-07-22 00:00:00+05:30,406.5,408.45,400.55,401.9,810539
2025-07-23 00:00:00+05:30,403.35,406.2,397.85,402.75,851989
2025-07-24 00:00:00+05:30,404.05,406.2,400.25,402.4,726020
2025-07-25 00:00:00+05:30,402.9,403.2,391.8,394.35,991023
2025-07-28 00:00:00+05:30,393.95,393.95,375.05,378.15,1350880
2025-07-29 00:00:00+05:30,378.1,386.2,376.4,384.35,1910026
2025-07-30 00:00:00+05:30,386.0,388.0,376.35,378.95,845176
2025-07-31 00:00:00+05:30,372.0,374.85,364.05,367.55,1263261
2025-08-01 00:00:00+05:30,367.5,370.55,352.2,354.0,1532249
2025-08-04 00:00:00+05:30,359.55,369.7,357.15,368.45,2017438
2025-08-05 00:00:00+05:30,369.0,375.45,365.05,366.55,1311686
2025-08-06 00:00:00+05:30,366.35,369.5,360.25,361.9,850367
2025-08-07 00:00:00+05:30,360.1,360.9,348.15,357.85,1209206
2025-08-08 00:00:00+05:30,358.65,358.9,344.4,345.6,973230
2025-08-11 00:00:00+05:30,345.6,354.0,342.6,352.7,1144785
2025-08-12 00:00:00+05:30,353.0,353.7,345.15,346.6,717869
2025-08-13 00:00:00+05:30,348.0,352.65,345.75,348.3,713684
2025-08-14 00:00:00+05:30,348.95,359.0,346.0,347.0,1617696
2025-08-18 00:00:00+05:30,350.95,355.35,349.95,352.45,672861
2025-08-19 00:00:00+05:30,353.3,360.5,351.5,358.55,914144
2025-08-20 00:00:00+05:30,359.0,363.0,353.5,359.4,1146155
2025-08-21 00:00:00+05:30,365.0,374.05,360.95,362.15,4146078
2025-08-22 00:00:00+05:30,360.5,361.3,354.0,354.5,794372
2025-08-25 00:00:00+05:30,356.5,358.5,351.6,353.15,963125
