date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,510.0,547.9,510.0,533.65,4032798
2025-04-02 00:00:00+05:30,528.0,528.0,506.55,510.6,571042
2025-04-03 00:00:00+05:30,500.0,512.1,497.9,504.1,269511
2025-04-04 00:00:00+05:30,500.6,504.95,477.0,480.45,329312
2025-04-07 00:00:00+05:30,450.0,472.0,440.55,464.15,333928
2025-04-08 00:00:00+05:30,472.25,478.0,459.6,464.0,196600
2025-04-09 00:00:00+05:30,460.0,494.0,453.2,458.6,2373596
2025-04-11 00:00:00+05:30,470.0,474.3,458.65,468.15,329511
2025-04-15 00:00:00+05:30,469.0,490.65,469.0,489.05,353179
2025-04-16 00:00:00+05:30,489.0,498.2,483.0,486.2,176364
2025-04-17 00:00:00+05:30,483.0,490.3,472.2,474.5,196488
2025-04-21 00:00:00+05:30,477.0,483.95,468.7,479.45,152420
2025-04-22 00:00:00+05:30,479.4,494.4,475.25,476.4,171058
2025-04-23 00:00:00+05:30,479.3,484.45,465.7,467.35,260011
2025-04-24 00:00:00+05:30,469.9,472.8,460.95,462.7,204346
2025-04-25 00:00:00+05:30,465.1,466.9,440.25,444.0,243689
2025-04-28 00:00:00+05:30,445.5,458.8,441.95,449.25,298460
2025-04-29 00:00:00+05:30,452.05,454.8,441.8,443.75,121494
2025-04-30 00:00:00+05:30,444.9,469.7,434.1,441.2,1044558
2025-05-02 00:00:00+05:30,441.2,463.5,430.7,456.75,296100
2025-05-05 00:00:00+05:30,454.85,456.75,443.1,445.25,357318
2025-05-06 00:00:00+05:30,444.2,451.8,441.25,444.55,164201
2025-05-07 00:00:00+05:30,435.0,445.6,435.0,443.85,122365
2025-05-08 00:00:00+05:30,443.85,454.9,432.8,437.6,167914
2025-05-09 00:00:00+05:30,433.6,442.95,429.3,438.1,127309
2025-05-12 00:00:00+05:30,446.1,459.0,446.1,451.0,190055
2025-05-13 00:00:00+05:30,453.0,457.35,447.5,449.0,107988
2025-05-14 00:00:00+05:30,450.0,468.7,450.0,458.45,213773
2025-05-15 00:00:00+05:30,465.0,465.9,458.0,460.0,173656
2025-05-16 00:00:00+05:30,460.0,467.7,460.0,464.45,116189
2025-05-19 00:00:00+05:30,469.0,480.05,465.1,472.15,239531
2025-05-20 00:00:00+05:30,472.55,477.7,463.1,464.2,190073
2025-05-21 00:00:00+05:30,464.0,467.25,458.05,461.9,74140
2025-05-22 00:00:00+05:30,461.85,473.0,459.4,471.55,97607
2025-05-23 00:00:00+05:30,472.75,473.7,458.55,462.75,135274
2025-05-26 00:00:00+05:30,468.0,470.9,464.1,467.3,69522
2025-05-27 00:00:00+05:30,469.4,469.6,461.7,464.45,70118
2025-05-28 00:00:00+05:30,465.5,475.9,465.1,468.1,110057
2025-05-29 00:00:00+05:30,458.8,463.05,450.55,458.85,305009
2025-05-30 00:00:00+05:30,463.45,464.0,453.5,461.0,120396
2025-06-02 00:00:00+05:30,462.0,463.35,437.35,443.6,262495
2025-06-03 00:00:00+05:30,445.6,450.3,438.7,441.35,97743
2025-06-04 00:00:00+05:30,441.35,443.0,435.0,440.15,136127
2025-06-05 00:00:00+05:30,440.15,464.75,438.75,451.9,419317
2025-06-06 00:00:00+05:30,451.0,456.15,448.0,451.1,366240
2025-06-09 00:00:00+05:30,457.0,458.15,447.0,448.35,110609
2025-06-10 00:00:00+05:30,450.65,460.0,448.75,454.2,121986
2025-06-11 00:00:00+05:30,456.6,462.9,452.15,461.25,141232
2025-06-12 00:00:00+05:30,461.45,514.8,457.25,486.55,10854214
2025-06-13 00:00:00+05:30,478.0,516.4,472.0,503.15,3461488
2025-06-16 00:00:00+05:30,503.0,529.0,498.3,518.6,4400856
2025-06-17 00:00:00+05:30,519.2,526.25,505.05,512.95,1035032
2025-06-18 00:00:00+05:30,508.45,516.9,501.5,504.75,466446
2025-06-19 00:00:00+05:30,503.6,514.8,484.55,488.55,605327
2025-06-20 00:00:00+05:30,487.0,498.45,485.1,488.4,353996
2025-06-23 00:00:00+05:30,485.0,495.65,482.25,491.6,250446
2025-06-24 00:00:00+05:30,497.0,499.0,481.35,483.65,260277
2025-06-25 00:00:00+05:30,486.2,490.6,481.1,482.55,211630
2025-06-26 00:00:00+05:30,485.0,487.05,475.5,477.9,190554
2025-06-27 00:00:00+05:30,480.2,490.25,480.0,482.95,365361
2025-06-30 00:00:00+05:30,486.7,486.85,473.25,476.0,282950
2025-07-01 00:00:00+05:30,475.95,476.3,462.2,463.55,349518
2025-07-02 00:00:00+05:30,464.2,478.8,461.4,466.05,444999
2025-07-03 00:00:00+05:30,465.0,486.6,465.0,483.1,594483
2025-07-04 00:00:00+05:30,484.0,486.9,474.2,477.9,223741
2025-07-07 00:00:00+05:30,478.9,483.7,462.1,469.65,247564
2025-07-08 00:00:00+05:30,470.0,473.65,464.0,465.7,155298
2025-07-09 00:00:00+05:30,467.0,498.0,467.0,479.9,719622
2025-07-10 00:00:00+05:30,478.0,486.95,478.0,483.55,219372
2025-07-11 00:00:00+05:30,480.8,486.0,474.55,477.75,154341
2025-07-14 00:00:00+05:30,474.55,479.35,472.05,475.5,83913
2025-07-15 00:00:00+05:30,476.5,484.6,476.5,479.05,133070
2025-07-16 00:00:00+05:30,479.05,487.95,479.05,481.9,136440
2025-07-17 00:00:00+05:30,482.05,486.9,476.7,478.45,114383
2025-07-18 00:00:00+05:30,479.0,486.55,472.0,482.85,139836
2025-07-21 00:00:00+05:30,481.0,488.0,477.65,482.5,161077
2025-07-22 00:00:00+05:30,485.9,525.9,483.7,514.8,10875414
2025-07-23 00:00:00+05:30,519.0,531.9,514.3,524.0,2347594
2025-07-24 00:00:00+05:30,524.0,524.0,503.55,507.25,550922
2025-07-25 00:00:00+05:30,507.0,507.0,491.0,494.45,213718
