date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,40.94,43.78,40.65,43.4,4501089
2025-04-02 00:00:00+05:30,43.1,43.19,41.77,42.77,1867944
2025-04-03 00:00:00+05:30,42.49,43.8,42.49,43.47,3102607
2025-04-04 00:00:00+05:30,43.2,43.32,40.67,41.16,3589031
2025-04-07 00:00:00+05:30,38.36,39.52,37.42,38.83,3609259
2025-04-08 00:00:00+05:30,40.9,40.99,39.41,40.24,1866974
2025-04-09 00:00:00+05:30,40.3,40.3,39.25,39.75,1155507
2025-04-11 00:00:00+05:30,41.0,41.9,40.38,40.85,1414585
2025-04-15 00:00:00+05:30,41.7,42.78,41.34,42.63,1947422
2025-04-16 00:00:00+05:30,42.64,44.2,42.53,43.15,1825506
2025-04-17 00:00:00+05:30,42.95,44.01,42.65,43.18,1949138
2025-04-21 00:00:00+05:30,43.18,44.88,42.73,44.62,2628701
2025-04-22 00:00:00+05:30,44.5,47.2,44.1,45.89,4280612
2025-04-23 00:00:00+05:30,45.94,46.4,44.5,45.95,2331169
2025-04-24 00:00:00+05:30,45.55,46.58,45.46,45.59,1460493
2025-04-25 00:00:00+05:30,45.2,45.68,43.08,43.55,1991591
2025-04-28 00:00:00+05:30,43.46,44.58,42.99,43.79,1434879
2025-04-29 00:00:00+05:30,43.79,44.48,43.4,43.64,976095
2025-04-30 00:00:00+05:30,43.18,43.34,41.4,41.66,1729789
2025-05-02 00:00:00+05:30,41.45,42.41,40.5,41.31,1644701
2025-05-05 00:00:00+05:30,41.49,42.5,41.04,42.39,1103977
2025-05-06 00:00:00+05:30,42.16,42.59,40.57,40.84,1247701
2025-05-07 00:00:00+05:30,40.15,41.47,39.77,41.28,1988306
2025-05-08 00:00:00+05:30,41.05,41.92,40.18,40.29,1078974
2025-05-09 00:00:00+05:30,39.05,41.1,38.99,40.91,2585047
2025-05-12 00:00:00+05:30,44.04,44.8,42.77,44.24,3470044
2025-05-13 00:00:00+05:30,44.24,46.15,43.66,45.93,3297415
2025-05-14 00:00:00+05:30,46.25,46.73,45.3,46.22,3060264
2025-05-15 00:00:00+05:30,46.56,47.97,46.15,47.07,3525311
2025-05-16 00:00:00+05:30,47.44,49.0,47.11,48.62,3176881
2025-05-19 00:00:00+05:30,49.35,49.55,47.82,48.53,3263046
2025-05-20 00:00:00+05:30,48.77,49.09,47.55,47.84,2197554
2025-05-21 00:00:00+05:30,47.62,48.69,47.25,48.58,1828237
2025-05-22 00:00:00+05:30,48.6,49.3,47.81,48.49,1865515
2025-05-23 00:00:00+05:30,48.54,49.15,47.87,48.25,1615460
2025-05-26 00:00:00+05:30,48.45,49.58,48.25,48.5,2368545
2025-05-27 00:00:00+05:30,48.6,48.82,45.75,46.58,4302347
2025-05-28 00:00:00+05:30,46.0,47.49,45.26,47.19,3165440
2025-05-29 00:00:00+05:30,47.15,47.88,46.2,46.37,1873301
2025-05-30 00:00:00+05:30,46.38,47.2,45.55,46.65,1777010
