date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,782.5,821.2,782.5,794.8,93684
2025-04-02 00:00:00+05:30,809.9,814.9,776.0,792.5,98008
2025-04-03 00:00:00+05:30,790.0,808.8,778.5,784.2,70340
2025-04-04 00:00:00+05:30,783.8,783.8,731.8,735.6,177264
2025-04-07 00:00:00+05:30,632.9,742.5,625.0,728.1,130064
2025-04-08 00:00:00+05:30,744.9,757.3,733.6,744.4,61224
2025-04-09 00:00:00+05:30,744.5,744.5,725.0,735.0,43450
2025-04-11 00:00:00+05:30,749.5,768.5,745.0,750.3,56646
2025-04-15 00:00:00+05:30,780.0,786.1,765.4,770.0,54680
2025-04-16 00:00:00+05:30,781.6,796.4,765.0,769.6,73832
2025-04-17 00:00:00+05:30,772.6,782.5,764.4,766.8,47238
2025-04-21 00:00:00+05:30,771.5,788.6,757.0,784.3,81834
2025-04-22 00:00:00+05:30,784.5,817.4,784.5,809.8,103962
2025-04-23 00:00:00+05:30,824.0,851.2,817.5,839.4,140038
2025-04-24 00:00:00+05:30,840.4,848.6,830.6,843.2,41492
2025-04-25 00:00:00+05:30,847.8,850.0,818.5,840.0,107848
2025-04-28 00:00:00+05:30,840.0,848.4,824.6,840.9,70092
2025-04-29 00:00:00+05:30,845.0,858.2,836.6,848.2,50590
2025-04-30 00:00:00+05:30,858.0,858.0,833.2,850.0,91342
2025-05-02 00:00:00+05:30,852.5,855.0,800.0,805.8,78418
2025-05-05 00:00:00+05:30,810.0,817.6,791.6,812.9,29748
2025-05-06 00:00:00+05:30,818.0,818.2,775.0,781.0,33200
2025-05-07 00:00:00+05:30,769.4,792.5,751.0,788.2,33046
2025-05-08 00:00:00+05:30,789.5,814.0,787.4,799.6,33696
2025-05-09 00:00:00+05:30,787.6,824.5,772.0,800.1,34234
2025-05-12 00:00:00+05:30,816.9,857.5,802.5,834.4,51176
2025-05-13 00:00:00+05:30,835.0,848.5,830.2,841.5,22318
2025-05-14 00:00:00+05:30,849.5,882.5,842.5,870.1,57876
2025-05-15 00:00:00+05:30,883.2,900.0,864.0,868.6,55070
2025-05-16 00:00:00+05:30,868.6,875.5,850.0,863.7,46774
2025-05-19 00:00:00+05:30,907.0,969.0,890.0,914.2,299630
2025-05-20 00:00:00+05:30,934.0,943.5,893.4,897.6,74386
2025-05-21 00:00:00+05:30,911.0,959.5,901.5,956.4,154162
2025-05-22 00:00:00+05:30,974.0,985.0,954.3,978.4,144396
2025-05-23 00:00:00+05:30,985.8,988.1,955.0,982.0,74630
2025-05-26 00:00:00+05:30,985.0,995.0,949.5,954.6,130548
2025-05-27 00:00:00+05:30,955.0,972.3,955.0,960.0,48990
2025-05-28 00:00:00+05:30,967.2,969.0,940.0,942.9,66454
2025-05-29 00:00:00+05:30,957.0,964.0,950.0,960.1,44292
2025-05-30 00:00:00+05:30,960.0,965.0,950.0,951.7,47080
2025-06-02 00:00:00+05:30,963.7,979.5,951.0,956.8,63140
2025-06-03 00:00:00+05:30,965.0,974.0,948.7,950.4,34374
2025-06-04 00:00:00+05:30,955.0,966.6,946.6,950.4,70246
2025-06-05 00:00:00+05:30,952.4,963.8,949.5,952.4,58220
2025-06-06 00:00:00+05:30,959.5,970.9,948.6,963.5,43286
2025-06-09 00:00:00+05:30,965.0,1009.0,965.0,979.4,176728
2025-06-10 00:00:00+05:30,987.0,992.4,968.7,971.8,104584
2025-06-11 00:00:00+05:30,974.5,988.0,972.8,984.8,74620
2025-06-12 00:00:00+05:30,991.0,997.0,970.0,973.8,111148
2025-06-13 00:00:00+05:30,948.8,966.0,927.8,958.6,62552
2025-06-16 00:00:00+05:30,950.0,954.4,925.0,940.2,46756
2025-06-17 00:00:00+05:30,946.6,971.0,940.2,949.0,43952
2025-06-18 00:00:00+05:30,959.4,960.2,930.0,933.6,31424
2025-06-19 00:00:00+05:30,927.6,946.8,917.2,928.0,55054
2025-06-20 00:00:00+05:30,932.1,937.5,923.0,929.6,30388
2025-06-23 00:00:00+05:30,934.4,942.0,925.0,928.2,36394
2025-06-24 00:00:00+05:30,942.0,944.0,917.8,923.3,30590
2025-06-25 00:00:00+05:30,930.0,932.6,919.0,927.7,45114
2025-06-26 00:00:00+05:30,932.0,942.5,923.6,928.0,22752
2025-06-27 00:00:00+05:30,936.8,960.0,929.0,957.2,56428
2025-06-30 00:00:00+05:30,960.0,969.4,937.5,939.8,90240
2025-07-01 00:00:00+05:30,948.0,987.5,944.1,981.5,431660
2025-07-02 00:00:00+05:30,996.4,1049.7,980.4,1042.2,631262
2025-07-03 00:00:00+05:30,1049.7,1060.0,1031.5,1045.2,379176
2025-07-04 00:00:00+05:30,1069.0,1080.5,1025.8,1052.7,103389
2025-07-07 00:00:00+05:30,1045.0,1248.0,1026.4,1216.7,733521
2025-07-08 00:00:00+05:30,1185.0,1189.9,1104.9,1129.1,363834
2025-07-09 00:00:00+05:30,1110.5,1114.0,1066.1,1077.2,211778
2025-07-10 00:00:00+05:30,1078.5,1099.0,1058.9,1062.6,78350
2025-07-11 00:00:00+05:30,1050.0,1079.0,1040.7,1056.9,65611
2025-07-14 00:00:00+05:30,1072.0,1079.0,1023.8,1053.4,79705
2025-07-15 00:00:00+05:30,1045.0,1074.0,1045.0,1057.6,40113
2025-07-16 00:00:00+05:30,1057.8,1110.0,1050.7,1083.0,103257
2025-07-17 00:00:00+05:30,1093.8,1096.5,1073.1,1081.7,43629
2025-07-18 00:00:00+05:30,1085.0,1092.9,1060.0,1066.0,45311
2025-07-21 00:00:00+05:30,1066.0,1095.0,1049.7,1087.8,70847
2025-07-22 00:00:00+05:30,1088.9,1224.0,1087.9,1190.6,1281029
2025-07-23 00:00:00+05:30,1175.1,1182.7,1145.7,1153.8,105052
2025-07-24 00:00:00+05:30,1153.8,1172.0,1095.0,1099.5,123769
2025-07-25 00:00:00+05:30,1108.3,1117.9,1056.0,1064.9,103457
2025-07-28 00:00:00+05:30,1065.0,1106.0,1027.0,1033.3,103115
2025-07-29 00:00:00+05:30,1030.0,1059.9,1026.0,1040.3,96744
2025-07-30 00:00:00+05:30,1043.0,1062.3,1035.8,1055.8,41022
2025-07-31 00:00:00+05:30,1024.0,1064.9,1010.2,1051.2,41501
2025-08-01 00:00:00+05:30,1043.0,1055.4,1035.0,1050.0,30943
2025-08-04 00:00:00+05:30,1046.6,1051.0,1031.1,1046.7,54290
2025-08-05 00:00:00+05:30,1052.0,1077.0,1042.0,1064.2,64472
2025-08-06 00:00:00+05:30,1065.7,1070.0,1033.0,1037.4,33963
2025-08-07 00:00:00+05:30,1037.7,1070.0,1009.8,1038.8,54409
2025-08-08 00:00:00+05:30,1038.6,1061.3,1022.0,1041.5,51070
2025-08-11 00:00:00+05:30,1086.9,1090.0,1041.5,1042.7,60298
2025-08-12 00:00:00+05:30,1043.0,1057.6,1032.9,1040.6,25000
2025-08-13 00:00:00+05:30,1039.4,1059.9,1020.1,1024.7,47275
2025-08-14 00:00:00+05:30,1034.9,1040.9,1008.0,1018.8,32868
2025-08-18 00:00:00+05:30,1045.0,1050.4,1016.2,1039.1,44392
2025-08-19 00:00:00+05:30,1039.1,1078.0,1038.2,1070.0,64076
2025-08-20 00:00:00+05:30,1080.7,1113.4,1052.1,1066.5,79910
2025-08-21 00:00:00+05:30,1074.0,1099.0,1071.2,1081.3,49829
2025-08-22 00:00:00+05:30,1092.1,1092.1,1055.4,1057.7,27031
2025-08-25 00:00:00+05:30,1060.4,1067.7,1045.0,1053.5,24063
2025-08-26 00:00:00+05:30,1052.0,1059.1,1025.0,1031.4,29790
2025-08-28 00:00:00+05:30,1030.0,1047.9,1017.0,1035.2,46161
2025-08-29 00:00:00+05:30,1040.0,1049.0,1014.9,1021.1,28349
2025-09-01 00:00:00+05:30,1021.1,1049.6,1014.6,1044.9,20266
2025-09-02 00:00:00+05:30,1040.7,1081.8,1039.5,1050.6,86496
2025-09-03 00:00:00+05:30,1054.8,1075.6,1050.6,1070.7,74900
2025-09-04 00:00:00+05:30,1080.0,1102.3,1051.7,1058.4,62178
2025-09-05 00:00:00+05:30,1060.0,1074.0,1047.6,1057.5,24534
2025-09-08 00:00:00+05:30,1057.5,1075.2,1053.2,1063.7,26689
2025-09-09 00:00:00+05:30,1075.0,1075.0,1056.0,1058.0,12586
2025-09-10 00:00:00+05:30,1058.0,1081.4,1050.0,1054.1,35440
2025-09-11 00:00:00+05:30,1064.4,1069.9,1040.3,1047.3,32909
2025-09-12 00:00:00+05:30,1059.3,1059.3,1032.8,1041.0,28273
2025-09-15 00:00:00+05:30,1048.9,1075.0,1042.4,1053.4,77618
2025-09-16 00:00:00+05:30,1053.4,1075.4,1052.0,1072.4,43559
2025-09-17 00:00:00+05:30,1075.0,1081.0,1055.8,1060.7,33662
2025-09-18 00:00:00+05:30,1075.0,1080.0,1050.5,1057.4,44180
2025-09-19 00:00:00+05:30,1058.0,1081.0,1058.0,1070.8,38224
2025-09-22 00:00:00+05:30,1071.0,1134.4,1066.5,1086.8,226094
2025-09-23 00:00:00+05:30,1092.0,1146.0,1082.2,1133.8,202817
2025-09-24 00:00:00+05:30,1137.9,1153.7,1115.0,1124.9,103122
2025-09-25 00:00:00+05:30,1116.7,1134.4,1087.0,1091.4,59617
2025-09-26 00:00:00+05:30,1081.3,1087.1,1040.4,1046.3,65447
2025-09-29 00:00:00+05:30,1048.0,1134.0,1045.2,1067.7,243231
2025-09-30 00:00:00+05:30,1060.0,1073.6,1040.0,1046.0,44670
2025-10-01 00:00:00+05:30,1046.7,1064.0,1035.0,1057.5,45618
2025-10-03 00:00:00+05:30,1057.5,1090.6,1056.4,1086.5,48909
2025-10-06 00:00:00+05:30,1092.0,1099.0,1070.0,1089.3,48588
2025-10-07 00:00:00+05:30,1092.9,1109.0,1070.7,1075.9,53956
2025-10-08 00:00:00+05:30,1080.2,1084.0,1060.0,1066.4,20085
2025-10-09 00:00:00+05:30,1057.6,1074.9,1034.0,1043.3,48803
2025-10-10 00:00:00+05:30,1043.3,1070.0,1043.3,1056.0,18055
2025-10-13 00:00:00+05:30,1032.0,1064.0,1032.0,1047.5,37657
2025-10-14 00:00:00+05:30,1051.7,1053.5,1010.6,1015.5,46782
2025-10-15 00:00:00+05:30,1015.1,1090.0,1015.1,1061.4,66988
2025-10-16 00:00:00+05:30,1069.9,1069.9,1047.3,1055.0,31789
2025-10-17 00:00:00+05:30,1060.0,1066.6,1045.6,1052.3,23899
2025-10-20 00:00:00+05:30,1059.1,1065.2,1037.1,1061.0,22919
2025-10-21 00:00:00+05:30,1071.0,1084.8,1067.1,1075.7,16404
2025-10-23 00:00:00+05:30,1082.5,1085.7,1060.0,1061.9,27586
2025-10-24 00:00:00+05:30,1069.9,1069.9,1043.1,1052.5,27303
2025-10-27 00:00:00+05:30,1052.5,1062.0,1045.0,1048.8,25896
2025-10-28 00:00:00+05:30,1048.8,1060.9,1035.9,1039.0,28275
2025-10-29 00:00:00+05:30,1045.8,1056.0,1033.9,1040.6,42542
2025-10-30 00:00:00+05:30,1044.8,1050.0,1031.9,1035.3,17715
2025-10-31 00:00:00+05:30,1035.0,1042.5,1030.0,1034.0,14751
2025-11-03 00:00:00+05:30,1032.0,1051.0,1032.0,1046.5,22435
2025-11-04 00:00:00+05:30,1045.0,1106.2,1037.5,1084.4,237861
2025-11-06 00:00:00+05:30,1091.0,1183.0,1090.5,1139.6,590633
2025-11-07 00:00:00+05:30,1139.0,1143.1,1096.1,1115.4,142399
