date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,164.0,170.71,163.2,167.96,356985
2025-04-02 00:00:00+05:30,168.5,170.11,163.46,168.6,270984
2025-04-03 00:00:00+05:30,167.0,170.55,166.99,167.58,323111
2025-04-04 00:00:00+05:30,168.0,168.49,155.0,156.28,721325
2025-04-07 00:00:00+05:30,143.83,152.99,143.19,151.95,466424
2025-04-08 00:00:00+05:30,152.07,154.65,150.45,152.57,246847
2025-04-09 00:00:00+05:30,153.93,153.94,146.28,146.97,240154
2025-04-11 00:00:00+05:30,149.95,159.95,148.99,157.48,837962
2025-04-15 00:00:00+05:30,161.9,170.0,158.77,168.98,850488
2025-04-16 00:00:00+05:30,169.8,172.61,165.41,168.83,638335
2025-04-17 00:00:00+05:30,166.75,169.4,163.4,166.05,744324
2025-04-21 00:00:00+05:30,166.05,166.2,160.05,160.67,1707112
2025-04-22 00:00:00+05:30,161.5,162.95,159.51,160.49,1278440
2025-04-23 00:00:00+05:30,161.8,162.39,156.3,159.51,618787
2025-04-24 00:00:00+05:30,160.0,161.54,158.0,158.37,524949
2025-04-25 00:00:00+05:30,159.99,159.99,149.91,150.48,809330
2025-04-28 00:00:00+05:30,150.59,154.54,148.74,154.0,541295
2025-04-29 00:00:00+05:30,153.0,156.46,149.8,150.73,484804
2025-04-30 00:00:00+05:30,150.73,151.3,146.41,149.67,448921
2025-05-02 00:00:00+05:30,151.0,154.9,148.1,152.39,460323
2025-05-05 00:00:00+05:30,154.39,160.93,150.75,160.23,563920
2025-05-06 00:00:00+05:30,161.0,162.98,151.5,152.24,471811
2025-05-07 00:00:00+05:30,148.12,152.17,148.05,150.51,229347
2025-05-08 00:00:00+05:30,151.3,151.9,144.7,145.07,422928
2025-05-09 00:00:00+05:30,143.68,148.0,141.21,146.59,932078
2025-05-12 00:00:00+05:30,148.99,158.41,148.99,156.02,721324
2025-05-13 00:00:00+05:30,156.02,157.15,154.51,155.96,208443
2025-05-14 00:00:00+05:30,156.8,163.95,156.71,162.76,520752
2025-05-15 00:00:00+05:30,163.7,172.92,161.1,171.99,1074595
2025-05-16 00:00:00+05:30,171.99,176.15,169.62,175.4,808847
2025-05-19 00:00:00+05:30,176.3,177.31,171.6,173.52,804249
2025-05-20 00:00:00+05:30,175.0,177.25,168.32,171.71,942918
