date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,91.5,92.95,90.56,91.29,6079541
2025-04-02 00:00:00+05:30,91.95,93.6,89.7,93.32,6696982
2025-04-03 00:00:00+05:30,92.84,96.0,92.5,95.77,8044837
2025-04-04 00:00:00+05:30,95.95,96.12,91.73,92.42,6542740
2025-04-07 00:00:00+05:30,83.17,90.0,83.17,88.91,6304022
2025-04-08 00:00:00+05:30,91.08,92.06,89.53,90.6,4027939
2025-04-09 00:00:00+05:30,90.59,90.75,89.03,90.03,2524732
2025-04-11 00:00:00+05:30,92.01,92.5,90.5,91.43,3123108
2025-04-15 00:00:00+05:30,92.52,94.45,92.34,94.11,4722031
2025-04-16 00:00:00+05:30,94.12,95.55,93.85,95.03,5980819
2025-04-17 00:00:00+05:30,94.99,95.69,93.41,94.18,4951325
2025-04-21 00:00:00+05:30,94.65,96.4,93.81,95.87,6038998
2025-04-22 00:00:00+05:30,96.3,100.9,95.16,99.1,23034145
2025-04-23 00:00:00+05:30,100.0,100.87,97.5,100.01,10896395
2025-04-24 00:00:00+05:30,99.85,101.78,98.51,98.77,11489970
2025-04-25 00:00:00+05:30,99.46,99.8,93.52,96.64,11624755
2025-04-28 00:00:00+05:30,96.0,98.1,95.2,98.01,5850616
2025-04-29 00:00:00+05:30,98.05,99.48,96.48,96.77,5139780
2025-04-30 00:00:00+05:30,96.77,96.82,93.27,94.03,4504690
2025-05-02 00:00:00+05:30,93.25,96.1,93.0,93.37,4734571
2025-05-05 00:00:00+05:30,94.9,94.9,92.69,94.13,3897468
2025-05-06 00:00:00+05:30,94.4,94.69,90.0,90.22,4991228
2025-05-07 00:00:00+05:30,88.0,92.3,88.0,91.85,5306267
2025-05-08 00:00:00+05:30,92.4,93.14,88.5,89.35,4072354
2025-05-09 00:00:00+05:30,86.25,89.77,86.25,88.91,5521740
2025-05-12 00:00:00+05:30,92.5,96.8,92.0,96.48,8214781
2025-05-13 00:00:00+05:30,97.0,97.5,95.17,95.92,5083501
