date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,550.05,578.15,549.15,552.75,955840
2025-04-02 00:00:00+05:30,553.7,575.8,548.35,571.05,727416
2025-04-03 00:00:00+05:30,565.0,579.45,560.05,572.9,381275
2025-04-04 00:00:00+05:30,573.95,577.8,550.55,560.15,389557
2025-04-07 00:00:00+05:30,502.0,542.4,502.0,538.2,310637
2025-04-08 00:00:00+05:30,545.1,567.75,545.1,559.75,434463
2025-04-09 00:00:00+05:30,563.4,570.4,554.75,558.6,312756
2025-04-11 00:00:00+05:30,570.0,574.0,549.05,565.25,389230
2025-04-15 00:00:00+05:30,576.85,576.85,550.25,555.25,698173
2025-04-16 00:00:00+05:30,555.0,562.15,548.75,556.8,389637
2025-04-17 00:00:00+05:30,560.0,565.9,550.55,552.85,251739
2025-04-21 00:00:00+05:30,552.85,561.8,551.0,552.95,237459
2025-04-22 00:00:00+05:30,555.5,572.0,549.2,554.45,838543
2025-04-23 00:00:00+05:30,561.9,563.05,549.3,551.15,299002
2025-04-24 00:00:00+05:30,548.0,548.55,529.35,533.35,571100
2025-04-25 00:00:00+05:30,533.35,536.2,510.8,512.8,470170
2025-04-28 00:00:00+05:30,506.5,524.75,506.5,510.05,377330
2025-04-29 00:00:00+05:30,513.7,520.3,502.2,504.8,412020
2025-04-30 00:00:00+05:30,503.0,514.6,496.35,508.6,566005
2025-05-02 00:00:00+05:30,510.0,529.45,509.5,524.45,359894
2025-05-05 00:00:00+05:30,527.2,528.85,513.0,514.2,148564
2025-05-06 00:00:00+05:30,509.5,524.65,499.1,501.45,308119
2025-05-07 00:00:00+05:30,495.05,519.95,495.05,517.55,249683
2025-05-08 00:00:00+05:30,517.55,522.2,503.1,507.55,169378
2025-05-09 00:00:00+05:30,495.05,507.25,495.05,501.2,146870
2025-05-12 00:00:00+05:30,516.0,522.4,516.0,519.2,181748
2025-05-13 00:00:00+05:30,523.85,524.9,515.05,523.3,141426
2025-05-14 00:00:00+05:30,524.0,531.8,521.1,526.05,137488
2025-05-15 00:00:00+05:30,526.05,530.2,518.1,521.4,125862
2025-05-16 00:00:00+05:30,522.0,542.8,520.2,538.45,415150
2025-05-19 00:00:00+05:30,541.45,542.0,526.7,532.15,180816
2025-05-20 00:00:00+05:30,532.15,549.3,529.95,539.15,471924
2025-05-21 00:00:00+05:30,539.2,544.0,531.25,534.7,218842
2025-05-22 00:00:00+05:30,533.0,538.35,528.8,531.55,119275
2025-05-23 00:00:00+05:30,533.0,536.15,528.2,531.4,124987
2025-05-26 00:00:00+05:30,530.1,537.8,523.45,534.05,276845
2025-05-27 00:00:00+05:30,523.0,528.45,501.1,503.2,1172246
2025-05-28 00:00:00+05:30,504.0,520.95,501.05,510.0,799978
2025-05-29 00:00:00+05:30,510.05,512.4,498.0,502.85,773465
2025-05-30 00:00:00+05:30,502.8,513.05,501.0,506.75,256323
2025-06-02 00:00:00+05:30,508.0,513.65,503.3,505.2,155195
2025-06-03 00:00:00+05:30,506.0,512.0,501.55,503.0,172985
2025-06-04 00:00:00+05:30,503.0,506.75,498.5,501.2,167619
2025-06-05 00:00:00+05:30,504.0,520.0,501.55,517.4,426326
2025-06-06 00:00:00+05:30,521.45,521.45,513.0,518.85,293629
2025-06-09 00:00:00+05:30,522.0,523.45,512.2,518.35,180713
2025-06-10 00:00:00+05:30,522.1,522.35,507.9,511.05,265569
2025-06-11 00:00:00+05:30,517.2,518.45,504.2,504.95,335489
2025-06-12 00:00:00+05:30,507.0,509.4,495.35,496.9,317290
2025-06-13 00:00:00+05:30,490.0,495.7,486.35,494.7,408911
2025-06-16 00:00:00+05:30,494.6,501.35,492.55,494.9,162415
2025-06-17 00:00:00+05:30,497.4,506.5,493.55,497.4,193397
2025-06-18 00:00:00+05:30,499.9,502.45,494.05,499.5,247943
2025-06-19 00:00:00+05:30,499.9,505.8,498.1,502.25,191397
2025-06-20 00:00:00+05:30,504.4,504.45,489.0,491.95,397418
2025-06-23 00:00:00+05:30,487.0,515.8,487.0,512.8,555622
2025-06-24 00:00:00+05:30,513.0,522.0,506.75,521.05,372694
2025-06-25 00:00:00+05:30,522.0,524.45,510.2,511.55,137372
2025-06-26 00:00:00+05:30,513.0,518.95,510.0,515.45,208501
2025-06-27 00:00:00+05:30,520.9,530.0,515.0,522.7,556983
2025-06-30 00:00:00+05:30,521.0,531.0,519.1,529.6,265252
2025-07-01 00:00:00+05:30,532.0,532.6,514.0,517.95,262465
2025-07-02 00:00:00+05:30,519.0,528.4,515.0,525.55,795070
2025-07-03 00:00:00+05:30,528.0,543.5,525.0,527.85,525880
2025-07-04 00:00:00+05:30,527.85,539.8,521.85,536.05,409519
2025-07-07 00:00:00+05:30,535.6,562.95,529.3,553.85,1270967
2025-07-08 00:00:00+05:30,553.15,566.2,547.0,552.0,748452
2025-07-09 00:00:00+05:30,548.0,554.75,542.75,544.9,243276
2025-07-10 00:00:00+05:30,548.5,548.5,535.1,539.85,264380
2025-07-11 00:00:00+05:30,537.8,544.3,530.0,542.6,462430
2025-07-14 00:00:00+05:30,542.45,546.25,532.95,542.45,195634
2025-07-15 00:00:00+05:30,547.85,569.95,545.05,565.85,846231
2025-07-16 00:00:00+05:30,570.0,588.8,561.55,585.5,1341208
2025-07-17 00:00:00+05:30,587.05,597.05,581.6,595.25,745187
2025-07-18 00:00:00+05:30,595.25,608.8,591.0,606.15,1020818
2025-07-21 00:00:00+05:30,609.55,618.0,581.75,584.65,737380
2025-07-22 00:00:00+05:30,584.65,597.2,584.65,593.55,228023
2025-07-23 00:00:00+05:30,593.8,600.95,585.0,588.3,352101
2025-07-24 00:00:00+05:30,590.0,598.3,587.0,590.95,313511
2025-07-25 00:00:00+05:30,589.0,593.25,581.4,584.9,277673
2025-07-28 00:00:00+05:30,586.0,592.25,575.85,580.3,446248
2025-07-29 00:00:00+05:30,576.1,612.0,576.1,604.7,789420
2025-07-30 00:00:00+05:30,607.65,660.05,603.55,652.25,5449373
2025-07-31 00:00:00+05:30,640.0,663.5,635.1,648.7,1493087
2025-08-01 00:00:00+05:30,651.0,656.0,626.2,630.65,681765
2025-08-04 00:00:00+05:30,632.0,665.0,627.8,637.8,3372750
2025-08-05 00:00:00+05:30,638.55,644.7,625.0,632.55,581921
2025-08-06 00:00:00+05:30,630.6,635.0,601.5,604.75,483739
2025-08-07 00:00:00+05:30,603.05,610.15,585.35,589.1,334748
2025-08-08 00:00:00+05:30,589.4,593.65,573.0,577.1,297476
2025-08-11 00:00:00+05:30,581.85,588.0,572.05,583.4,234124
2025-08-12 00:00:00+05:30,586.0,596.8,579.6,594.5,220425
2025-08-13 00:00:00+05:30,596.0,602.4,585.95,597.05,243238
2025-08-14 00:00:00+05:30,598.6,603.7,584.9,586.45,254137
2025-08-18 00:00:00+05:30,588.2,597.2,575.1,577.4,326972
2025-08-19 00:00:00+05:30,577.4,588.25,576.85,585.3,131433
2025-08-20 00:00:00+05:30,585.95,601.35,582.2,590.15,818464
2025-08-21 00:00:00+05:30,590.15,599.0,585.05,593.4,355620
2025-08-22 00:00:00+05:30,600.0,608.95,588.65,598.05,650021
2025-08-25 00:00:00+05:30,600.0,602.8,585.1,587.15,242461
2025-08-26 00:00:00+05:30,585.0,586.3,562.4,570.0,417018
2025-08-28 00:00:00+05:30,565.0,569.8,560.3,566.8,161353
2025-08-29 00:00:00+05:30,568.5,577.2,556.95,566.15,311254
2025-09-01 00:00:00+05:30,562.95,572.5,555.2,569.2,293041
2025-09-02 00:00:00+05:30,569.2,577.75,551.1,570.95,391396
2025-09-03 00:00:00+05:30,574.8,595.0,568.55,590.55,441414
2025-09-04 00:00:00+05:30,598.0,598.95,580.25,584.5,157982
2025-09-05 00:00:00+05:30,580.5,585.45,568.0,569.5,261572
2025-09-08 00:00:00+05:30,567.0,575.75,562.0,565.75,302730
2025-09-09 00:00:00+05:30,570.0,574.0,564.85,566.15,90595
2025-09-10 00:00:00+05:30,566.15,576.3,566.15,573.25,184162
2025-09-11 00:00:00+05:30,575.1,576.95,566.35,569.85,94639
2025-09-12 00:00:00+05:30,570.0,573.85,552.2,554.7,263921
2025-09-15 00:00:00+05:30,557.0,560.0,548.2,552.5,189308
2025-09-16 00:00:00+05:30,556.0,561.15,550.5,552.5,242593
2025-09-17 00:00:00+05:30,558.0,571.8,552.5,569.05,249921
2025-09-18 00:00:00+05:30,574.4,574.4,562.6,564.55,173929
2025-09-19 00:00:00+05:30,564.55,617.45,555.8,601.8,1612602
2025-09-22 00:00:00+05:30,601.8,605.0,580.0,582.2,377511
2025-09-23 00:00:00+05:30,580.1,582.15,563.55,567.2,310930
2025-09-24 00:00:00+05:30,569.9,569.9,561.0,563.2,131103
2025-09-25 00:00:00+05:30,564.9,565.05,552.6,555.8,139053
2025-09-26 00:00:00+05:30,554.0,554.0,532.7,535.45,241496
2025-09-29 00:00:00+05:30,536.0,543.2,530.0,531.4,424451
2025-09-30 00:00:00+05:30,528.25,539.25,527.7,533.25,115599
2025-10-01 00:00:00+05:30,534.0,546.75,532.3,544.05,194063
2025-10-03 00:00:00+05:30,549.0,549.0,533.65,538.3,138003
2025-10-06 00:00:00+05:30,538.1,545.25,535.0,541.6,127314
2025-10-07 00:00:00+05:30,543.6,543.6,528.8,534.35,133390
2025-10-08 00:00:00+05:30,519.2,534.5,519.2,529.8,276167
2025-10-09 00:00:00+05:30,528.85,534.3,523.0,524.65,130758
2025-10-10 00:00:00+05:30,524.65,533.95,522.4,527.75,294194
2025-10-13 00:00:00+05:30,522.45,533.0,520.6,524.25,207589
2025-10-14 00:00:00+05:30,532.35,532.35,516.55,520.4,268694
2025-10-15 00:00:00+05:30,518.15,528.0,516.8,518.2,159186
2025-10-16 00:00:00+05:30,519.25,528.9,515.35,517.7,234271
2025-10-17 00:00:00+05:30,518.0,532.0,515.05,526.4,563453
2025-10-20 00:00:00+05:30,528.75,530.5,515.0,523.75,339577
2025-10-21 00:00:00+05:30,523.75,534.0,523.75,529.8,44907
2025-10-23 00:00:00+05:30,535.5,535.5,517.5,518.75,142511
2025-10-24 00:00:00+05:30,522.4,522.4,514.2,517.9,193805
2025-10-27 00:00:00+05:30,518.0,538.0,506.0,518.0,1402033
2025-10-28 00:00:00+05:30,509.0,514.7,506.0,512.1,614848
2025-10-29 00:00:00+05:30,512.3,514.9,505.1,506.55,238577
2025-10-30 00:00:00+05:30,506.55,510.0,505.65,508.75,374094
2025-10-31 00:00:00+05:30,507.1,511.45,501.0,502.2,412632
2025-11-03 00:00:00+05:30,504.0,512.0,496.0,507.85,400646
2025-11-04 00:00:00+05:30,507.85,509.7,497.05,499.45,435710
2025-11-06 00:00:00+05:30,499.45,502.7,478.5,480.05,604807
2025-11-07 00:00:00+05:30,480.05,484.8,471.65,475.15,431397
2025-11-10 00:00:00+05:30,478.95,480.8,471.4,472.7,110570
2025-11-11 00:00:00+05:30,473.0,475.2,460.15,473.8,308143
2025-11-12 00:00:00+05:30,477.0,481.2,472.05,475.65,267209
2025-11-13 00:00:00+05:30,475.55,476.45,467.25,468.0,664045
2025-11-14 00:00:00+05:30,464.3,470.4,462.0,464.8,452476
2025-11-17 00:00:00+05:30,467.95,472.15,461.6,463.35,176808
2025-11-18 00:00:00+05:30,462.7,463.95,455.1,456.15,185517
2025-11-19 00:00:00+05:30,458.0,460.3,452.7,458.1,127030
2025-11-20 00:00:00+05:30,458.45,465.6,454.0,455.35,187003
2025-11-21 00:00:00+05:30,455.35,458.8,448.9,451.7,348635
2025-11-24 00:00:00+05:30,455.0,456.4,442.95,444.9,342304
2025-11-25 00:00:00+05:30,449.5,453.0,446.1,451.1,158098
2025-11-26 00:00:00+05:30,449.15,457.45,448.4,456.25,121890
2025-11-27 00:00:00+05:30,456.25,461.0,451.1,458.8,161766
2025-11-28 00:00:00+05:30,458.5,471.0,454.65,466.0,366958
2025-12-01 00:00:00+05:30,465.2,475.05,465.0,473.05,215066
2025-12-02 00:00:00+05:30,472.0,472.55,458.7,460.2,346963
2025-12-03 00:00:00+05:30,460.35,465.55,453.65,462.15,104768
2025-12-04 00:00:00+05:30,460.0,467.6,456.5,465.35,125574
2025-12-05 00:00:00+05:30,466.0,466.5,457.0,465.25,110984
2025-12-08 00:00:00+05:30,466.9,466.9,448.3,452.35,183314
2025-12-09 00:00:00+05:30,450.0,460.35,447.0,454.5,198502
2025-12-10 00:00:00+05:30,454.5,465.0,453.55,456.0,79003
2025-12-11 00:00:00+05:30,454.05,457.1,451.4,454.8,67159
2025-12-12 00:00:00+05:30,455.0,459.3,451.55,456.95,151697
2025-12-15 00:00:00+05:30,456.0,457.7,452.2,455.45,180447
2025-12-16 00:00:00+05:30,457.0,462.95,453.1,455.85,257619
2025-12-17 00:00:00+05:30,456.45,457.6,446.0,448.7,384432
2025-12-18 00:00:00+05:30,451.9,451.9,444.8,447.15,205383
2025-12-19 00:00:00+05:30,447.0,447.8,432.2,442.6,386380
