date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,426.1,437.4,425.0,432.3,1285889
2025-04-02 00:00:00+05:30,434.0,444.0,423.25,437.3,1742993
2025-04-03 00:00:00+05:30,430.1,449.6,430.1,442.45,1885065
2025-04-04 00:00:00+05:30,440.95,442.25,413.45,418.6,2091947
2025-04-07 00:00:00+05:30,362.2,392.8,362.2,383.15,3489044
2025-04-08 00:00:00+05:30,394.5,402.55,389.3,396.85,1982645
2025-04-09 00:00:00+05:30,395.0,398.3,384.0,395.0,1704430
2025-04-11 00:00:00+05:30,406.0,408.95,395.85,396.95,1655827
2025-04-15 00:00:00+05:30,405.0,418.4,400.5,413.95,2406129
2025-04-16 00:00:00+05:30,416.5,441.4,415.3,432.1,4788056
2025-04-17 00:00:00+05:30,430.85,441.75,425.25,429.3,2076035
2025-04-21 00:00:00+05:30,430.8,453.0,426.05,449.2,3445942
2025-04-22 00:00:00+05:30,448.55,454.25,441.25,443.25,1756084
2025-04-23 00:00:00+05:30,446.7,447.3,431.3,435.35,1545087
2025-04-24 00:00:00+05:30,436.0,444.5,433.9,435.05,1179672
2025-04-25 00:00:00+05:30,434.5,436.0,405.4,415.1,2412150
2025-04-28 00:00:00+05:30,407.0,423.85,403.65,420.15,1369394
2025-04-29 00:00:00+05:30,420.0,428.8,411.6,414.0,1258950
2025-04-30 00:00:00+05:30,416.7,416.7,400.0,401.8,1111262
2025-05-02 00:00:00+05:30,403.0,425.0,399.15,410.8,2697233
2025-05-05 00:00:00+05:30,412.25,423.8,410.3,419.2,1196204
2025-05-06 00:00:00+05:30,419.0,421.15,394.1,397.0,1531230
2025-05-07 00:00:00+05:30,391.0,407.8,391.0,403.3,1652235
2025-05-08 00:00:00+05:30,406.0,416.85,394.2,397.55,1230403
2025-05-09 00:00:00+05:30,389.0,398.35,388.75,391.1,1110359
2025-05-12 00:00:00+05:30,408.0,426.9,408.0,420.4,2140396
2025-05-13 00:00:00+05:30,420.0,439.0,418.45,437.05,2114271
2025-05-14 00:00:00+05:30,439.0,442.6,431.0,433.85,1139071
2025-05-15 00:00:00+05:30,436.0,449.3,433.0,438.45,2221761
2025-05-16 00:00:00+05:30,440.9,461.35,436.55,455.55,4049334
