date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,134.0,138.5,133.56,137.63,1438223
2025-04-02 00:00:00+05:30,138.0,140.9,134.02,139.21,1579783
2025-04-03 00:00:00+05:30,136.5,143.54,136.5,142.75,1679223
2025-04-04 00:00:00+05:30,140.62,142.0,133.79,135.24,2825610
2025-04-07 00:00:00+05:30,120.45,129.84,119.06,128.82,2708630
2025-04-08 00:00:00+05:30,133.49,133.87,128.85,131.95,1147670
2025-04-09 00:00:00+05:30,130.5,131.54,127.95,129.61,746262
2025-04-11 00:00:00+05:30,132.31,134.85,131.66,134.3,1328151
2025-04-15 00:00:00+05:30,136.6,138.6,135.56,138.26,1461927
2025-04-16 00:00:00+05:30,138.3,142.05,137.85,140.43,1907886
2025-04-17 00:00:00+05:30,139.4,142.0,139.4,139.98,1089351
2025-04-21 00:00:00+05:30,140.41,143.62,139.02,143.02,1292522
2025-04-22 00:00:00+05:30,143.0,152.9,141.34,149.67,4254016
2025-04-23 00:00:00+05:30,151.0,155.0,144.8,152.04,2999121
2025-04-24 00:00:00+05:30,152.5,156.5,151.1,152.13,2967670
2025-04-25 00:00:00+05:30,151.5,152.0,142.66,143.65,2784393
2025-04-28 00:00:00+05:30,142.0,144.72,139.3,139.98,2216607
2025-04-29 00:00:00+05:30,140.2,143.54,139.0,139.56,1179630
2025-04-30 00:00:00+05:30,138.25,139.38,133.6,134.75,1224503
2025-05-02 00:00:00+05:30,133.75,139.4,133.75,135.83,1961314
2025-05-05 00:00:00+05:30,136.14,140.65,136.14,140.1,1160284
2025-05-06 00:00:00+05:30,139.4,140.75,132.0,132.86,1314509
2025-05-07 00:00:00+05:30,129.0,135.7,129.0,135.07,1589562
2025-05-08 00:00:00+05:30,135.0,137.75,131.0,131.78,1056795
2025-05-09 00:00:00+05:30,127.0,131.0,127.0,129.33,1487118
2025-05-12 00:00:00+05:30,137.51,144.8,137.0,143.75,2792808
2025-05-13 00:00:00+05:30,143.75,146.78,141.18,144.09,1669678
2025-05-14 00:00:00+05:30,144.09,156.2,143.74,155.13,6895391
2025-05-15 00:00:00+05:30,155.2,161.77,154.13,155.09,6150232
2025-05-16 00:00:00+05:30,155.5,164.9,154.33,163.24,9879461
2025-05-19 00:00:00+05:30,157.01,166.75,156.8,159.97,9884405
2025-05-20 00:00:00+05:30,162.1,163.4,154.0,154.86,3437561
2025-05-21 00:00:00+05:30,155.0,159.39,154.11,157.36,2634667
2025-05-22 00:00:00+05:30,156.21,160.37,155.1,157.04,1751023
2025-05-23 00:00:00+05:30,157.02,158.0,155.05,156.35,1446022
2025-05-26 00:00:00+05:30,156.05,161.8,156.05,159.34,2334943
2025-05-27 00:00:00+05:30,160.5,161.95,158.51,159.0,2198016
2025-05-28 00:00:00+05:30,159.48,162.44,159.48,159.78,2126463
2025-05-29 00:00:00+05:30,159.78,162.85,158.03,161.67,3552274
2025-05-30 00:00:00+05:30,163.5,166.0,158.26,159.07,3070026
2025-06-02 00:00:00+05:30,159.99,163.74,157.81,161.43,2458504
