date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,560.95,562.0,532.55,536.45,1384083
2025-04-02 00:00:00+05:30,540.0,545.65,526.0,541.95,1014446
2025-04-03 00:00:00+05:30,530.15,540.8,530.05,535.4,878533
2025-04-04 00:00:00+05:30,535.4,538.0,510.8,518.4,984436
2025-04-07 00:00:00+05:30,480.05,499.0,471.7,493.4,1624667
2025-04-08 00:00:00+05:30,503.25,505.0,478.8,488.4,1903705
2025-04-09 00:00:00+05:30,489.0,491.9,473.3,477.35,1022975
2025-04-11 00:00:00+05:30,494.9,500.8,481.2,495.8,1532778
2025-04-15 00:00:00+05:30,502.0,513.6,493.5,507.35,2291682
2025-04-16 00:00:00+05:30,511.85,518.5,507.35,512.95,1284994
2025-04-17 00:00:00+05:30,513.0,514.1,499.0,509.9,1372414
2025-04-21 00:00:00+05:30,515.0,518.8,507.45,512.6,855891
2025-04-22 00:00:00+05:30,514.35,516.75,506.5,509.7,1071846
2025-04-23 00:00:00+05:30,515.05,533.9,512.7,521.25,2798867
2025-04-24 00:00:00+05:30,522.95,532.8,512.4,520.15,1666237
2025-04-25 00:00:00+05:30,523.3,524.65,495.05,506.75,1687064
2025-04-28 00:00:00+05:30,505.0,526.8,500.8,525.15,1224145
2025-04-29 00:00:00+05:30,529.8,539.8,519.85,523.35,1177485
2025-04-30 00:00:00+05:30,524.0,532.75,511.25,520.15,1366485
2025-05-02 00:00:00+05:30,516.0,516.9,502.85,507.75,969519
2025-05-05 00:00:00+05:30,509.8,536.75,507.55,526.45,1828064
2025-05-06 00:00:00+05:30,530.0,532.0,501.15,504.55,893168
2025-05-07 00:00:00+05:30,503.05,518.9,495.05,517.0,885193
2025-05-08 00:00:00+05:30,518.95,536.5,518.0,526.1,1279306
2025-05-09 00:00:00+05:30,515.9,521.75,506.4,515.65,700107
2025-05-12 00:00:00+05:30,549.0,578.8,545.5,559.5,9735728
2025-05-13 00:00:00+05:30,559.5,564.0,547.25,550.6,955700
2025-05-14 00:00:00+05:30,555.0,595.7,550.95,574.05,4959820
2025-05-15 00:00:00+05:30,578.0,619.2,572.95,615.2,8136491
2025-05-16 00:00:00+05:30,619.9,622.9,598.1,605.15,1979336
2025-05-19 00:00:00+05:30,609.9,616.9,597.25,600.4,1211927
2025-05-20 00:00:00+05:30,605.0,606.15,584.0,585.1,1142479
2025-05-21 00:00:00+05:30,581.3,586.8,562.05,575.0,1634887
2025-05-22 00:00:00+05:30,576.45,588.7,568.0,572.35,935197
2025-05-23 00:00:00+05:30,572.65,587.8,568.15,581.65,1260618
2025-05-26 00:00:00+05:30,584.7,595.0,577.7,590.8,654851
2025-05-27 00:00:00+05:30,591.8,617.55,588.15,606.0,2537329
2025-05-28 00:00:00+05:30,606.75,609.25,590.0,592.1,1475802
2025-05-29 00:00:00+05:30,596.0,597.4,582.0,595.4,1149964
2025-05-30 00:00:00+05:30,598.0,598.0,576.3,581.25,947852
2025-06-02 00:00:00+05:30,582.0,582.9,572.85,575.55,828820
2025-06-03 00:00:00+05:30,577.0,594.9,576.1,590.15,918452
2025-06-04 00:00:00+05:30,592.8,595.4,583.0,591.15,1002418
2025-06-05 00:00:00+05:30,591.8,596.7,585.35,587.15,716723
2025-06-06 00:00:00+05:30,586.1,597.0,580.0,591.75,1346736
2025-06-09 00:00:00+05:30,594.55,616.9,592.65,607.45,1675168
2025-06-10 00:00:00+05:30,609.75,616.3,601.55,608.6,926163
2025-06-11 00:00:00+05:30,608.8,615.5,601.5,611.95,1368339
2025-06-12 00:00:00+05:30,620.0,633.7,597.0,602.3,2988102
2025-06-13 00:00:00+05:30,588.0,608.45,582.3,600.35,984375
2025-06-16 00:00:00+05:30,596.0,606.6,591.65,600.9,672507
2025-06-17 00:00:00+05:30,599.9,617.45,594.35,605.2,913065
2025-06-18 00:00:00+05:30,605.2,628.0,601.3,615.0,2407957
2025-06-19 00:00:00+05:30,614.1,619.05,603.4,609.15,996764
2025-06-20 00:00:00+05:30,609.0,613.15,593.55,602.2,1718983
2025-06-23 00:00:00+05:30,595.95,600.95,588.0,597.95,495068
