date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,309.9,314.6,300.1,308.9,53319
2025-04-02 00:00:00+05:30,311.5,321.0,308.5,317.5,105385
2025-04-03 00:00:00+05:30,316.8,325.3,314.0,317.7,81136
2025-04-04 00:00:00+05:30,314.0,317.85,308.25,314.45,67522
2025-04-07 00:00:00+05:30,300.0,304.4,288.0,299.55,127382
2025-04-08 00:00:00+05:30,305.9,310.0,303.1,307.75,46024
2025-04-09 00:00:00+05:30,305.1,308.85,298.5,299.8,69718
2025-04-11 00:00:00+05:30,302.9,314.95,302.1,310.6,108690
2025-04-15 00:00:00+05:30,312.9,326.0,312.05,324.25,134676
2025-04-16 00:00:00+05:30,326.0,353.7,321.3,345.6,299995
2025-04-17 00:00:00+05:30,345.6,346.45,338.4,343.1,81405
2025-04-21 00:00:00+05:30,343.1,347.65,338.0,339.65,71675
2025-04-22 00:00:00+05:30,342.0,345.65,335.75,337.7,74152
2025-04-23 00:00:00+05:30,338.0,345.0,333.0,342.35,87099
2025-04-24 00:00:00+05:30,344.5,375.0,341.85,361.1,399307
2025-04-25 00:00:00+05:30,363.0,363.0,336.1,358.8,248681
2025-04-28 00:00:00+05:30,357.0,357.9,349.1,351.1,85592
2025-04-29 00:00:00+05:30,356.35,356.35,340.0,341.7,69268
2025-04-30 00:00:00+05:30,338.2,341.7,328.05,329.55,93817
2025-05-02 00:00:00+05:30,333.2,342.9,326.6,329.05,98639
2025-05-05 00:00:00+05:30,329.9,349.0,321.0,347.55,172038
2025-05-06 00:00:00+05:30,347.55,351.9,335.7,338.3,93511
2025-05-07 00:00:00+05:30,335.1,352.95,333.0,349.5,169524
2025-05-08 00:00:00+05:30,349.55,352.9,329.1,332.05,100138
2025-05-09 00:00:00+05:30,326.0,333.95,323.45,330.05,74397
2025-05-12 00:00:00+05:30,340.9,349.8,340.1,344.8,118880
2025-05-13 00:00:00+05:30,348.0,352.0,341.65,348.25,82441
2025-05-14 00:00:00+05:30,349.9,358.0,347.95,351.7,84989
2025-05-15 00:00:00+05:30,355.0,356.75,349.95,351.4,41280
2025-05-16 00:00:00+05:30,356.5,356.5,346.6,349.2,84527
2025-05-19 00:00:00+05:30,352.9,364.2,347.6,357.4,155046
2025-05-20 00:00:00+05:30,359.9,364.9,354.2,358.0,103677
2025-05-21 00:00:00+05:30,359.8,369.8,342.1,360.4,358266
2025-05-22 00:00:00+05:30,364.95,365.8,355.45,358.55,109618
2025-05-23 00:00:00+05:30,350.0,358.0,342.15,356.35,197981
2025-05-26 00:00:00+05:30,356.35,361.35,352.05,353.0,64560
2025-05-27 00:00:00+05:30,354.75,355.35,347.05,348.95,38098
2025-05-28 00:00:00+05:30,352.0,354.85,347.2,351.25,69697
2025-05-29 00:00:00+05:30,355.0,355.55,350.1,351.6,41049
2025-05-30 00:00:00+05:30,351.0,386.85,351.0,378.05,483566
2025-06-02 00:00:00+05:30,378.05,400.8,373.45,398.15,290158
2025-06-03 00:00:00+05:30,398.5,399.15,385.55,389.2,116190
2025-06-04 00:00:00+05:30,387.25,394.2,382.2,389.0,96487
2025-06-05 00:00:00+05:30,390.95,394.9,386.3,389.8,78782
2025-06-06 00:00:00+05:30,391.75,406.0,388.35,391.5,259683
2025-06-09 00:00:00+05:30,394.0,415.0,394.0,412.6,233541
2025-06-10 00:00:00+05:30,415.0,428.75,409.05,411.85,297123
2025-06-11 00:00:00+05:30,415.0,440.0,409.3,434.4,387525
2025-06-12 00:00:00+05:30,433.0,495.0,428.0,451.45,1522712
2025-06-13 00:00:00+05:30,440.0,466.55,433.65,451.3,313693
2025-06-16 00:00:00+05:30,449.0,474.85,446.35,464.3,369495
2025-06-17 00:00:00+05:30,466.6,476.55,455.0,457.85,186052
2025-06-18 00:00:00+05:30,461.5,473.3,458.0,463.4,286597
2025-06-19 00:00:00+05:30,463.3,472.0,458.0,461.15,195366
2025-06-20 00:00:00+05:30,463.25,480.3,461.7,473.75,266772
2025-06-23 00:00:00+05:30,473.7,487.45,463.2,470.0,211015
2025-06-24 00:00:00+05:30,474.0,485.0,473.25,478.0,248384
2025-06-25 00:00:00+05:30,485.0,515.5,482.25,509.35,942203
2025-06-26 00:00:00+05:30,513.0,526.0,512.75,522.45,431230
2025-06-27 00:00:00+05:30,531.9,539.4,516.2,527.05,344618
2025-06-30 00:00:00+05:30,530.0,541.9,520.15,534.15,380451
2025-07-01 00:00:00+05:30,534.15,539.4,498.2,503.5,347388
2025-07-02 00:00:00+05:30,507.7,510.7,490.1,491.85,221745
2025-07-03 00:00:00+05:30,492.0,499.9,490.0,495.35,125106
