date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,121.75,126.86,121.68,126.0,1177815
2025-04-02 00:00:00+05:30,125.42,125.97,121.63,124.91,638232
2025-04-03 00:00:00+05:30,124.45,127.7,123.79,127.21,665821
2025-04-04 00:00:00+05:30,126.2,126.69,119.31,120.38,821639
2025-04-07 00:00:00+05:30,114.0,114.83,108.73,112.62,1313870
2025-04-08 00:00:00+05:30,116.0,117.89,114.7,116.75,460654
2025-04-09 00:00:00+05:30,116.0,116.43,108.73,109.67,922702
2025-04-11 00:00:00+05:30,113.01,113.79,107.4,110.21,1655456
2025-04-15 00:00:00+05:30,113.0,114.7,109.09,112.74,2102407
2025-04-16 00:00:00+05:30,113.16,118.44,112.85,115.43,1143812
2025-04-17 00:00:00+05:30,116.05,118.95,113.35,117.16,1104864
2025-04-21 00:00:00+05:30,117.94,121.36,115.94,120.33,995927
2025-04-22 00:00:00+05:30,121.41,124.21,119.93,122.99,836761
2025-04-23 00:00:00+05:30,123.95,124.19,119.89,122.16,524291
2025-04-24 00:00:00+05:30,122.15,124.5,121.6,123.15,464310
2025-04-25 00:00:00+05:30,122.86,123.24,117.4,118.32,601511
2025-04-28 00:00:00+05:30,117.7,119.2,116.31,117.78,1253732
2025-04-29 00:00:00+05:30,118.18,122.0,118.15,119.12,488874
2025-04-30 00:00:00+05:30,119.12,119.12,111.9,115.35,413981
2025-05-02 00:00:00+05:30,115.0,117.27,113.69,115.02,473031
2025-05-05 00:00:00+05:30,115.66,117.65,114.2,116.72,414306
2025-05-06 00:00:00+05:30,116.41,117.68,113.23,113.79,378916
2025-05-07 00:00:00+05:30,111.2,114.82,111.0,114.0,280854
2025-05-08 00:00:00+05:30,114.6,117.2,112.1,112.75,310595
2025-05-09 00:00:00+05:30,110.75,114.01,110.0,112.55,450885
2025-05-12 00:00:00+05:30,116.0,119.4,115.23,118.91,836849
2025-05-13 00:00:00+05:30,119.5,124.6,118.21,122.83,708922
2025-05-14 00:00:00+05:30,123.05,125.3,122.0,124.42,596338
2025-05-15 00:00:00+05:30,124.42,131.75,124.39,131.02,1976673
2025-05-16 00:00:00+05:30,133.0,133.0,129.0,129.46,650403
2025-05-19 00:00:00+05:30,129.79,133.0,128.76,129.44,610178
2025-05-20 00:00:00+05:30,130.0,130.16,125.8,126.43,384039
2025-05-21 00:00:00+05:30,126.0,129.0,125.29,128.8,381226
2025-05-22 00:00:00+05:30,127.5,129.44,125.3,125.64,505365
2025-05-23 00:00:00+05:30,127.0,133.65,126.27,129.17,1749473
2025-05-26 00:00:00+05:30,129.7,131.59,128.8,130.17,410521
2025-05-27 00:00:00+05:30,129.7,131.9,129.25,131.56,548727
2025-05-28 00:00:00+05:30,131.85,134.0,131.38,132.57,505430
2025-05-29 00:00:00+05:30,131.0,134.0,130.4,132.91,639886
2025-05-30 00:00:00+05:30,133.24,133.62,124.0,126.24,1195302
2025-06-02 00:00:00+05:30,126.4,129.2,125.99,126.42,790695
2025-06-03 00:00:00+05:30,126.7,129.0,125.5,125.87,413893
2025-06-04 00:00:00+05:30,126.24,132.95,125.4,132.2,1263418
2025-06-05 00:00:00+05:30,133.0,136.7,132.39,133.26,1660273
2025-06-06 00:00:00+05:30,133.51,133.85,130.97,131.22,432319
2025-06-09 00:00:00+05:30,131.69,136.4,131.4,131.95,1355291
2025-06-10 00:00:00+05:30,132.9,136.6,132.57,135.51,894226
2025-06-11 00:00:00+05:30,134.99,139.4,134.55,136.25,1068542
2025-06-12 00:00:00+05:30,136.0,138.4,133.46,134.6,804975
2025-06-13 00:00:00+05:30,130.0,136.15,129.86,134.17,1125778
2025-06-16 00:00:00+05:30,134.05,145.9,133.23,143.33,3328174
2025-06-17 00:00:00+05:30,143.33,144.89,139.01,140.43,2396494
2025-06-18 00:00:00+05:30,141.85,147.0,139.0,142.17,2208534
2025-06-19 00:00:00+05:30,141.6,143.68,136.24,137.25,1021416
2025-06-20 00:00:00+05:30,136.9,138.72,130.26,131.24,3391875
2025-06-23 00:00:00+05:30,130.0,132.5,129.3,131.84,674927
2025-06-24 00:00:00+05:30,132.0,133.4,130.44,130.83,1114406
2025-06-25 00:00:00+05:30,131.9,137.8,130.99,136.77,1608880
2025-06-26 00:00:00+05:30,137.25,139.39,135.37,135.78,622382
2025-06-27 00:00:00+05:30,137.04,138.18,135.11,135.59,466251
2025-06-30 00:00:00+05:30,135.6,138.64,135.6,136.46,534700
2025-07-01 00:00:00+05:30,136.99,137.6,134.5,135.99,458648
2025-07-02 00:00:00+05:30,135.96,136.78,132.6,134.2,610723
2025-07-03 00:00:00+05:30,134.38,136.4,133.0,133.4,483492
2025-07-04 00:00:00+05:30,133.26,134.2,131.16,131.94,732044
2025-07-07 00:00:00+05:30,132.09,132.63,130.35,131.23,355022
2025-07-08 00:00:00+05:30,131.2,132.72,129.22,130.97,449683
2025-07-09 00:00:00+05:30,130.79,135.24,130.78,133.99,751152
2025-07-10 00:00:00+05:30,134.27,135.39,132.8,134.89,389546
2025-07-11 00:00:00+05:30,134.19,135.0,132.8,133.8,340904
2025-07-14 00:00:00+05:30,132.9,133.14,131.05,131.58,373886
2025-07-15 00:00:00+05:30,131.38,136.0,131.21,135.22,621311
2025-07-16 00:00:00+05:30,136.0,137.9,134.49,134.83,744563
2025-07-17 00:00:00+05:30,135.5,137.3,133.65,134.02,740527
2025-07-18 00:00:00+05:30,134.65,135.69,132.81,134.35,397209
2025-07-21 00:00:00+05:30,135.1,135.1,132.29,133.07,409737
2025-07-22 00:00:00+05:30,134.5,134.5,132.17,132.78,497240
2025-07-23 00:00:00+05:30,133.37,133.74,131.6,132.35,277068
2025-07-24 00:00:00+05:30,132.48,133.0,129.22,130.01,432613
2025-07-25 00:00:00+05:30,129.15,131.81,127.01,127.59,629424
2025-07-28 00:00:00+05:30,128.01,131.49,126.14,126.68,487404
2025-07-29 00:00:00+05:30,126.55,128.9,125.2,128.22,389019
2025-07-30 00:00:00+05:30,128.05,132.0,126.7,129.79,386710
2025-07-31 00:00:00+05:30,127.49,130.75,126.15,128.6,439399
2025-08-01 00:00:00+05:30,127.4,129.04,123.2,124.1,308461
2025-08-04 00:00:00+05:30,124.36,126.0,123.6,125.23,290075
2025-08-05 00:00:00+05:30,125.55,127.63,123.9,126.73,359509
2025-08-06 00:00:00+05:30,126.06,126.61,122.17,122.76,332224
2025-08-07 00:00:00+05:30,121.98,125.12,121.48,124.77,404210
2025-08-08 00:00:00+05:30,124.77,125.68,122.5,124.22,267212
2025-08-11 00:00:00+05:30,128.0,138.15,125.31,132.66,11531536
2025-08-12 00:00:00+05:30,134.0,135.6,131.05,132.14,949834
2025-08-13 00:00:00+05:30,132.3,135.0,131.46,134.09,635544
2025-08-14 00:00:00+05:30,134.25,135.0,130.31,132.45,403830
2025-08-18 00:00:00+05:30,134.0,134.9,132.51,132.99,441719
2025-08-19 00:00:00+05:30,133.35,134.32,132.2,133.64,382750
2025-08-20 00:00:00+05:30,133.64,135.45,132.9,133.85,619093
2025-08-21 00:00:00+05:30,133.9,135.1,132.27,132.52,422102
