date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,34.27,34.27,30.85,31.2,43855897
2025-04-02 00:00:00+05:30,31.5,32.09,29.65,30.04,41857217
2025-04-03 00:00:00+05:30,30.29,31.11,29.81,30.38,28503936
2025-04-04 00:00:00+05:30,30.79,31.2,29.7,29.81,22405832
2025-04-07 00:00:00+05:30,28.7,28.7,26.81,28.06,24418188
2025-04-08 00:00:00+05:30,28.85,29.21,28.12,28.89,15423300
2025-04-09 00:00:00+05:30,28.97,29.2,28.3,28.69,10978676
2025-04-11 00:00:00+05:30,29.5,29.5,28.72,28.94,8172251
2025-04-15 00:00:00+05:30,29.36,29.71,29.01,29.53,8009816
2025-04-16 00:00:00+05:30,29.5,30.61,29.5,30.25,11147302
2025-04-17 00:00:00+05:30,30.18,30.69,30.04,30.43,8134012
2025-04-21 00:00:00+05:30,30.5,31.73,30.5,31.27,13918704
2025-04-22 00:00:00+05:30,31.7,32.19,31.06,31.49,13340665
2025-04-23 00:00:00+05:30,31.8,31.8,30.62,31.17,9647933
2025-04-24 00:00:00+05:30,31.02,31.55,30.94,31.0,9360643
2025-04-25 00:00:00+05:30,31.1,31.1,29.78,30.45,15285336
2025-04-28 00:00:00+05:30,30.29,31.25,29.95,30.78,10755522
2025-04-29 00:00:00+05:30,32.15,33.14,31.8,32.07,61404161
2025-04-30 00:00:00+05:30,32.0,32.0,30.95,31.05,12632473
2025-05-02 00:00:00+05:30,31.0,32.25,30.76,31.53,14326310
2025-05-05 00:00:00+05:30,31.53,31.6,31.03,31.42,4533117
2025-05-06 00:00:00+05:30,31.4,31.6,30.3,30.74,8995174
2025-05-07 00:00:00+05:30,30.19,30.6,29.72,30.44,10208030
2025-05-08 00:00:00+05:30,30.82,31.02,30.01,30.31,5893656
2025-05-09 00:00:00+05:30,29.21,29.86,29.07,29.65,7133345
2025-05-12 00:00:00+05:30,30.8,31.24,30.56,30.98,10217933
2025-05-13 00:00:00+05:30,31.2,31.47,30.82,31.12,6867656
2025-05-14 00:00:00+05:30,31.4,31.51,31.07,31.31,6541813
