date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,219.7,227.44,218.99,226.68,373038
2025-04-02 00:00:00+05:30,228.0,231.95,221.36,230.32,349701
2025-04-03 00:00:00+05:30,222.1,236.99,222.0,233.35,504301
2025-04-04 00:00:00+05:30,231.2,231.2,213.18,215.3,588541
2025-04-07 00:00:00+05:30,202.2,207.98,195.0,200.6,742633
2025-04-08 00:00:00+05:30,205.4,214.4,205.4,208.9,555961
2025-04-09 00:00:00+05:30,208.35,208.97,200.81,201.35,255754
2025-04-11 00:00:00+05:30,209.9,211.95,204.5,211.18,510191
2025-04-15 00:00:00+05:30,215.05,223.1,214.3,221.74,335111
2025-04-16 00:00:00+05:30,221.07,225.0,219.0,221.64,241709
2025-04-17 00:00:00+05:30,223.3,227.73,218.52,225.93,300749
2025-04-21 00:00:00+05:30,226.5,230.0,224.41,226.89,246632
2025-04-22 00:00:00+05:30,227.3,232.28,227.2,228.58,246919
2025-04-23 00:00:00+05:30,230.0,232.64,225.09,230.34,219173
2025-04-24 00:00:00+05:30,230.3,250.0,228.81,245.41,1218580
2025-04-25 00:00:00+05:30,245.0,245.05,230.41,234.28,553941
2025-04-28 00:00:00+05:30,234.9,236.9,224.98,226.05,446068
2025-04-29 00:00:00+05:30,228.8,229.8,224.1,225.6,226089
2025-04-30 00:00:00+05:30,225.0,226.59,218.03,219.13,323205
2025-05-02 00:00:00+05:30,219.55,224.8,217.68,222.07,291981
2025-05-05 00:00:00+05:30,224.0,226.02,219.47,224.24,204387
2025-05-06 00:00:00+05:30,223.29,225.4,211.5,212.54,400399
2025-05-07 00:00:00+05:30,212.54,219.44,211.51,218.2,478688
2025-05-08 00:00:00+05:30,218.2,226.48,217.01,219.47,323635
2025-05-09 00:00:00+05:30,212.5,221.95,212.5,221.4,317956
2025-05-12 00:00:00+05:30,229.04,234.9,226.01,233.55,398414
2025-05-13 00:00:00+05:30,235.0,240.99,231.85,240.45,583430
2025-05-14 00:00:00+05:30,241.4,245.0,237.75,243.32,303557
2025-05-15 00:00:00+05:30,242.0,248.9,240.05,246.46,280110
2025-05-16 00:00:00+05:30,248.8,254.01,243.31,250.85,518266
2025-05-19 00:00:00+05:30,252.0,261.0,251.06,253.79,524372
2025-05-20 00:00:00+05:30,255.74,256.49,245.14,246.63,254010
2025-05-21 00:00:00+05:30,247.4,252.5,243.76,249.86,229774
2025-05-22 00:00:00+05:30,248.8,253.0,246.5,248.59,496327
2025-05-23 00:00:00+05:30,249.7,249.7,241.3,241.83,318905
2025-05-26 00:00:00+05:30,242.05,263.5,242.0,260.25,1495772
2025-05-27 00:00:00+05:30,260.3,261.53,252.25,253.59,467583
2025-05-28 00:00:00+05:30,253.6,260.19,252.86,253.47,307537
2025-05-29 00:00:00+05:30,254.8,255.99,250.51,251.75,208371
2025-05-30 00:00:00+05:30,253.0,257.59,247.31,254.12,324806
2025-06-02 00:00:00+05:30,255.05,256.95,252.0,253.25,170019
2025-06-03 00:00:00+05:30,253.35,255.45,248.4,249.6,174512
2025-06-04 00:00:00+05:30,250.0,256.0,246.5,252.8,361486
2025-06-05 00:00:00+05:30,252.8,257.0,251.6,252.8,191896
2025-06-06 00:00:00+05:30,259.0,261.6,251.5,253.75,347930
2025-06-09 00:00:00+05:30,256.0,257.3,251.15,252.9,260232
2025-06-10 00:00:00+05:30,253.9,261.7,253.65,256.75,278086
2025-06-11 00:00:00+05:30,258.1,268.0,254.85,259.0,960627
2025-06-12 00:00:00+05:30,262.5,265.0,254.0,255.5,490400
2025-06-13 00:00:00+05:30,250.0,253.15,245.05,251.45,388058
2025-06-16 00:00:00+05:30,252.8,253.25,240.6,246.0,556848
2025-06-17 00:00:00+05:30,246.0,252.8,239.9,240.4,336519
2025-06-18 00:00:00+05:30,241.0,242.3,236.0,237.8,286429
2025-06-19 00:00:00+05:30,239.0,239.7,231.7,233.9,342109
2025-06-20 00:00:00+05:30,230.0,236.0,229.7,233.3,253754
2025-06-23 00:00:00+05:30,231.2,234.35,228.95,231.0,475201
2025-06-24 00:00:00+05:30,233.9,239.35,232.85,233.8,212407
2025-06-25 00:00:00+05:30,235.9,241.6,235.0,240.3,329837
2025-06-26 00:00:00+05:30,241.4,242.6,237.45,238.5,222742
2025-06-27 00:00:00+05:30,239.7,241.15,236.6,237.15,454125
2025-06-30 00:00:00+05:30,238.2,240.2,237.15,238.6,163443
2025-07-01 00:00:00+05:30,238.7,239.75,235.2,236.37,195900
2025-07-02 00:00:00+05:30,237.01,238.5,232.65,235.94,184077
2025-07-03 00:00:00+05:30,236.8,238.75,234.11,237.34,128080
2025-07-04 00:00:00+05:30,237.34,239.48,235.36,238.13,141405
2025-07-07 00:00:00+05:30,238.19,242.35,232.2,235.75,254348
2025-07-08 00:00:00+05:30,238.0,241.75,232.66,238.27,373672
2025-07-09 00:00:00+05:30,235.5,241.0,235.5,239.44,248122
2025-07-10 00:00:00+05:30,239.0,244.58,238.25,241.37,270650
2025-07-11 00:00:00+05:30,240.0,244.0,235.1,236.74,254073
2025-07-14 00:00:00+05:30,235.0,239.75,234.15,235.96,164877
2025-07-15 00:00:00+05:30,235.96,241.27,235.96,239.97,202760
2025-07-16 00:00:00+05:30,239.8,244.43,239.06,241.65,177569
2025-07-17 00:00:00+05:30,241.75,244.9,240.48,243.48,257026
2025-07-18 00:00:00+05:30,243.65,248.0,242.5,246.38,347939
2025-07-21 00:00:00+05:30,246.38,247.06,238.5,239.66,224451
2025-07-22 00:00:00+05:30,239.81,242.85,235.32,235.85,167667
2025-07-23 00:00:00+05:30,236.44,241.95,235.0,241.13,232452
2025-07-24 00:00:00+05:30,242.0,242.99,238.9,241.01,145343
2025-07-25 00:00:00+05:30,242.0,242.3,230.78,232.88,204538
2025-07-28 00:00:00+05:30,231.7,239.0,230.31,233.81,199645
2025-07-29 00:00:00+05:30,234.0,235.33,229.54,234.46,120462
2025-07-30 00:00:00+05:30,234.0,237.25,232.0,235.15,115481
2025-07-31 00:00:00+05:30,228.0,231.5,224.87,227.72,284889
2025-08-01 00:00:00+05:30,226.0,231.5,223.0,224.32,226181
