date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,693.4,705.0,689.1,698.15,26405
2025-04-02 00:00:00+05:30,701.8,704.95,691.2,696.4,34667
2025-04-03 00:00:00+05:30,697.0,705.85,695.0,698.25,22736
2025-04-04 00:00:00+05:30,698.25,700.95,675.65,681.2,22509
2025-04-07 00:00:00+05:30,675.0,699.0,640.7,690.6,64125
2025-04-08 00:00:00+05:30,694.6,710.65,677.05,705.85,38901
2025-04-09 00:00:00+05:30,705.85,711.85,681.05,689.05,20563
2025-04-11 00:00:00+05:30,693.1,716.95,693.1,708.45,92887
2025-04-15 00:00:00+05:30,719.0,720.65,704.3,709.35,39863
2025-04-16 00:00:00+05:30,714.7,715.0,702.4,708.1,23057
2025-04-17 00:00:00+05:30,708.1,720.95,699.0,709.4,72662
2025-04-21 00:00:00+05:30,716.5,717.9,706.4,716.9,28186
2025-04-22 00:00:00+05:30,717.0,728.1,703.0,725.0,81320
2025-04-23 00:00:00+05:30,725.0,725.8,710.1,719.15,39037
2025-04-24 00:00:00+05:30,719.15,727.0,712.6,723.4,34726
2025-04-25 00:00:00+05:30,719.05,725.95,700.9,721.55,57794
2025-04-28 00:00:00+05:30,714.1,734.0,711.15,732.45,54317
2025-04-29 00:00:00+05:30,739.0,759.0,712.0,718.7,65596
2025-04-30 00:00:00+05:30,715.0,719.95,661.1,670.7,172155
2025-05-02 00:00:00+05:30,670.1,675.0,653.55,670.75,64348
2025-05-05 00:00:00+05:30,675.0,704.75,664.0,702.25,83570
2025-05-06 00:00:00+05:30,705.0,706.5,684.05,696.7,87631
2025-05-07 00:00:00+05:30,686.1,700.25,677.65,694.9,82230
2025-05-08 00:00:00+05:30,698.6,700.0,670.1,675.15,29384
2025-05-09 00:00:00+05:30,663.4,672.9,658.85,669.05,70983
2025-05-12 00:00:00+05:30,677.6,692.0,677.6,683.65,36615
2025-05-13 00:00:00+05:30,684.0,701.95,677.55,697.15,200756
2025-05-14 00:00:00+05:30,705.0,715.4,685.0,696.6,235458
2025-05-15 00:00:00+05:30,692.2,714.0,688.2,702.95,72997
2025-05-16 00:00:00+05:30,700.0,705.0,692.0,694.5,43599
2025-05-19 00:00:00+05:30,694.5,704.0,694.3,702.65,257453
2025-05-20 00:00:00+05:30,702.65,720.95,695.15,698.3,96492
2025-05-21 00:00:00+05:30,692.05,701.65,685.05,699.65,67304
2025-05-22 00:00:00+05:30,691.0,698.0,679.05,693.15,51467
2025-05-23 00:00:00+05:30,688.6,695.3,681.2,685.8,18235
2025-05-26 00:00:00+05:30,686.0,695.9,682.95,686.35,46188
2025-05-27 00:00:00+05:30,686.8,686.85,676.0,677.5,128794
2025-05-28 00:00:00+05:30,677.5,679.95,669.5,673.0,223467
2025-05-29 00:00:00+05:30,673.0,677.45,669.55,672.55,40645
2025-05-30 00:00:00+05:30,670.5,689.0,662.15,669.25,114467
2025-06-02 00:00:00+05:30,672.8,679.7,670.2,674.8,55582
2025-06-03 00:00:00+05:30,675.9,678.4,663.25,665.5,20982
2025-06-04 00:00:00+05:30,665.5,670.9,663.0,665.85,22370
