date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,16.74,17.43,16.63,17.33,90534491
2025-04-02 00:00:00+05:30,17.2,17.45,17.01,17.4,67818784
2025-04-03 00:00:00+05:30,17.11,18.04,17.11,17.95,94350870
2025-04-04 00:00:00+05:30,17.94,17.96,17.11,17.19,111241105
2025-04-07 00:00:00+05:30,16.21,16.93,16.16,16.85,122495456
2025-04-08 00:00:00+05:30,17.05,17.35,16.9,17.17,81632731
2025-04-09 00:00:00+05:30,17.14,17.3,16.9,17.16,69547580
2025-04-11 00:00:00+05:30,17.5,17.5,17.11,17.15,52543433
2025-04-15 00:00:00+05:30,17.49,17.59,17.31,17.52,61294441
2025-04-16 00:00:00+05:30,17.6,18.05,17.55,17.87,85730443
2025-04-17 00:00:00+05:30,17.84,18.15,17.72,18.09,99208246
2025-04-21 00:00:00+05:30,19.14,19.35,18.78,18.82,212102753
2025-04-22 00:00:00+05:30,18.94,18.99,18.64,18.69,76060910
2025-04-23 00:00:00+05:30,18.81,18.82,18.16,18.42,89519210
2025-04-24 00:00:00+05:30,18.4,18.66,18.33,18.43,65182036
2025-04-25 00:00:00+05:30,18.45,18.54,17.62,17.77,109327218
2025-04-28 00:00:00+05:30,17.78,18.16,17.71,18.09,73449583
2025-04-29 00:00:00+05:30,18.25,18.39,17.93,17.99,59829539
2025-04-30 00:00:00+05:30,17.98,18.03,17.64,17.72,54958582
2025-05-02 00:00:00+05:30,17.72,17.99,17.63,17.7,55835375
2025-05-05 00:00:00+05:30,17.7,17.84,17.51,17.73,49326496
2025-05-06 00:00:00+05:30,19.24,19.44,17.88,17.93,480714088
2025-05-07 00:00:00+05:30,17.87,18.38,17.73,18.27,140782313
2025-05-08 00:00:00+05:30,18.35,18.81,18.15,18.23,157515725
2025-05-09 00:00:00+05:30,17.8,20.37,17.77,20.02,728005767
2025-05-12 00:00:00+05:30,21.7,21.7,20.3,20.41,527532441
2025-05-13 00:00:00+05:30,20.5,21.39,20.26,20.87,285354139
2025-05-14 00:00:00+05:30,21.29,21.29,20.69,20.96,201882995
